,airport_code,airport_name,year,month,ntsb_accidents,ntsb_incidents,faa_incidents,dataset
540,ABQ,Albuquerque International Sunport,2001,5,1.0,0.0,0.0,ntsb
40383,ABQ,Albuquerque International Sunport,2001,5,0.0,0.0,1.0,faa
543,ABQ,Albuquerque International Sunport,2002,3,3.0,0.0,0.0,ntsb
40385,ABQ,Albuquerque International Sunport,2002,3,0.0,0.0,1.0,faa
544,ABQ,Albuquerque International Sunport,2002,4,1.0,0.0,0.0,ntsb
40386,ABQ,Albuquerque International Sunport,2002,4,0.0,0.0,1.0,faa
550,ABQ,Albuquerque International Sunport,2003,10,1.0,0.0,0.0,ntsb
40389,ABQ,Albuquerque International Sunport,2003,10,0.0,0.0,1.0,faa
570,ABQ,Albuquerque International Sunport,2011,5,1.0,0.0,0.0,ntsb
40405,ABQ,Albuquerque International Sunport,2011,5,0.0,0.0,1.0,faa
576,ABQ,Albuquerque International Sunport,2015,9,1.0,0.0,0.0,ntsb
40408,ABQ,Albuquerque International Sunport,2015,9,0.0,0.0,1.0,faa
581,ABQ,Albuquerque International Sunport,2017,10,2.0,0.0,0.0,ntsb
40412,ABQ,Albuquerque International Sunport,2017,10,0.0,0.0,1.0,faa
599,ABY,Southwest Georgia Regional Airport,1989,8,1.0,0.0,0.0,ntsb
45963,ABY,Albany Southwest Georgia Rgnl,1989,8,0.0,0.0,1.0,faa
620,ACK,Nantucket Memorial Airport,1983,6,1.0,0.0,0.0,ntsb
18266,ACK,Nantucket Memorial,1983,6,0.0,0.0,2.0,faa
626,ACK,Nantucket Memorial Airport,1987,8,1.0,0.0,0.0,ntsb
18269,ACK,Nantucket Memorial,1987,8,0.0,0.0,1.0,faa
629,ACK,Nantucket Memorial Airport,1991,8,1.0,0.0,0.0,ntsb
18272,ACK,Nantucket Memorial,1991,8,0.0,0.0,1.0,faa
633,ACK,Nantucket Memorial Airport,1999,9,1.0,0.0,0.0,ntsb
18281,ACK,Nantucket Memorial,1999,9,0.0,0.0,1.0,faa
634,ACK,Nantucket Memorial Airport,2000,8,1.0,0.0,0.0,ntsb
18283,ACK,Nantucket Memorial,2000,8,0.0,0.0,1.0,faa
635,ACK,Nantucket Memorial Airport,2002,1,1.0,0.0,0.0,ntsb
18284,ACK,Nantucket Memorial,2002,1,0.0,0.0,1.0,faa
640,ACK,Nantucket Memorial Airport,2009,4,0.0,1.0,0.0,ntsb
18300,ACK,Nantucket Memorial,2009,4,0.0,0.0,1.0,faa
641,ACK,Nantucket Memorial Airport,2011,11,0.0,1.0,0.0,ntsb
18304,ACK,Nantucket Memorial,2011,11,0.0,0.0,1.0,faa
642,ACK,Nantucket Memorial Airport,2012,8,0.0,1.0,0.0,ntsb
18305,ACK,Nantucket Memorial,2012,8,0.0,0.0,1.0,faa
643,ACK,Nantucket Memorial Airport,2012,10,0.0,1.0,0.0,ntsb
18306,ACK,Nantucket Memorial,2012,10,0.0,0.0,1.0,faa
658,ACY,Atlantic City International Airport,1982,3,1.0,0.0,0.0,ntsb
49455,ACY,Atlantic City International,1982,3,0.0,0.0,2.0,faa
664,ACY,Atlantic City International Airport,1990,11,1.0,0.0,0.0,ntsb
49484,ACY,Atlantic City International,1990,11,0.0,0.0,1.0,faa
666,ACY,Atlantic City International Airport,1993,6,0.0,1.0,0.0,ntsb
49491,ACY,Atlantic City International,1993,6,0.0,0.0,1.0,faa
670,ACY,Atlantic City International Airport,2002,5,0.0,1.0,0.0,ntsb
49514,ACY,Atlantic City International,2002,5,0.0,0.0,1.0,faa
671,ACY,Atlantic City International Airport,2003,4,1.0,0.0,0.0,ntsb
49517,ACY,Atlantic City International,2003,4,0.0,0.0,1.0,faa
672,ACY,Atlantic City International Airport,2007,1,1.0,0.0,0.0,ntsb
49524,ACY,Atlantic City International,2007,1,0.0,0.0,1.0,faa
696,ADQ,Kodiak Airport,1993,5,0.0,1.0,0.0,ntsb
5136,ADQ,Kodiak Kodiak Airport,1993,5,0.0,0.0,1.0,faa
703,ADS,Addison Airport,1983,1,1.0,0.0,0.0,ntsb
49590,ADS,Dallas Addison,1983,1,0.0,0.0,1.0,faa
704,ADS,Addison Airport,1983,2,2.0,0.0,0.0,ntsb
49591,ADS,Dallas Addison,1983,2,0.0,0.0,1.0,faa
705,ADS,Addison Airport,1983,6,1.0,0.0,0.0,ntsb
49594,ADS,Dallas Addison,1983,6,0.0,0.0,1.0,faa
707,ADS,Addison Airport,1984,10,1.0,0.0,0.0,ntsb
49602,ADS,Dallas Addison,1984,10,0.0,0.0,1.0,faa
710,ADS,Addison Airport,1987,9,1.0,0.0,0.0,ntsb
49615,ADS,Dallas Addison,1987,9,0.0,0.0,1.0,faa
712,ADS,Addison Airport,1989,4,1.0,0.0,0.0,ntsb
49624,ADS,Dallas Addison,1989,4,0.0,0.0,1.0,faa
714,ADS,Addison Airport,1989,6,1.0,0.0,0.0,ntsb
49625,ADS,Dallas Addison,1989,6,0.0,0.0,2.0,faa
715,ADS,Addison Airport,1989,10,1.0,0.0,0.0,ntsb
49629,ADS,Dallas Addison,1989,10,0.0,0.0,1.0,faa
718,ADS,Addison Airport,1991,6,1.0,0.0,0.0,ntsb
49639,ADS,Dallas Addison,1991,6,0.0,0.0,1.0,faa
719,ADS,Addison Airport,1992,6,1.0,0.0,0.0,ntsb
49645,ADS,Dallas Addison,1992,6,0.0,0.0,3.0,faa
724,ADS,Addison Airport,1999,11,1.0,0.0,0.0,ntsb
49668,ADS,Dallas Addison,1999,11,0.0,0.0,3.0,faa
728,ADS,Addison Airport,2005,10,1.0,0.0,0.0,ntsb
49688,ADS,Dallas Addison,2005,10,0.0,0.0,1.0,faa
730,ADS,Addison Airport,2012,3,1.0,0.0,0.0,ntsb
49703,ADS,Dallas Addison,2012,3,0.0,0.0,1.0,faa
733,ADS,Addison Airport,2016,3,1.0,0.0,0.0,ntsb
49717,ADS,Dallas Addison,2016,3,0.0,0.0,2.0,faa
814,AFN,Jaffrey Airport Silver Ranch Airport,1999,6,1.0,0.0,0.0,ntsb
52750,AFN,Jaffrey Silver Ranch,1999,6,0.0,0.0,1.0,faa
822,AFO,Afton Municipal Airport,1984,6,1.0,0.0,0.0,ntsb
3292,AFO,Afton Municipal,1984,6,0.0,0.0,1.0,faa
840,AFW,Fort Worth Alliance Airport,1990,6,1.0,0.0,0.0,ntsb
37247,AFW,Fort Worth Alliance,1990,6,0.0,0.0,1.0,faa
849,AGC,Allegheny County Airport,1982,11,1.0,0.0,0.0,ntsb
53865,AGC,Pittsburgh Allegheny County,1982,11,0.0,0.0,2.0,faa
851,AGC,Allegheny County Airport,1983,6,1.0,0.0,0.0,ntsb
53870,AGC,Pittsburgh Allegheny County,1983,6,0.0,0.0,1.0,faa
852,AGC,Allegheny County Airport,1983,10,1.0,0.0,0.0,ntsb
53873,AGC,Pittsburgh Allegheny County,1983,10,0.0,0.0,4.0,faa
854,AGC,Allegheny County Airport,1984,3,1.0,0.0,0.0,ntsb
53876,AGC,Pittsburgh Allegheny County,1984,3,0.0,0.0,1.0,faa
857,AGC,Allegheny County Airport,1985,9,1.0,0.0,0.0,ntsb
53888,AGC,Pittsburgh Allegheny County,1985,9,0.0,0.0,1.0,faa
858,AGC,Allegheny County Airport,1986,6,1.0,0.0,0.0,ntsb
53894,AGC,Pittsburgh Allegheny County,1986,6,0.0,0.0,1.0,faa
860,AGC,Allegheny County Airport,1987,9,1.0,0.0,0.0,ntsb
53908,AGC,Pittsburgh Allegheny County,1987,9,0.0,0.0,4.0,faa
861,AGC,Allegheny County Airport,1989,4,1.0,0.0,0.0,ntsb
53927,AGC,Pittsburgh Allegheny County,1989,4,0.0,0.0,4.0,faa
862,AGC,Allegheny County Airport,1989,6,1.0,0.0,0.0,ntsb
53929,AGC,Pittsburgh Allegheny County,1989,6,0.0,0.0,3.0,faa
863,AGC,Allegheny County Airport,1989,10,1.0,0.0,0.0,ntsb
53933,AGC,Pittsburgh Allegheny County,1989,10,0.0,0.0,8.0,faa
866,AGC,Allegheny County Airport,1995,9,1.0,0.0,0.0,ntsb
53990,AGC,Pittsburgh Allegheny County,1995,9,0.0,0.0,1.0,faa
868,AGC,Allegheny County Airport,1997,12,1.0,0.0,0.0,ntsb
54009,AGC,Pittsburgh Allegheny County,1997,12,0.0,0.0,4.0,faa
870,AGC,Allegheny County Airport,1998,3,1.0,0.0,0.0,ntsb
54011,AGC,Pittsburgh Allegheny County,1998,3,0.0,0.0,1.0,faa
871,AGC,Allegheny County Airport,1999,3,1.0,0.0,0.0,ntsb
54018,AGC,Pittsburgh Allegheny County,1999,3,0.0,0.0,2.0,faa
872,AGC,Allegheny County Airport,2000,12,1.0,0.0,0.0,ntsb
54035,AGC,Pittsburgh Allegheny County,2000,12,0.0,0.0,8.0,faa
873,AGC,Allegheny County Airport,2001,6,1.0,0.0,0.0,ntsb
54041,AGC,Pittsburgh Allegheny County,2001,6,0.0,0.0,9.0,faa
