, Latitude , Longitude ,airport_name_0,airport_lat_0,airport_lon_0,vicinity_0,lat_1,lon_1,airport_name_1,airport_lat_1,airport_lon_1,vicinity_1,lat_2,lon_2,airport_name_2,airport_lat_2,airport_lon_2,vicinity_2,lat_3,lon_3,airport_name_3,airport_lat_3,airport_lon_3,vicinity_3,lat_4,lon_4,airport_name_4,airport_lat_4,airport_lon_4,vicinity_4,lat_5,lon_5,airport_name_5,airport_lat_5,airport_lon_5,vicinity_5,lat_6,lon_6,airport_name_6,airport_lat_6,airport_lon_6,vicinity_6,lat_7,lon_7,airport_name_7,airport_lat_7,airport_lon_7,vicinity_7,lat_8,lon_8,airport_name_8,airport_lat_8,airport_lon_8,vicinity_8,lat_9,lon_9,airport_name_9,airport_lat_9,airport_lon_9,vicinity_9,lat_10,lon_10,airport_name_10,airport_lat_10,airport_lon_10,vicinity_10,lat_11,lon_11,airport_name_11,airport_lat_11,airport_lon_11,vicinity_11,lat_12,lon_12,airport_name_12,airport_lat_12,airport_lon_12,vicinity_12,lat_13,lon_13,airport_name_13,airport_lat_13,airport_lon_13,vicinity_13,lat_14,lon_14,airport_name_14,airport_lat_14,airport_lon_14,vicinity_14,lat_15,lon_15,airport_name_15,airport_lat_15,airport_lon_15,vicinity_15,lat_16,lon_16,airport_name_16,airport_lat_16,airport_lon_16,vicinity_16,lat_17,lon_17,airport_name_17,airport_lat_17,airport_lon_17,vicinity_17,lat_18,lon_18,airport_name_18,airport_lat_18,airport_lon_18,vicinity_18,lat_19,lon_19,airport_name_19,airport_lat_19,airport_lon_19,vicinity_19,iata,which_airport
2127,48.080278,-121.963889,green valley airfield wa  aircraft remanufacturing co inc.,48.0959116,-122.01568200000001,"Burn Road, Granite Falls",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2128,-3.183056,-79.916667,pista de fumigacion fumipalma,-3.1916167,-79.86468590000001,Ecuador,-3.183056,-79.916667,Pesquera Mar Y Cielo Cia Ltda,-3.1911065,-79.86268520000002,Vía A Barbones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2129,-26.2425,28.151111,africa aviation academy,-26.2396349,28.1526154,"Main Terminal Building, Rand Airport, Rand Airport Road, Germiston",-26.2425,28.151111,Rand Airport,-26.239342999999998,28.153792,"Main Terminal Building, Rand Airport Road, Germiston",-26.2425,28.151111,奥利弗·坦博国际机场,-26.2536017,28.1286215,"5th Avenue, Alberton",-26.2425,28.151111,Hospital Helipad,-26.2701724,28.1204825,"Room 213 Netcare Union Hospital, 47 Clinton Road, New Redruth, Alberton",-26.2425,28.151111,Western Sky,-26.270759299999998,28.1122679,"Ground Floor, Terminal Building, Lanseria International Airport",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2130,31.058889,-89.411389,freedom strip,31.102680499999998,-89.4189533,Purvis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2131,53.781667000000006,-3.061944,north west air ambulance blackpool,53.7764535,-3.0435026000000014,Saint Anne's on the Sea,53.781667000000006,-3.061944,Flight Path Trial Flying Lessons | Pleasure Flights Blackpool,53.777919,-3.042427,"Blackpool Airport, Squires Gate Lane, Blackpool",53.781667000000006,-3.061944,Blackpool Groundhandling,53.778167599999996,-3.0415781,Blackpool,53.781667000000006,-3.061944,High-G Pilot Training,53.778935700000005,-3.03913,"Blackpool Airport, Squires Gate Lane, Blackpool",53.781667000000006,-3.061944,Blackpool Airport,53.77225379999999,-3.033144399999999,"Squires Gate Lane, Blackpool",53.781667000000006,-3.061944,Responsible Airport Parking,53.8035174,-3.0086912999999997,"Chiswick Court, Chiswick Grove, Blackpool",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2132,62.274723,-142.883333,orange hill,62.21258899999999,-142.85522,AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2133,63.316667,-142.95611100000002,tok junction,63.33224860000001,-142.9536591,Tok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2134,42.118889,-73.694722,green acres airport-1a1,42.1489839,-73.7511777,"193 Schneider Road, Hudson",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2135,39.853889,-83.267778,boutn ndb bu 230,39.81925379999999,-83.20483019999998,Orient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2136,33.680834000000004,-117.704167,sce saddleback service center heliport,33.6550213,-117.70532879999999,Irvine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
