,iata,wiki_title,state_names,num_words_matched,max_state
CRANE ISLAND,YTZ,Billy Bishop Toronto City Airport - Wikipedia,"{'New Jersey': 2, 'Washington': 3}",0,True
BYRON,none,Byron Airport - Wikipedia,{'California': 47},1,True
NAS PENSACOLA,CEW,Bob Sikes Airport - Wikipedia,{'Florida': 63},0,True
TRI-STATE STEUBEN COUNTY,ANQ,Tri-State Steuben County Airport - Wikipedia,"{'Delaware': 3, 'Indiana': 98, 'Michigan': 3}",3,True
ELLIOT FIELD,CUB,Jim Hamilton–L.B. Owens Airport - Wikipedia,{'South Carolina': 31},0,True
MORRISON,PBI,Palm Beach International Airport - Wikipedia,"{'Florida': 203, 'Georgia': 1, 'Indiana': 8, 'Kentucky': 4, 'Maryland': 1, 'Massachusetts': 1, 'New Jersey': 1, 'New York': 15, 'North Carolina': 1, 'Oklahoma': 1, 'Pennsylvania': 1, 'Puerto Rico': 2, 'Texas': 1, 'Virginia': 3, 'Washington': 34}",0,False
GRAVEL BAR,BTI,Barter Island LRRS Airport - Wikipedia,{'Alaska': 75},0,True
SALMOM LAKE,AKN,King Salmon Airport - Wikipedia,{'Alaska': 41},0,True
FRENCH VALLEY,RBK,French Valley Airport - Wikipedia,"{'California': 56, 'Texas': 3}",2,True
PARADISE VALLEY,LAS,McCarran International Airport - Wikipedia,"{'Alaska': 10, 'Arizona': 6, 'Arkansas': 2, 'California': 6, 'Colorado': 4, 'Georgia': 1, 'Hawaii': 8, 'Idaho': 3, 'Illinois': 1, 'Indiana': 12, 'Iowa': 3, 'Kansas': 6, 'Kentucky': 6, 'Minnesota': 1, 'Nebraska': 2, 'Nevada': 152, 'New Mexico': 1, 'New York': 9, 'Oklahoma': 2, 'Texas': 1, 'Utah': 1, 'Washington': 24}",0,True
BOSTON INT'L,JFK,John F. Kennedy International Airport - Wikipedia,"{'Alabama': 1, 'Alaska': 16, 'Arizona': 3, 'California': 2, 'Florida': 7, 'Georgia': 1, 'Hawaii': 16, 'Indiana': 9, 'Kentucky': 8, 'Massachusetts': 11, 'Mississippi': 1, 'Nevada': 1, 'New Jersey': 56, 'New York': 264, 'Ohio': 1, 'Oregon': 2, 'Pennsylvania': 2, 'Puerto Rico': 1, 'Washington': 44, 'Wisconsin': 1}",0,False
BURNS JUNCTION,BNO,Burns Municipal Airport - Wikipedia,"{'Illinois': 3, 'Oregon': 72}",1,True
LAKE POWELL,BFG,Bullfrog Basin Airport - Wikipedia,{'Utah': 21},0,True
MAJOR,DTW,Detroit Metropolitan Airport - Wikipedia,"{'Alaska': 12, 'Arizona': 3, 'California': 1, 'Colorado': 1, 'Florida': 8, 'Georgia': 1, 'Illinois': 3, 'Indiana': 9, 'Iowa': 3, 'Kansas': 6, 'Kentucky': 6, 'Massachusetts': 1, 'Michigan': 142, 'Nevada': 1, 'New York': 11, 'Ohio': 5, 'Oklahoma': 1, 'Tennessee': 2, 'Texas': 1, 'Washington': 26, 'Wisconsin': 4}",0,False
BROOKHAVENS,WSH,Brookhaven Airport - Wikipedia,"{'New Jersey': 2, 'New York': 41, 'Washington': 1}",0,True
NYAC,ZNC,Nyac Airport - Wikipedia,{'Alaska': 46},1,True
BEAR CREEK NO. 1,BCC,Bear Creek 3 Airport - Wikipedia,{'Alaska': 40},2,True
FT COLLINS/LOVELAND,FNL,Northern Colorado Regional Airport - Wikipedia,"{'Colorado': 133, 'Illinois': 3, 'Nevada': 3, 'Texas': 1}",0,True
CONCRETE MUNICIPAL,RNT,Renton Municipal Airport - Wikipedia,"{'Virginia': 3, 'Washington': 79}",1,True
JUMP WEST,WYS,Yellowstone Airport - Wikipedia,"{'Idaho': 3, 'Montana': 69, 'Utah': 1, 'Wyoming': 3}",0,False
DANIEL FIELD,DNL,Daniel Field - Wikipedia,"{'Alabama': 2, 'Georgia': 157, 'Kentucky': 5, 'Louisiana': 3, 'Michigan': 3, 'North Carolina': 5, 'Pennsylvania': 3, 'South Carolina': 4, 'Texas': 6}",2,True
PARADISE,LAS,McCarran International Airport - Wikipedia,"{'Alaska': 10, 'Arizona': 6, 'Arkansas': 2, 'California': 6, 'Colorado': 4, 'Georgia': 1, 'Hawaii': 8, 'Idaho': 3, 'Illinois': 1, 'Indiana': 12, 'Iowa': 3, 'Kansas': 6, 'Kentucky': 6, 'Minnesota': 1, 'Nebraska': 2, 'Nevada': 152, 'New Mexico': 1, 'New York': 9, 'Oklahoma': 2, 'Texas': 1, 'Utah': 1, 'Washington': 24}",0,False
TRAVIS AFB,SAV,Savannah/Hilton Head International Airport - Wikipedia,"{'Arizona': 1, 'California': 1, 'Florida': 2, 'Georgia': 83, 'Indiana': 3, 'Kentucky': 2, 'New York': 8, 'Puerto Rico': 2, 'South Carolina': 19, 'Texas': 1, 'Washington': 11}",0,False
IDAHO COUNTY,IDH,Idaho County Airport - Wikipedia,{'Idaho': 73},2,True
E.A. LOVE FIELD,,Greater Southwest International Airport - Wikipedia,"{'Arizona': 3, 'New York': 2, 'Texas': 115}",0,False
LONG BEACH,LGB,Long Beach Airport - Wikipedia,"{'Alaska': 4, 'Arizona': 1, 'California': 130, 'Hawaii': 11, 'Nevada': 1, 'New York': 5, 'Texas': 3, 'Utah': 1, 'Washington': 1}",2,True
U OF A AG STRIP,LAX,Los Angeles International Airport - Wikipedia,"{'Alabama': 1, 'Alaska': 35, 'Arizona': 3, 'Arkansas': 4, 'California': 170, 'Colorado': 4, 'Florida': 2, 'Georgia': 1, 'Hawaii': 9, 'Idaho': 3, 'Illinois': 1, 'Indiana': 15, 'Iowa': 3, 'Kansas': 9, 'Kentucky': 8, 'Maryland': 1, 'Nevada': 1, 'New Jersey': 1, 'New York': 10, 'North Carolina': 1, 'Ohio': 3, 'Oklahoma': 3, 'Pennsylvania': 2, 'Texas': 9, 'Utah': 1, 'Washington': 43}",0,False
CABLE,CCB,Cable Airport - Wikipedia,"{'Arizona': 1, 'California': 45, 'Nevada': 1, 'Texas': 3}",1,True
FT. LAUDERDALE INT'L,FLL,Fort Lauderdale–Hollywood International Airport - Wikipedia,"{'Alaska': 11, 'Florida': 241, 'Georgia': 1, 'Indiana': 12, 'Kansas': 3, 'Kentucky': 8, 'Maryland': 1, 'Massachusetts': 1, 'New Jersey': 1, 'New York': 16, 'North Carolina': 1, 'Pennsylvania': 1, 'Puerto Rico': 1, 'Texas': 1, 'Virginia': 3, 'Washington': 30}",0,True
NATOMAS FIELD,SMF,Sacramento International Airport - Wikipedia,"{'Alaska': 19, 'Arizona': 1, 'California': 80, 'Colorado': 1, 'Hawaii': 12, 'Mississippi': 1, 'Nevada': 1, 'New Jersey': 1, 'New York': 2, 'North Carolina': 1, 'Oregon': 1, 'Texas': 1, 'Washington': 9}",0,True
OHIO RIVER,LUK,Cincinnati Municipal Lunken Airport - Wikipedia,"{'Alaska': 3, 'Arizona': 3, 'Florida': 1, 'Georgia': 1, 'Illinois': 1, 'Indiana': 2, 'Kentucky': 28, 'Montana': 2, 'New Jersey': 1, 'New York': 1, 'North Carolina': 1, 'Ohio': 92, 'Virginia': 1, 'Washington': 9}",0,False
GWINNETT COUNTY,LZU,Gwinnett County Airport - Wikipedia,"{'Georgia': 43, 'New York': 1}",2,True
WALKER STRIP,YQG,Windsor International Airport - Wikipedia,"{'Georgia': 1, 'Michigan': 5}",0,False
AG STRIP,LAX,Los Angeles International Airport - Wikipedia,"{'Alabama': 1, 'Alaska': 35, 'Arizona': 3, 'Arkansas': 4, 'California': 170, 'Colorado': 4, 'Florida': 2, 'Georgia': 1, 'Hawaii': 9, 'Idaho': 3, 'Illinois': 1, 'Indiana': 15, 'Iowa': 3, 'Kansas': 9, 'Kentucky': 8, 'Maryland': 1, 'Nevada': 1, 'New Jersey': 1, 'New York': 10, 'North Carolina': 1, 'Ohio': 3, 'Oklahoma': 3, 'Pennsylvania': 2, 'Texas': 9, 'Utah': 1, 'Washington': 43}",0,True
HEALY LAKE,HKB,Healy Lake Airport - Wikipedia,{'Alaska': 38},2,True
CENTER ISLAND,CWS,Center Island Airport - Wikipedia,{'Washington': 64},2,True
OHIO STATE UNIVERSITY,OSU,Ohio State University Airport - Wikipedia,"{'Delaware': 3, 'Michigan': 4, 'Ohio': 268}",3,True
EXCURSION INLET,EXI,Excursion Inlet Seaplane Base - Wikipedia,{'Alaska': 69},2,True
ED'S,JFK,John F. Kennedy International Airport - Wikipedia,"{'Alabama': 1, 'Alaska': 16, 'Arizona': 3, 'California': 2, 'Florida': 7, 'Georgia': 1, 'Hawaii': 16, 'Indiana': 9, 'Kentucky': 8, 'Massachusetts': 11, 'Mississippi': 1, 'Nevada': 1, 'New Jersey': 56, 'New York': 264, 'Ohio': 1, 'Oregon': 2, 'Pennsylvania': 2, 'Puerto Rico': 1, 'Washington': 44, 'Wisconsin': 1}",0,False
DILLINGHAM,DLG,Dillingham Airport - Wikipedia,"{'Alaska': 135, 'Hawaii': 1}",1,True
HOUSTON HELICOPTER,IAH,George Bush Intercontinental Airport - Wikipedia,"{'Alaska': 10, 'Arkansas': 3, 'California': 2, 'Colorado': 4, 'Florida': 9, 'Georgia': 1, 'Illinois': 1, 'Indiana': 6, 'Kansas': 9, 'Kentucky': 8, 'Louisiana': 5, 'Nevada': 1, 'New Jersey': 1, 'New York': 10, 'Oklahoma': 2, 'Texas': 103, 'Washington': 26}",0,True
PRIVATE FIELD,LGA,LaGuardia Airport - Wikipedia,"{'Alaska': 5, 'Arkansas': 4, 'Colorado': 1, 'Florida': 15, 'Georgia': 1, 'Illinois': 1, 'Indiana': 6, 'Kansas': 6, 'Kentucky': 4, 'Massachusetts': 1, 'Michigan': 1, 'New Jersey': 36, 'New York': 164, 'North Carolina': 1, 'Oklahoma': 1, 'Texas': 4, 'Washington': 41}",0,False
SKY MEADOWS,BFL,Meadows Field Airport - Wikipedia,"{'Alabama': 2, 'Arizona': 1, 'California': 85, 'Colorado': 1, 'Florida': 3, 'Texas': 2, 'Washington': 1}",1,False
FARM FIELD,BNA,Nashville International Airport - Wikipedia,"{'Alabama': 2, 'Alaska': 7, 'Arkansas': 2, 'California': 1, 'Colorado': 1, 'Florida': 7, 'Georgia': 1, 'Illinois': 3, 'Indiana': 6, 'Iowa': 3, 'Kansas': 3, 'Kentucky': 2, 'Massachusetts': 1, 'Michigan': 1, 'New York': 10, 'North Carolina': 1, 'Oklahoma': 1, 'Tennessee': 150, 'Texas': 2, 'Washington': 12}",0,False
ALEXANDER FIELD,ISW,South Wood County Airport - Wikipedia,{'Wisconsin': 93},0,True
FORT HILL,FLL,Fort Lauderdale–Hollywood International Airport - Wikipedia,"{'Alaska': 11, 'Florida': 241, 'Georgia': 1, 'Indiana': 12, 'Kansas': 3, 'Kentucky': 8, 'Maryland': 1, 'Massachusetts': 1, 'New Jersey': 1, 'New York': 16, 'North Carolina': 1, 'Pennsylvania': 1, 'Puerto Rico': 1, 'Texas': 1, 'Virginia': 3, 'Washington': 30}",1,False
GALLUP,GUP,Gallup Municipal Airport - Wikipedia,{'New Mexico': 20},1,True
CHEYENNE,CYS,Cheyenne Regional Airport - Wikipedia,"{'Colorado': 1, 'Nevada': 5, 'New York': 1, 'Oklahoma': 1, 'Wyoming': 62}",1,True
INDIANAPOLIS INT'L,IND,Indianapolis International Airport - Wikipedia,"{'Alaska': 4, 'Arizona': 1, 'California': 2, 'Colorado': 2, 'Delaware': 3, 'Florida': 16, 'Georgia': 2, 'Illinois': 1, 'Indiana': 371, 'Iowa': 2, 'Kansas': 6, 'Massachusetts': 1, 'Michigan': 4, 'Minnesota': 1, 'Nevada': 1, 'New Jersey': 1, 'New York': 7, 'North Carolina': 1, 'Ohio': 2, 'Tennessee': 1, 'Texas': 2, 'Washington': 14}",1,True
CLEARWATER EXECUTIVE,PIE,St. Pete–Clearwater International Airport - Wikipedia,"{'Florida': 122, 'Illinois': 3, 'Indiana': 14, 'Iowa': 4, 'Kansas': 4, 'Kentucky': 4, 'Michigan': 7, 'Missouri': 1, 'New York': 6, 'North Carolina': 3, 'Ohio': 2, 'Oklahoma': 1, 'Pennsylvania': 2, 'South Carolina': 2, 'Tennessee': 2, 'Virginia': 1, 'Washington': 2}",0,True
FT. LAUDERDALE EXEC,FXE,Fort Lauderdale Executive Airport - Wikipedia,"{'Florida': 187, 'Virginia': 3}",1,True
RENO CANNON,RNO,Reno–Tahoe International Airport - Wikipedia,"{'Alaska': 5, 'Arizona': 1, 'California': 10, 'Colorado': 1, 'Michigan': 1, 'Minnesota': 3, 'Nevada': 59, 'New York': 4, 'Oregon': 3, 'Texas': 1, 'Utah': 1, 'Washington': 8}",0,True
SOUTHERLAND,AUS,Austin–Bergstrom International Airport - Wikipedia,"{'Alaska': 9, 'Arizona': 1, 'California': 5, 'Colorado': 4, 'Florida': 2, 'Georgia': 1, 'Illinois': 1, 'Indiana': 6, 'Kansas': 3, 'Kentucky': 4, 'Nevada': 1, 'New York': 3, 'Texas': 253, 'Washington': 19}",0,False
BARBOUR INSLAND,LAX,Los Angeles International Airport - Wikipedia,"{'Alabama': 1, 'Alaska': 35, 'Arizona': 3, 'Arkansas': 4, 'California': 170, 'Colorado': 4, 'Florida': 2, 'Georgia': 1, 'Hawaii': 9, 'Idaho': 3, 'Illinois': 1, 'Indiana': 15, 'Iowa': 3, 'Kansas': 9, 'Kentucky': 8, 'Maryland': 1, 'Nevada': 1, 'New Jersey': 1, 'New York': 10, 'North Carolina': 1, 'Ohio': 3, 'Oklahoma': 3, 'Pennsylvania': 2, 'Texas': 9, 'Utah': 1, 'Washington': 43}",0,False
OCEAN SHORES,SBY,Salisbury–Ocean City–Wicomico Regional Airport - Wikipedia,"{'Delaware': 3, 'Maryland': 54, 'North Carolina': 2, 'Pennsylvania': 1, 'Virginia': 3, 'Washington': 14}",0,False
FIELD,SAN,San Diego International Airport - Wikipedia,"{'Alabama': 3, 'Alaska': 43, 'Arizona': 5, 'California': 101, 'Colorado': 1, 'Georgia': 4, 'Hawaii': 11, 'Idaho': 3, 'Illinois': 1, 'Indiana': 6, 'Kansas': 5, 'Kentucky': 2, 'Minnesota': 3, 'Nevada': 1, 'New York': 5, 'Texas': 1, 'Washington': 18}",0,False
JACKSONVILLE INT'L,JFK,John F. Kennedy International Airport - Wikipedia,"{'Alabama': 1, 'Alaska': 16, 'Arizona': 3, 'California': 2, 'Florida': 7, 'Georgia': 1, 'Hawaii': 16, 'Indiana': 9, 'Kentucky': 8, 'Massachusetts': 11, 'Mississippi': 1, 'Nevada': 1, 'New Jersey': 56, 'New York': 264, 'Ohio': 1, 'Oregon': 2, 'Pennsylvania': 2, 'Puerto Rico': 1, 'Washington': 44, 'Wisconsin': 1}",0,False
YORK AIRPORT,JFK,John F. Kennedy International Airport - Wikipedia,"{'Alabama': 1, 'Alaska': 16, 'Arizona': 3, 'California': 2, 'Florida': 7, 'Georgia': 1, 'Hawaii': 16, 'Indiana': 9, 'Kentucky': 8, 'Massachusetts': 11, 'Mississippi': 1, 'Nevada': 1, 'New Jersey': 56, 'New York': 264, 'Ohio': 1, 'Oregon': 2, 'Pennsylvania': 2, 'Puerto Rico': 1, 'Washington': 44, 'Wisconsin': 1}",0,False
CHEYENNE MUNICIPAL,CYS,Cheyenne Regional Airport - Wikipedia,"{'Colorado': 1, 'Nevada': 5, 'New York': 1, 'Oklahoma': 1, 'Wyoming': 62}",1,True
WINTER HAVEN'S GILBERT,GIF,Winter Haven's Gilbert Airport - Wikipedia,{'Florida': 105},3,True
MIAMI INT'L,MIA,Miami International Airport - Wikipedia,"{'Arkansas': 2, 'California': 1, 'Florida': 230, 'Georgia': 1, 'Illinois': 1, 'Indiana': 9, 'Iowa': 3, 'Kansas': 6, 'Kentucky': 14, 'New Jersey': 3, 'New York': 22, 'North Carolina': 3, 'Oklahoma': 1, 'Oregon': 3, 'Pennsylvania': 1, 'Tennessee': 3, 'Texas': 4, 'Virginia': 6, 'Washington': 30}",1,True
PACE FIELD,LUK,Cincinnati Municipal Lunken Airport - Wikipedia,"{'Alaska': 3, 'Arizona': 3, 'Florida': 1, 'Georgia': 1, 'Illinois': 1, 'Indiana': 2, 'Kentucky': 28, 'Montana': 2, 'New Jersey': 1, 'New York': 1, 'North Carolina': 1, 'Ohio': 92, 'Virginia': 1, 'Washington': 9}",0,False
REDBIRD,RBD,Dallas Executive Airport - Wikipedia,{'Texas': 52},0,True
KIPNUK,KPN,Kipnuk Airport - Wikipedia,{'Alaska': 45},1,True
MACON MUNICIPAL,MCN,Middle Georgia Regional Airport - Wikipedia,"{'Florida': 3, 'Georgia': 164, 'Hawaii': 1, 'Mississippi': 2, 'Washington': 11}",0,False
SKWENTNA,SKW,Skwentna Airport - Wikipedia,{'Alaska': 31},1,True
WESTERLY STATE,WST,Westerly State Airport - Wikipedia,"{'New York': 1, 'Rhode Island': 28, 'Washington': 7}",2,True
BUSH,IAH,George Bush Intercontinental Airport - Wikipedia,"{'Alaska': 10, 'Arkansas': 3, 'California': 2, 'Colorado': 4, 'Florida': 9, 'Georgia': 1, 'Illinois': 1, 'Indiana': 6, 'Kansas': 9, 'Kentucky': 8, 'Louisiana': 5, 'Nevada': 1, 'New Jersey': 1, 'New York': 10, 'Oklahoma': 2, 'Texas': 103, 'Washington': 26}",1,False
