,iata,wiki_title,state_names,num_words_matched,max_state
THOMPSON AIRPORT,DTW,Detroit Metropolitan Airport - Wikipedia,"{'Alaska': 12, 'Arizona': 3, 'California': 1, 'Colorado': 1, 'Florida': 8, 'Georgia': 1, 'Illinois': 3, 'Indiana': 9, 'Iowa': 3, 'Kansas': 6, 'Kentucky': 6, 'Massachusetts': 1, 'Michigan': 142, 'Nevada': 1, 'New York': 11, 'Ohio': 5, 'Oklahoma': 1, 'Tennessee': 2, 'Texas': 1, 'Washington': 26, 'Wisconsin': 4}",0,True
STOYAHUK,KNW,New Stuyahok Airport - Wikipedia,{'Alaska': 19},0,True
LEMHI COUNTY,SMN,Lemhi County Airport - Wikipedia,{'Idaho': 48},2,True
B&G FARMS,YYZ,Toronto Pearson International Airport - Wikipedia,"{'Florida': 4, 'Indiana': 6, 'Kansas': 3, 'Kentucky': 4, 'Maryland': 1, 'Michigan': 6, 'New York': 12, 'Ohio': 3, 'Washington': 12}",0,False
PORTAGE CREEK,PCA,Portage Creek Airport - Wikipedia,{'Alaska': 30},2,True
FINCH [PRIVATE],YYZ,Toronto Pearson International Airport - Wikipedia,"{'Florida': 4, 'Indiana': 6, 'Kansas': 3, 'Kentucky': 4, 'Maryland': 1, 'Michigan': 6, 'New York': 12, 'Ohio': 3, 'Washington': 12}",0,False
JUNEAU INTL,ANC,Ted Stevens Anchorage International Airport - Wikipedia,"{'Alaska': 193, 'California': 2, 'Colorado': 6, 'Guam': 1, 'Hawaii': 1, 'Illinois': 6, 'Indiana': 3, 'Kentucky': 4, 'Minnesota': 9, 'New York': 13, 'Oregon': 9, 'Puerto Rico': 2, 'Washington': 20}",0,True
SARASOTA/BRADENTON,SRQ,Sarasota–Bradenton International Airport - Wikipedia,"{'Florida': 198, 'Georgia': 10, 'Illinois': 10, 'Indiana': 8, 'Kentucky': 17, 'Louisiana': 3, 'Maine': 3, 'Massachusetts': 10, 'New Jersey': 3, 'New York': 14, 'North Carolina': 3, 'Ohio': 20, 'Texas': 2, 'Virginia': 9, 'Washington': 29}",0,True
PRIVATE HELIPAD,TUS,Tucson International Airport - Wikipedia,"{'Alaska': 11, 'Arizona': 65, 'California': 6, 'Colorado': 1, 'Georgia': 1, 'Illinois': 1, 'Indiana': 8, 'Kentucky': 2, 'Nevada': 1, 'Texas': 3, 'Washington': 1}",0,False
MORNING STAR,DFW,Dallas/Fort Worth International Airport - Wikipedia,"{'Alaska': 8, 'Arizona': 1, 'Arkansas': 8, 'California': 1, 'Colorado': 7, 'Florida': 8, 'Georgia': 1, 'Illinois': 5, 'Indiana': 6, 'Iowa': 3, 'Kansas': 6, 'Kentucky': 16, 'Louisiana': 4, 'Nebraska': 2, 'Nevada': 1, 'New York': 12, 'Oklahoma': 4, 'Tennessee': 2, 'Texas': 227, 'Washington': 29}",0,False
