tracon_code,month,year,faa_incidents
ANE,7,2004,1
ANE,7,2005,2
ANE,7,2007,2
ANE,7,2014,1
ANE,8,1990,1
ANE,8,1997,1
ANE,8,1998,1
ANE,8,2002,1
ANE,8,2005,1
ANE,9,1993,1
ANE,9,1998,1
ANE,9,1999,2
ANE,9,2000,1
ANE,9,2005,1
ANE,10,2001,2
ANE,11,1997,1
ANE,11,2015,1
ANE,11,2018,1
ANE,12,1999,1
ANE,12,2013,1
ATL,1,1988,1
ATL,1,1989,2
ATL,1,1990,6
ATL,1,1991,1
ATL,1,1992,1
ATL,1,1994,1
ATL,1,1995,2
ATL,1,1996,2
ATL,1,1997,1
ATL,1,1999,2
ATL,1,2002,1
ATL,1,2004,1
ATL,1,2009,2
ATL,1,2010,6
ATL,2,1990,2
ATL,2,1993,1
ATL,2,1995,2
ATL,2,1996,1
ATL,2,1997,2
ATL,2,2010,7
ATL,2,2011,1
ATL,3,1988,4
ATL,3,1990,5
ATL,3,1991,2
ATL,3,1993,1
ATL,3,1994,1
ATL,3,1995,1
ATL,3,1996,1
ATL,3,2001,1
ATL,3,2004,2
ATL,3,2007,1
ATL,3,2010,2
ATL,3,2012,1
ATL,4,1991,2
ATL,4,1995,1
ATL,4,2006,1
ATL,5,1990,2
ATL,5,1993,1
ATL,5,1994,1
ATL,5,1996,2
ATL,5,1997,2
ATL,5,2003,1
ATL,5,2007,1
ATL,5,2010,3
ATL,5,2011,2
ATL,5,2013,1
ATL,6,1988,2
ATL,6,1990,2
ATL,6,1992,1
ATL,6,1994,1
ATL,6,1995,3
ATL,6,2001,1
ATL,6,2003,2
ATL,6,2009,1
ATL,6,2011,1
ATL,6,2013,1
ATL,6,2019,1
ATL,7,1991,1
ATL,7,1992,1
ATL,7,1993,1
ATL,7,1994,1
ATL,7,1999,1
ATL,7,2004,1
ATL,7,2006,1
ATL,8,1988,3
ATL,8,1990,3
ATL,8,1996,1
ATL,8,2002,1
ATL,8,2003,2
ATL,9,1989,5
ATL,9,1990,2
ATL,9,1993,1
ATL,9,1996,1
ATL,9,1997,1
ATL,9,2003,2
ATL,9,2010,1
ATL,10,1988,2
ATL,10,1989,3
ATL,10,1990,2
ATL,10,1992,2
ATL,10,1996,3
ATL,10,2003,1
ATL,10,2009,1
ATL,10,2011,1
ATL,10,2016,1
ATL,11,1988,1
ATL,11,1989,1
ATL,11,1990,3
ATL,11,1991,2
ATL,11,1992,1
ATL,11,1993,1
ATL,11,1996,1
ATL,11,1999,1
ATL,11,2003,3
ATL,11,2006,1
ATL,11,2009,3
ATL,11,2010,1
ATL,11,2014,1
ATL,12,1988,2
ATL,12,1989,3
ATL,12,1990,1
ATL,12,1993,2
ATL,12,1994,1
ATL,12,1995,1
ATL,12,1996,1
ATL,12,2000,2
ATL,12,2003,2
ATL,12,2004,1
ATL,12,2009,14
AUS,1,1988,1
AUS,1,1989,1
AUS,1,1992,1
AUS,1,1994,1
AUS,1,1995,1
AUS,1,2005,1
AUS,1,2017,1
AUS,2,1990,1
AUS,2,1991,1
AUS,2,1992,1
AUS,2,1995,1
AUS,2,1997,2
AUS,2,1999,1
AUS,2,2004,1
AUS,2,2006,1
AUS,2,2008,1
AUS,2,2018,1
AUS,3,1989,2
AUS,3,1990,2
AUS,3,1992,1
AUS,3,1995,1
AUS,3,1997,1
AUS,3,1998,1
AUS,3,2000,1
AUS,3,2005,2
AUS,3,2011,1
AUS,3,2016,1
AUS,4,1988,1
AUS,4,1991,1
AUS,4,1993,1
AUS,4,1996,1
AUS,4,1997,2
AUS,4,1998,2
AUS,4,2003,1
AUS,4,2006,1
AUS,4,2012,1
AUS,4,2015,1
AUS,4,2017,1
AUS,5,1988,1
AUS,5,1989,1
AUS,5,1993,1
AUS,5,1995,2
AUS,5,1997,1
AUS,5,1998,1
AUS,5,1999,1
AUS,5,2001,1
AUS,5,2016,1
AUS,5,2017,1
AUS,6,1988,1
AUS,6,1990,1
AUS,6,1994,1
AUS,6,1996,1
AUS,6,1999,1
AUS,7,1993,2
AUS,7,1995,2
AUS,7,1997,2
AUS,7,1999,1
AUS,7,2018,1
AUS,8,1988,1
AUS,8,1990,4
AUS,8,1994,2
AUS,8,1999,1
AUS,8,2003,1
AUS,8,2008,1
AUS,8,2010,1
AUS,8,2014,1
AUS,8,2015,1
AUS,9,1988,1
AUS,9,1994,3
AUS,9,1995,1
AUS,9,1996,1
AUS,9,2007,1
AUS,9,2013,1
AUS,9,2014,1
AUS,10,1988,2
AUS,10,1989,1
AUS,10,1992,1
AUS,10,1994,1
AUS,10,1998,4
AUS,10,2001,1
AUS,10,2008,1
AUS,11,1988,2
AUS,11,1992,1
AUS,11,1993,1
AUS,11,1994,2
AUS,11,1995,2
AUS,11,1999,1
AUS,11,2015,1
AUS,11,2018,1
AUS,12,1996,2
AUS,12,1997,1
AUS,12,2011,1
AWO,2,1998,1
AWO,3,2006,1
AWO,4,2003,1
AWO,4,2011,1
AWO,4,2019,1
AWO,5,2008,3
AWO,5,2015,1
AWO,5,2018,1
AWO,6,2004,1
AWO,7,1996,1
AWO,7,1998,1
AWO,7,2001,1
AWO,7,2002,1
AWO,7,2003,1
AWO,7,2004,1
AWO,7,2006,1
AWO,7,2007,1
AWO,7,2008,1
AWO,7,2010,1
AWO,7,2013,1
AWO,7,2016,1
AWO,7,2018,1
AWO,8,1996,1
AWO,8,2008,1
AWO,9,2002,1
AWO,9,2009,1
AWO,10,2000,1
AWO,10,2004,1
AWO,10,2012,1
AWO,11,2016,1
AWO,12,2016,1
AXH,1,1989,1
AXH,2,2005,1
AXH,3,1990,1
AXH,3,1997,1
AXH,3,2004,1
AXH,3,2008,1
AXH,3,2010,1
AXH,3,2014,1
AXH,3,2018,1
AXH,4,1991,1
AXH,4,1992,1
AXH,4,1994,1
AXH,5,2015,1
AXH,6,1988,1
AXH,6,2009,1
AXH,7,2011,1
AXH,8,2000,1
AXH,9,2018,1
AXH,10,1998,1
AXH,10,2005,1
AXH,11,1998,1
AXH,11,2005,1
AXH,11,2008,1
AXH,12,2015,1
BCV,1,1992,1
BCV,1,2001,1
BCV,2,1988,1
BCV,2,1991,1
BCV,2,1993,1
BCV,2,1994,2
BCV,2,1998,1
BCV,3,1991,1
BCV,4,1991,1
BCV,4,1993,1
BCV,4,1997,1
BCV,4,2002,1
BCV,4,2014,1
BCV,4,2017,1
BCV,5,1991,1
BCV,5,1997,1
BCV,5,2008,1
BCV,6,1990,1
BCV,7,1989,1
BCV,7,1990,1
BCV,7,2015,1
BCV,9,1997,1
BCV,9,1998,1
BCV,9,2012,1
BCV,9,2018,1
BCV,10,2012,1
BCV,11,2019,1
BKV,1,1995,1
BKV,1,2016,1
BKV,2,2004,1
BKV,2,2012,1
BKV,2,2013,1
BKV,2,2016,1
BKV,3,1996,1
BKV,3,1999,1
BKV,3,2018,1
BKV,4,1989,1
BKV,4,2000,1
BKV,4,2002,1
BKV,4,2014,1
BKV,4,2017,1
BKV,5,1999,2
BKV,6,2017,1
BKV,6,2018,1
BKV,7,1990,1
BKV,7,1999,1
BKV,8,2010,1
BKV,9,1993,1
BKV,9,2005,1
BKV,9,2018,1
BKV,10,1990,1
BKV,10,2009,1
BKV,10,2015,1
BKV,10,2018,1
BKV,11,1995,1
BKV,11,2018,1
BKV,12,2017,1
BKV,12,2019,1
BNA,1,1989,1
BNA,1,1990,2
BNA,1,1991,1
BNA,1,1992,1
BNA,1,1994,2
BNA,1,1995,1
BNA,1,1996,2
BNA,1,1997,1
BNA,1,1998,1
BNA,1,2003,1
BNA,1,2016,1
BNA,1,2017,1
BNA,2,1988,2
BNA,2,1993,2
BNA,2,1994,1
BNA,2,1995,1
BNA,2,1996,1
BNA,2,1998,1
BNA,2,2000,1
BNA,2,2001,1
BNA,2,2008,1
BNA,2,2009,1
BNA,2,2010,1
BNA,3,1988,1
BNA,3,1989,1
BNA,3,1990,1
BNA,3,1991,2
BNA,3,1993,1
BNA,3,1995,2
BNA,3,1998,1
BNA,3,1999,2
BNA,3,2001,1
BNA,3,2010,1
BNA,3,2018,1
BNA,3,2019,1
BNA,4,1989,1
BNA,4,1990,1
BNA,4,1991,1
BNA,4,1992,1
BNA,4,1994,3
BNA,4,1995,1
BNA,4,2001,1
BNA,4,2012,1
BNA,4,2018,1
BNA,5,1988,1
BNA,5,1989,1
BNA,5,1990,1
BNA,5,1993,1
BNA,5,1994,1
BNA,5,1996,1
BNA,5,1998,1
BNA,5,2000,2
BNA,5,2001,1
BNA,5,2002,2
BNA,5,2003,1
BNA,5,2010,1
BNA,6,1988,1
BNA,6,1993,1
BNA,6,1997,1
BNA,6,1998,2
BNA,6,2002,2
BNA,6,2003,1
BNA,6,2011,1
BNA,6,2015,1
BNA,7,1988,2
BNA,7,1989,1
BNA,7,1991,1
BNA,7,1993,1
BNA,7,1994,1
BNA,7,1996,1
BNA,7,1997,2
BNA,7,2008,1
BNA,7,2010,1
BNA,8,1988,2
BNA,8,1989,2
BNA,8,1991,1
BNA,8,1992,1
BNA,8,1993,3
BNA,8,1994,1
BNA,8,1995,1
BNA,8,1999,2
BNA,8,2002,3
BNA,8,2004,1
BNA,8,2008,2
BNA,8,2010,1
BNA,8,2016,1
BNA,9,1988,1
BNA,9,1991,3
BNA,9,1992,2
BNA,9,1999,1
BNA,9,2000,1
BNA,9,2001,1
BNA,9,2009,1
BNA,9,2012,1
BNA,10,1988,2
BNA,10,1989,1
BNA,10,1990,1
BNA,10,1992,1
BNA,10,1997,1
BNA,10,2000,1
BNA,10,2003,1
BNA,10,2019,1
BNA,11,1988,1
BNA,11,1990,2
BNA,11,1991,1
BNA,11,1993,1
BNA,11,1994,1
BNA,11,1995,3
BNA,11,1996,2
BNA,11,1997,1
BNA,11,2005,1
BNA,11,2006,1
BNA,12,1988,3
BNA,12,1990,1
BNA,12,1991,2
BNA,12,1994,1
BNA,12,1997,1
BNA,12,1998,1
BNA,12,1999,1
BNA,12,2002,1
BNA,12,2006,1
BNA,12,2007,1
BNA,12,2010,1
BOS,1,1989,2
BOS,1,1990,2
BOS,1,1991,2
BOS,1,2000,1
BOS,1,2002,2
BOS,1,2006,1
BOS,1,2009,2
BOS,1,2010,1
BOS,1,2012,1
BOS,1,2018,2
BOS,2,1988,3
BOS,2,1989,2
BOS,2,1990,1
BOS,2,1991,1
BOS,2,1992,1
BOS,2,1993,1
BOS,2,1994,1
BOS,2,1995,1
BOS,2,1998,1
BOS,2,2000,1
BOS,2,2002,1
BOS,2,2003,1
BOS,2,2006,1
BOS,2,2009,1
BOS,2,2010,1
BOS,3,1988,2
BOS,3,1990,2
BOS,3,1993,1
BOS,3,2001,1
BOS,3,2002,1
BOS,3,2006,1
BOS,3,2008,1
BOS,3,2017,1
BOS,4,1988,1
BOS,4,1990,2
BOS,4,1991,1
BOS,4,1992,2
BOS,4,1995,1
BOS,4,2001,1
BOS,4,2002,1
BOS,4,2003,1
BOS,4,2008,1
BOS,4,2016,1
BOS,4,2018,1
BOS,4,2019,1
BOS,5,1988,1
BOS,5,1989,2
BOS,5,1991,1
BOS,5,1992,1
BOS,5,1997,1
BOS,5,2004,1
BOS,5,2009,1
BOS,5,2010,1
BOS,5,2018,1
BOS,5,2019,1
BOS,6,1990,1
BOS,6,1991,3
BOS,6,1992,1
BOS,6,1996,1
BOS,6,1998,2
BOS,6,1999,1
BOS,6,2001,1
BOS,6,2003,2
BOS,6,2005,1
BOS,6,2007,1
BOS,6,2009,1
BOS,6,2014,2
BOS,6,2019,1
BOS,7,1988,2
BOS,7,1989,1
BOS,7,1997,1
BOS,7,1999,3
BOS,7,2000,1
BOS,7,2002,1
BOS,7,2006,1
BOS,7,2015,1
BOS,7,2019,1
BOS,8,1988,1
BOS,8,1989,1
BOS,8,1990,2
BOS,8,1992,1
BOS,8,1997,1
BOS,8,2001,1
BOS,8,2002,1
BOS,8,2007,2
BOS,8,2008,1
BOS,8,2014,1
BOS,8,2019,1
BOS,9,1988,1
BOS,9,1990,1
BOS,9,1991,1
BOS,9,1992,1
BOS,9,2002,4
BOS,9,2004,3
BOS,9,2006,2
BOS,9,2007,1
BOS,9,2011,2
BOS,9,2013,1
BOS,9,2014,1
BOS,10,1991,1
BOS,10,1992,1
BOS,10,1995,1
BOS,10,1996,1
BOS,10,1998,2
BOS,10,2000,1
BOS,10,2001,2
BOS,10,2002,1
BOS,10,2005,2
BOS,10,2011,1
BOS,11,1988,3
BOS,11,1989,2
BOS,11,1990,2
BOS,11,1991,1
BOS,11,1994,1
BOS,11,1997,1
BOS,11,2000,1
BOS,11,2001,1
BOS,11,2003,1
BOS,11,2018,2
BOS,12,1994,1
BOS,12,1999,1
BOS,12,2000,1
BOS,12,2001,1
BOS,12,2005,2
BOS,12,2006,1
BOS,12,2008,1
BOS,12,2012,1
BOS,12,2019,1
BWI,1,1988,2
BWI,1,1989,2
BWI,1,1991,1
BWI,1,1992,1
BWI,1,1993,1
BWI,1,1994,1
BWI,1,1998,4
BWI,1,2006,1
BWI,1,2012,2
BWI,1,2018,1
BWI,2,1990,1
BWI,2,1991,1
BWI,2,1992,1
BWI,2,1999,1
BWI,2,2004,1
BWI,2,2007,1
BWI,2,2014,1
BWI,3,1989,1
BWI,3,1990,3
BWI,3,1991,2
BWI,3,1994,1
BWI,3,1995,1
BWI,3,1999,1
BWI,3,2001,1
BWI,3,2004,1
BWI,3,2009,1
BWI,3,2012,1
BWI,4,1988,1
BWI,4,1989,1
BWI,4,1990,3
BWI,4,1991,1
BWI,4,1992,2
BWI,4,1995,1
BWI,4,2002,1
BWI,4,2006,1
BWI,5,1990,3
BWI,5,1991,1
BWI,5,1999,2
BWI,5,2000,1
BWI,5,2003,1
BWI,5,2007,1
BWI,5,2016,1
BWI,6,1988,1
BWI,6,1989,2
BWI,6,1990,1
BWI,6,1993,1
