,iata,wiki_title
river field,JAN,Jackson–Medgar Wiley Evers International Airport - Wikipedia
robbins field,HEE,Thompson–Robbins Airport - Wikipedia
rocherster municipal,RST,Rochester International Airport - Wikipedia
rogers field,OKC,Will Rogers World Airport - Wikipedia
roosevelt memorial,EUX,F. D. Roosevelt Airport - Wikipedia
roseland,VRB,Vero Beach Regional Airport - Wikipedia
rotonda municipal,SFO,San Francisco International Airport - Wikipedia
round lake,ZRJ,Round Lake (Weagamow Lake) Airport - Wikipedia
royalton,9G5,Royalton Airport - Wikipedia
saginaw county h.w. browne,,Saginaw County H.W. Browne Airport - Wikipedia
saipan international,SPN,Saipan International Airport - Wikipedia
salem airpark inc,YNG,Youngstown–Warren Regional Airport - Wikipedia
san antonio municipal,SAT,San Antonio International Airport - Wikipedia
san juan international,SIG,Fernando Luis Ribas Dominicci Airport - Wikipedia
sanaa international,SAH,Sanaa International Airport - Wikipedia
sandpoint municipal,TXL,Berlin Tegel Airport - Wikipedia
sandstone municipal,AZO,Kalamazoo/Battle Creek International Airport - Wikipedia
sandusky city,,Griffing Sandusky Airport - Wikipedia
sangster international,MBJ,Sangster International Airport - Wikipedia
sarasota bradenton,SRQ,Sarasota–Bradenton International Airport - Wikipedia
sarasota bradenton international,SRQ,Sarasota–Bradenton International Airport - Wikipedia
sarasota municipal,SRQ,Sarasota–Bradenton International Airport - Wikipedia
savannah municipal,SAV,Savannah/Hilton Head International Airport - Wikipedia
sawyer,MQT,Sawyer International Airport - Wikipedia
scott city municipal,RNT,Renton Municipal Airport - Wikipedia
seattle international,SEA,Seattle–Tacoma International Airport - Wikipedia
selma,,Selma Municipal Airport - Wikipedia
selma municipal,,Selma Municipal Airport - Wikipedia
settle international,BER,Berlin Brandenburg Airport - Wikipedia
seven springs,ASP,Alice Springs Airport - Wikipedia
shallowwater municipal,SFO,San Francisco International Airport - Wikipedia
shannon international,SNN,Shannon Airport - Wikipedia
shaw island municipal,APF,Naples Airport (Florida) - Wikipedia
shilling's,KIS,Kisumu International Airport - Wikipedia
shreveport municipal,SHV,Shreveport Regional Airport - Wikipedia
silver west,EYW,Key West International Airport - Wikipedia
simsbury municipal,DXR,Danbury Municipal Airport - Wikipedia
sky bryce,BCE,Bryce Canyon Airport - Wikipedia
sky haven,HVN,Tweed New Haven Airport - Wikipedia
skyview,MNL,Ninoy Aquino International Airport - Wikipedia
smith prairie municipal,AUZ,Aurora Municipal Airport - Wikipedia
smiths land base,SYD,Sydney Airport - Wikipedia
somerset municipal,BRS,Bristol Airport - Wikipedia
south albany,ALB,Albany International Airport - Wikipedia
south dayton,DAY,Dayton International Airport - Wikipedia
south fulton,FTY,Fulton County Airport (Georgia) - Wikipedia
south haven area regional,HVN,Tweed New Haven Airport - Wikipedia
south haven municipal,HVN,Tweed New Haven Airport - Wikipedia
southern comforts aerodrome,CVU,Corvo Airport - Wikipedia
spirit of st louis,SUS,Spirit of St. Louis Airport - Wikipedia
spokane municipal,GEG,Spokane International Airport - Wikipedia
sport flyers,TRG,Tauranga Airport - Wikipedia
spring hill,BQH,London Biggin Hill Airport - Wikipedia
squires,BLK,Blackpool Airport - Wikipedia
st augustine municipal,RST,Rochester International Airport - Wikipedia
st charles,CDG,Charles de Gaulle Airport - Wikipedia
st clair regional,PHN,St. Clair County International Airport - Wikipedia
st cloud regional,STC,St. Cloud Regional Airport - Wikipedia
st george municipal,SGU,St. George Regional Airport - Wikipedia
st louis downtown,CPS,St. Louis Downtown Airport - Wikipedia
st louis international,STL,St. Louis Lambert International Airport - Wikipedia
st louis metro east field,STL,St. Louis Lambert International Airport - Wikipedia
st louis municipal,STL,St. Louis Lambert International Airport - Wikipedia
st marys municipal,STQ,St. Marys Municipal Airport - Wikipedia
st municipal,,St. George Municipal Airport - Wikipedia
st paul downtown holman field,STP,St. Paul Downtown Airport - Wikipedia
st paul island,SNP,St. Paul Island Airport - Wikipedia
st petersburg international,PIE,St. Pete–Clearwater International Airport - Wikipedia
st simons municipal,STL,St. Louis Lambert International Airport - Wikipedia
st. augustine municipal,RST,Rochester International Airport - Wikipedia
st. louis international,STL,St. Louis Lambert International Airport - Wikipedia
stanford field,SGR,Sugar Land Regional Airport - Wikipedia
star city municipal,BLD,Boulder City Municipal Airport - Wikipedia
stocktrade,STN,London Stansted Airport - Wikipedia
suburban,,Suburban Airport - Wikipedia
sugar land municipal,SGR,Sugar Land Regional Airport - Wikipedia
sultan municipal,NQZ,Nursultan Nazarbayev International Airport - Wikipedia
sunset,PBH,Paro Airport - Wikipedia
surfside,OOL,Gold Coast Airport - Wikipedia
sussex municipal,ESH,Brighton City Airport - Wikipedia
sydney australia,SYD,Sydney Airport - Wikipedia
tampa municipal,TPA,Tampa International Airport - Wikipedia
tau,TAV,Tau Airport - Wikipedia
tavares,CAW,Bartolomeu Lysandro Airport - Wikipedia
taylors flight park,CGS,College Park Airport - Wikipedia
tea municipal,SBA,Santa Barbara Municipal Airport - Wikipedia
the bluffs,CBF,Council Bluffs Municipal Airport - Wikipedia
the valley,HDN,Yampa Valley Airport - Wikipedia
thomas county,SNA,John Wayne Airport - Wikipedia
thompson airport,YVR,Vancouver International Airport - Wikipedia
tinian international,TIQ,Tinian International Airport - Wikipedia
tocumen international,PTY,Tocumen International Airport - Wikipedia
tokyo international,HND,Haneda Airport - Wikipedia
toledo  executive,TDZ,Toledo Executive Airport - Wikipedia
toncontin international,TGU,Toncontín International Airport - Wikipedia
tonopah,TPH,Tonopah Airport - Wikipedia
tooele municipal,ENV,Wendover Airport - Wikipedia
toronto international,YYZ,Toronto Pearson International Airport - Wikipedia
toronto municipal,YTZ,Billy Bishop Toronto City Airport - Wikipedia
tradewinds aerodrome,SBH,Gustaf III Airport - Wikipedia
tri county aerodrome,YQI,Yarmouth Airport - Wikipedia
tri l acres airpark,PMD,Palmdale Regional Airport - Wikipedia
triangle,GTR,Golden Triangle Regional Airport - Wikipedia
triple tree,CRW,Yeager Airport - Wikipedia
tulsa municipal,TUL,Tulsa International Airport - Wikipedia
turner field,TPA,Tampa International Airport - Wikipedia
tuscon international,TUS,Tucson International Airport - Wikipedia
twin cities,MSP,Minneapolis–Saint Paul International Airport - Wikipedia
twin mountain municipal,TSP,Tehachapi Municipal Airport - Wikipedia
university park municipal,FUL,Fullerton Municipal Airport - Wikipedia
val air,YVO,Val-d'Or Airport - Wikipedia
vale municipal,CWL,Cardiff Airport - Wikipedia
valley of the moon,none,Illinois Valley Airport - Wikipedia
van nuys international,VNY,Van Nuys Airport - Wikipedia
van nuys municipal,VNY,Van Nuys Airport - Wikipedia
vancouver international,YVR,Vancouver International Airport - Wikipedia
victoria international,YYJ,Victoria International Airport - Wikipedia
waco municipal,ACT,Waco Regional Airport - Wikipedia
walker municipal,GJT,Grand Junction Regional Airport - Wikipedia
walls,TLS,Toulouse–Blagnac Airport - Wikipedia
walters municipal,MGW,Morgantown Municipal Airport - Wikipedia
washington regional,HIE,Mount Washington Regional Airport - Wikipedia
washington wilkes county,AVP,Wilkes-Barre/Scranton International Airport - Wikipedia
waynesville st robert regional forney field,TBN,Waynesville-St. Robert Regional Airport - Wikipedia
waynoka municipal,CMH,John Glenn Columbus International Airport - Wikipedia
welcome field,SAN,San Diego International Airport - Wikipedia
wellington aero club,WLG,Wellington Airport - Wikipedia
wes lupien,ODW,A.J. Eisenberg Airport - Wikipedia
west,NOC,Ireland West Airport - Wikipedia
west liberty,EWR,Newark Liberty International Airport - Wikipedia
west palm beach international,PBI,Palm Beach International Airport - Wikipedia
west pvt,DEL,Indira Gandhi International Airport - Wikipedia
west side hospital,PBI,Palm Beach International Airport - Wikipedia
westfield barnes regional,BAF,Westfield-Barnes Regional Airport - Wikipedia
westfield municipal,BAF,Westfield-Barnes Regional Airport - Wikipedia
whispering pines,SOP,Moore County Airport (North Carolina) - Wikipedia
white birch field,LAX,Los Angeles International Airport - Wikipedia
white post,HPN,Westchester County Airport - Wikipedia
wichita mid continent,ICT,Wichita Dwight D. Eisenhower National Airport - Wikipedia
wilkes barre international,AVP,Wilkes-Barre/Scranton International Airport - Wikipedia
wilkes barre wyoming valley,WBW,Wilkes-Barre Wyoming Valley Airport - Wikipedia
will rogers wiley post memorial,BRW,Wiley Post–Will Rogers Memorial Airport - Wikipedia
william p hobby,HOU,William P. Hobby Airport - Wikipedia
williamsburg municipal,ORF,Norfolk International Airport - Wikipedia
willows,YIP,Willow Run Airport - Wikipedia
wilson,WIL,Wilson Airport - Wikipedia
wilson municipal,CHK,Chickasha Municipal Airport - Wikipedia
windsor,YQG,Windsor International Airport - Wikipedia
wings for christ international flight academy,MAN,Manchester Airport - Wikipedia
wright aaf fort stewart)/midcoast regional,LIY,MidCoast Regional Airport at Wright Army Airfield - Wikipedia
youngstown warren regional,YNG,Youngstown–Warren Regional Airport - Wikipedia
zahns airport,AYZ,Zahn's Airport - Wikipedia
