,iata,wiki_title
columbus lowndes county,UBS,Columbus-Lowndes County Airport - Wikipedia
commodore center,SCL,Arturo Merino Benítez International Airport - Wikipedia
condon municipal,MDJ,Madras Municipal Airport - Wikipedia
cook airfield inc,ORD,O'Hare International Airport - Wikipedia
cook municipal,IND,Indianapolis International Airport - Wikipedia
cordell municipal,TLH,Tallahassee International Airport - Wikipedia
cottage grove municipal,MDJ,Madras Municipal Airport - Wikipedia
country bend,SBN,South Bend International Airport - Wikipedia
covington,CVG,Cincinnati/Northern Kentucky International Airport - Wikipedia
covington international,CVG,Cincinnati/Northern Kentucky International Airport - Wikipedia
craig municipal,CRG,Jacksonville Executive at Craig Airport - Wikipedia
crete municipal,CHQ,Chania International Airport - Wikipedia
crosswinds airfield,BUR,Hollywood Burbank Airport - Wikipedia
cyril e king,STT,Cyril E. King Airport - Wikipedia
dade collier training and transition,TNT,Dade-Collier Training and Transition Airport - Wikipedia
dahio trotwood,none,Dahio Trotwood Airport - Wikipedia
dallas ft international,DFW,Dallas/Fort Worth International Airport - Wikipedia
dallas international,DFW,Dallas/Fort Worth International Airport - Wikipedia
dallesport municipal,DLS,Columbia Gorge Regional Airport - Wikipedia
danburn municipal,DXR,Danbury Municipal Airport - Wikipedia
danielson municipal,DXR,Danbury Municipal Airport - Wikipedia
darr field,AGS,Augusta Regional Airport - Wikipedia
dauphin island municipal,YBR,Brandon Municipal Airport - Wikipedia
dawson's,YDA,Dawson City Airport - Wikipedia
dayton municipal,DAY,Dayton International Airport - Wikipedia
dayton wright brothers,MGY,Dayton–Wright Brothers Airport - Wikipedia
de kalb county,PDK,DeKalb–Peachtree Airport - Wikipedia
dekalb peachtree,PDK,DeKalb–Peachtree Airport - Wikipedia
delta,ATL,Hartsfield–Jackson Atlanta International Airport - Wikipedia
denver city,DEN,Denver International Airport - Wikipedia
detroit international,DTW,Detroit Metropolitan Airport - Wikipedia
detroit metro,DTW,Detroit Metropolitan Airport - Wikipedia
detroit municipal,DET,Coleman A. Young International Airport - Wikipedia
dfw airport,DFW,Dallas/Fort Worth International Airport - Wikipedia
dfw intl. apt,DFW,Dallas/Fort Worth International Airport - Wikipedia
dodge center,-,Dodge Center Airport - Wikipedia
dorval international,YUL,Montréal–Trudeau International Airport - Wikipedia
dotson,SAV,Savannah/Hilton Head International Airport - Wikipedia
dugger's field,DUG,Bisbee Douglas International Airport - Wikipedia
