,year,month,tracon,num_obs,AtcAdvisoryMultCount_sum,word_count_sum,unique_word_count_sum,FAA_total_sum,FAA_unique_sum,NASA_total_sum,NASA_unique_sum,AtcAdvisoryMultCount_avg,word_count_avg,unique_word_count_avg,FAA_total_avg,FAA_unique_avg,NASA_total_avg,NASA_unique_avg
1546,1992.0,10.0,BOS,2,2,409,233,18,8,82,43,1.0,204.5,116.5,9.0,4.0,41.0,21.5
1574,1992.0,11.0,BOS,7,7,908,537,20,14,127,85,1.0,129.71428571428572,76.71428571428571,2.857142857142857,2.0,18.142857142857142,12.142857142857142
1601,1992.0,12.0,BOS,2,2,440,239,11,8,59,34,1.0,220.0,119.5,5.5,4.0,29.5,17.0
1629,1993.0,1.0,BOS,1,1,46,41,2,2,6,6,1.0,46.0,41.0,2.0,2.0,6.0,6.0
1655,1993.0,2.0,BOS,9,9,2186,1145,58,29,316,156,1.0,242.88888888888889,127.22222222222223,6.444444444444445,3.2222222222222223,35.111111111111114,17.333333333333332
1682,1993.0,3.0,BOS,10,10,2448,1334,112,46,406,206,1.0,244.8,133.4,11.2,4.6,40.6,20.6
1711,1993.0,4.0,BOS,6,7,970,620,29,19,135,93,1.1666666666666667,161.66666666666666,103.33333333333333,4.833333333333333,3.1666666666666665,22.5,15.5
1741,1993.0,5.0,BOS,6,7,1703,906,51,26,232,116,1.1666666666666667,283.8333333333333,151.0,8.5,4.333333333333333,38.666666666666664,19.333333333333332
1769,1993.0,6.0,BOS,4,5,316,223,10,7,48,34,1.25,79.0,55.75,2.5,1.75,12.0,8.5
1797,1993.0,7.0,BOS,7,7,1449,752,63,26,243,117,1.0,207.0,107.42857142857143,9.0,3.7142857142857144,34.714285714285715,16.714285714285715
1825,1993.0,8.0,BOS,3,3,420,231,11,7,90,40,1.0,140.0,77.0,3.6666666666666665,2.3333333333333335,30.0,13.333333333333334
1854,1993.0,9.0,BOS,2,2,377,212,14,9,60,37,1.0,188.5,106.0,7.0,4.5,30.0,18.5
1883,1993.0,10.0,BOS,16,16,3242,1738,120,60,508,252,1.0,202.625,108.625,7.5,3.75,31.75,15.75
1911,1993.0,11.0,BOS,6,6,891,553,33,19,155,94,1.0,148.5,92.16666666666667,5.5,3.1666666666666665,25.833333333333332,15.666666666666666
1938,1993.0,12.0,BOS,3,3,530,298,10,5,81,44,1.0,176.66666666666666,99.33333333333333,3.3333333333333335,1.6666666666666667,27.0,14.666666666666666
1965,1994.0,1.0,BOS,2,2,634,302,8,3,99,34,1.0,317.0,151.0,4.0,1.5,49.5,17.0
1993,1994.0,2.0,BOS,6,6,1449,763,31,16,212,105,1.0,241.5,127.16666666666667,5.166666666666667,2.6666666666666665,35.333333333333336,17.5
2019,1994.0,3.0,BOS,6,7,1344,677,32,18,179,102,1.1666666666666667,224.0,112.83333333333333,5.333333333333333,3.0,29.833333333333332,17.0
2046,1994.0,4.0,BOS,4,4,959,512,36,17,128,73,1.0,239.75,128.0,9.0,4.25,32.0,18.25
2075,1994.0,5.0,BOS,4,4,958,515,33,14,156,77,1.0,239.5,128.75,8.25,3.5,39.0,19.25
2102,1994.0,6.0,BOS,10,10,890,638,28,24,154,106,1.0,89.0,63.8,2.8,2.4,15.4,10.6
2130,1994.0,7.0,BOS,3,3,588,346,21,13,79,52,1.0,196.0,115.33333333333333,7.0,4.333333333333333,26.333333333333332,17.333333333333332
