,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/1995 To 01/1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,, , 
Facility,State,Region,Date,"DDSO
Service
Area",Class,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,Civil,Military,Total,"Airport
Operations","Tower
Operations"
ABE ,PA,AEA,04/1997,EN,Towers with Radar,"1,384","1,473","2,231",153,"5,241",0,0,0,0,0,86,115,"1,919",100,"2,220",0,0,0,0,0,"4,178",344,"4,522","11,983","11,983"
ABE ,PA,AEA,05/1997,EN,Towers with Radar,936,"1,617","2,242",197,"4,992",0,0,0,0,0,537,164,"1,892",151,"2,744",0,0,0,0,0,"4,084",518,"4,602","12,338","12,338"
ABE ,PA,AEA,06/1997,EN,Towers with Radar,"1,304","1,481","2,537",153,"5,475",0,0,0,0,0,90,140,"2,095",127,"2,452",0,0,0,0,0,"5,002",426,"5,428","13,355","13,355"
ABE ,PA,AEA,07/1997,EN,Towers with Radar,"1,370","1,561","1,964",116,"5,011",0,0,0,0,0,102,142,"1,819",87,"2,150",0,0,0,0,0,"5,828",298,"6,126","13,287","13,287"
ABE ,PA,AEA,08/1997,EN,Towers with Radar,"1,395","1,543","2,210",114,"5,262",0,0,0,0,0,81,143,"1,972",63,"2,259",0,0,0,0,0,"4,640",388,"5,028","12,549","12,549"
ABE ,PA,AEA,09/1997,EN,Towers with Radar,"1,420","1,449","2,160",125,"5,154",0,0,0,0,0,96,168,"1,723",111,"2,098",0,0,0,0,0,"3,628",314,"3,942","11,194","11,194"
ABE ,PA,AEA,10/1997,EN,Towers with Radar,"1,508","1,693","2,185",208,"5,594",0,0,0,0,0,88,210,"1,994",144,"2,436",0,0,0,0,0,"3,930",506,"4,436","12,466","12,466"
ABE ,PA,AEA,11/1997,EN,Towers with Radar,"1,399","1,495","1,746",91,"4,731",0,0,0,0,0,97,133,"1,372",91,"1,693",0,0,0,0,0,"3,206",270,"3,476","9,900","9,900"
ABE ,PA,AEA,12/1997,EN,Towers with Radar,"1,358","1,501","1,378",75,"4,312",0,0,0,0,0,254,118,"1,558",77,"2,007",0,0,0,0,0,"2,918",280,"3,198","9,517","9,517"
ABE ,PA,AEA,01/1998,EN,Towers with Radar,"1,376","1,310","1,677",132,"4,495",0,0,0,0,0,88,140,"1,559",101,"1,888",0,0,0,0,0,"3,186",344,"3,530","9,913","9,913"
ABE ,PA,AEA,02/1998,EN,Towers with Radar,"1,310","1,332","1,803",73,"4,518",0,0,0,0,0,77,119,"1,789",99,"2,084",0,0,0,0,0,"3,856",304,"4,160","10,762","10,762"
ABE ,PA,AEA,03/1998,EN,Towers with Radar,"1,459","1,670","2,178",122,"5,429",0,0,0,0,0,83,242,"2,056",120,"2,501",0,0,0,0,0,"4,814",572,"5,386","13,316","13,316"
ABE ,PA,AEA,04/1998,EN,Towers with Radar,"1,398","1,460","2,239",100,"5,197",0,0,0,0,0,110,127,"2,235",64,"2,536",0,0,0,0,0,"4,102",238,"4,340","12,073","12,073"
ABE ,PA,AEA,05/1998,EN,Towers with Radar,342,"1,621","2,325",101,"4,389",0,0,0,0,0,"1,097",229,"1,769",62,"3,157",0,0,0,0,0,"4,434",240,"4,674","12,220","12,220"
ABE ,PA,AEA,06/1998,EN,Towers with Radar,507,"1,502","2,097",69,"4,175",0,0,0,0,0,908,136,"1,704",69,"2,817",0,0,0,0,0,"3,584",292,"3,876","10,868","10,868"
ABE ,PA,AEA,07/1998,EN,Towers with Radar,"1,356","1,530","2,417",168,"5,471",0,0,0,0,0,174,337,"2,549",108,"3,168",0,0,0,0,0,"5,170",488,"5,658","14,297","14,297"
ABE ,PA,AEA,08/1998,EN,Towers with Radar,"1,395","1,591","2,225",124,"5,335",0,0,0,0,0,128,173,"2,388",114,"2,803",0,0,0,0,0,"5,742",420,"6,162","14,300","14,300"
ABE ,PA,AEA,09/1998,EN,Towers with Radar,"1,253","1,564","2,363",140,"5,320",0,0,0,0,0,94,232,"2,233",133,"2,692",0,0,0,0,0,"4,746",484,"5,230","13,242","13,242"
ABE ,PA,AEA,10/1998,EN,Towers with Radar,"1,340","1,725","2,547",115,"5,727",0,0,0,0,0,112,193,"2,436",90,"2,831",0,0,0,0,0,"6,192",396,"6,588","15,146","15,146"
ABE ,PA,AEA,11/1998,EN,Towers with Radar,616,"1,553","2,191",133,"4,493",0,0,0,0,0,821,164,"2,202",111,"3,298",0,0,0,0,0,"5,292",468,"5,760","13,551","13,551"
ABE ,PA,AEA,12/1998,EN,Towers with Radar,575,"1,570","1,859",100,"4,104",0,0,0,0,0,939,199,"1,880",73,"3,091",0,0,0,0,0,"4,590",276,"4,866","12,061","12,061"
ABE ,PA,AEA,01/1999,EN,Towers with Radar,421,"1,308","1,513",66,"3,308",0,0,0,0,0,899,115,"1,669",95,"2,778",0,0,0,0,0,"3,236",262,"3,498","9,584","9,584"
ABI ,TX,ASW,01/1995,CE,Towers with Radar,2,"1,043",714,505,"2,264",0,0,0,0,0,32,314,"1,518",285,"2,149",0,0,0,0,0,"1,352","1,558","2,910","7,323","7,323"
ABI ,TX,ASW,02/1995,CE,Towers with Radar,10,"1,039",726,611,"2,386",0,0,0,0,0,19,185,"1,618",207,"2,029",0,0,0,0,0,"1,150","1,656","2,806","7,221","7,221"
ABI ,TX,ASW,03/1995,CE,Towers with Radar,11,"1,141",920,695,"2,767",0,0,0,0,0,26,183,"1,345",243,"1,797",0,0,0,0,0,"1,048","1,886","2,934","7,498","7,498"
ABI ,TX,ASW,04/1995,CE,Towers with Radar,10,"1,164",961,425,"2,560",0,0,0,0,0,35,223,"1,733",282,"2,273",0,0,0,0,0,"1,448","1,658","3,106","7,939","7,939"
ABI ,TX,ASW,05/1995,CE,Towers with Radar,7,"1,516",936,499,"2,958",0,0,0,0,0,18,160,"1,358",192,"1,728",0,0,0,0,0,"1,454","1,138","2,592","7,278","7,278"
