,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/1989 To 01/1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,, , 
Facility,State,Region,Date,"DDSO
Service
Area",Class,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,Civil,Military,Total,"Airport
Operations","Tower
Operations"
ABE ,PA,AEA,01/1990,EN,Towers with Radar,997,"1,503","3,885",207,"6,592",33,"2,792","3,549",214,"6,588",139,197,136,144,616,0,0,0,0,0,"2,787",656,"3,443","10,651","17,239"
ABE ,PA,AEA,02/1990,EN,Towers with Radar,985,"1,606","3,803",228,"6,622",27,"2,366","3,328",199,"5,920",50,77,14,18,159,0,0,0,0,0,"2,825",430,"3,255","10,036","15,956"
ABE ,PA,AEA,03/1990,EN,Towers with Radar,"1,052","1,572","4,702",224,"7,550",23,"2,603","4,300",354,"7,280",112,174,4,92,382,0,0,0,0,0,"3,420",645,"4,065","11,997","19,277"
ABE ,PA,AEA,04/1990,EN,Towers with Radar,"1,004","1,729","4,569",151,"7,453",32,"2,687","4,478",298,"7,495",115,171,15,104,405,0,0,0,0,0,"3,322",488,"3,810","11,668","19,163"
ABE ,PA,AEA,05/1990,EN,Towers with Radar,"1,069","1,605","4,982",166,"7,822",85,"2,815","5,177",320,"8,397",136,184,0,127,447,0,0,0,0,0,"3,227",584,"3,811","12,080","20,477"
ABE ,PA,AEA,06/1990,EN,Towers with Radar,"1,068","1,700","5,287",160,"8,215",77,"2,576","5,488",272,"8,413",118,154,0,95,367,0,0,0,0,0,"3,845",528,"4,373","12,955","21,368"
ABE ,PA,AEA,07/1990,EN,Towers with Radar,"1,118","1,940","5,166",220,"8,444",75,"2,786","5,490",261,"8,612",146,195,0,118,459,0,0,0,0,0,"3,989",647,"4,636","13,539","22,151"
ABE ,PA,AEA,08/1990,EN,Towers with Radar,"1,193","1,924","3,284",326,"6,727",51,"2,637","5,598",251,"8,537","1,790",120,0,34,"1,944",0,0,0,0,0,"2,884",600,"3,484","12,155","20,692"
ABE ,PA,AEA,09/1990,EN,Towers with Radar,"1,023","1,766","4,827",150,"7,766",70,"2,359","4,771",259,"7,459",79,133,0,100,312,0,0,0,0,0,"3,035",411,"3,446","11,524","18,983"
ABE ,PA,AEA,10/1990,EN,Towers with Radar,"1,080","1,989","5,517",204,"8,790",55,"2,516","5,030",243,"7,844",83,128,15,24,250,0,0,0,0,0,"3,328",416,"3,744","12,784","20,628"
