airportname,Freq
 AKRON/FULTON ,1
 AKRON/WASHINGTON COUNTY ,1
 AL BAKER ,1
 AL MEYERS ,5
 AL Mangham Jr Regional Airport ,1
 ALA DOBLE ,1
 ALA WAI ,1
 ALA WAI HELIPORT ,1
 ALACHUA COUNTY REGIONAL ,1
 ALADDIN AIR HELIPORT ,1
 ALAKANUK ,1
 ALAMAGORDO ,1
 ALAMAGORDO-WHITE SANDS RG ,1
 ALAMEDA ,7
 ALAMO AEROLITE ,1
 ALAMOGORDO ,2
 ALAMOGORDO-WHITE SANDS RE ,1
 ALAMOGORDO-WHITE SANDS REGIONA ,1
 ALAMOGORDO-WHITE SANDS RGNL ,1
 ALAMOSA MUN/BERGMAN ,1
 ALAMOSA MUNI/BERGMAN ,1
 ALAMOSA MUNICIPAL ,1
 ALAMOSA MUNICIPAL/BERGMAN ,1
 ALBANY ,7
 ALBANY CO ,1
 ALBANY CO. ,1
 ALBANY COUNTY ,3
 ALBANY COUNTY AIRPORT ,1
 ALBANY DOUGHERTY CO. ,1
 ALBANY INTL ,1
 ALBANY MUNI. ,1
 ALBANY MUNICIPAL ,10
 ALBANY NUNICIPAL ,1
 ALBEMARLE ,1
 ALBEMARLE-STANLY CTY ARPT ,1
 ALBERT ELLIS ,1
 ALBERT J ELLIS ,1
 ALBERT LEA MUNICIPAL ,2
 ALBERT LEE MUNICIPAL ,1
 ALBERT WHITED ,1
 ALBERT WHITTED ,30
 ALBERT WHITTED AIRPORT ,1
 ALBERT WHITTED MUNI ,1
 ALBERT WHITTED MUNICIPAL ,5
 ALBERT WITTED ,1
 ALBERT-WHITTED ,1
 ALBERTUS ,1
 ALBERTUS AIRPORT ,1
 ALBERTVILLE ,1
 ALBERTVILLE MUNICIPAL ,1
 ALBION ,1
 ALBUGUERQUE INTERNAT'L ,1
 ALBUQUERQUE ,5
 ALBUQUERQUE BALLOON PARK ,2
 ALBUQUERQUE INT'L ,2
 ALBUQUERQUE INT'L AIRPORT ,1
 ALBUQUERQUE INT'L ARPT. ,1
 ALBUQUERQUE INT'L SUNPORT ,1
 ALBUQUERQUE INTERNATIONAL ,16
 ALBUQUERQUE INTL ,5
 ALBUQUERQUE INTL SUNPORT ,3
 ALBUQUERQUE INTL. ,2
 ALBUQUERQUE MUNICIPAL ,1
 ALDER CREEK ,1
 ALDER RANCH ,1
 ALEKNAGIK ,2
 ALEKNAGIK MISSION SCHOOL ,1
 ALEMNA ,1
 ALENDALE COUNTY ,1
 ALEXANDER ,4
 ALEXANDER DAWSON ,1
 ALEXANDER FIELD ,5
 ALEXANDER HAMILTON ,4
 ALEXANDER LAKE ,1
 ALEXANDER MEMORIAL ,1
 ALEXANDER MUNI ,7
 ALEXANDER MUNICIPAL ,5
 ALEXANDRIA ,10
 ALEXANDRIA AIRPORT ,1
 ALEXANDRIA ESLER REGIONAL ,1
 ALEXANDRIA FIELD ,2
 ALEXANDRIA INTERNATIONAL ,1
 ALEXANDRIA INTL ,1
 ALEXANDRIA MUNICIPAL ,1
 ALGONA MUNICIPAL ,1
 ALICE INTERNATIONAL ,3
 ALKALI STATE ,1
 ALLAIR ,1
 ALLAIRE ,13
 ALLAIRE AIRPORT ,2
 ALLAIRE/BELMAR/FARMINGDAL ,1
 ALLAKAKET ,2
 ALLEGHANY COUNTY ,1
 ALLEGHENY ,1
 ALLEGHENY CO ,1
 ALLEGHENY CO. ,11
 ALLEGHENY CO. AIRPORT ,1
 ALLEGHENY COMPANY ,1
 ALLEGHENY COUNTY ,15
 ALLEGHENY COUNTY AIRPORT ,1
 ALLEGHENY GEN'L HOSPITAL ,1
 ALLEN AIRPORT ,1
 ALLEN C. THOMPSON ,2
 ALLEN COUNTY ,1
 ALLEN FIELD ,1
 ALLEN H TIGERT ,1
 ALLEN H. TIGERT ,1
 ALLEN PARISH ,1
 ALLEN WOLF PVT. STRIP ,1
 ALLENDALE COUNTY ,5
 ALLENHOLM ,1
 ALLENTOWN ,4
 ALLENTOWN BETHLEHEM ,1
 ALLENTOWN QUEEN CITY ,2
 ALLENTOWN QUEEN CITY MUNI ,1
 ALLENTOWN-BETHLEHEM-EASTO ,1
 ALLIANCE ,2
 ALLIANCE AIRPORT ,1
 ALLIANCE FERTILIZER ,1
 ALLIANCE MUNI ,2
 ALLIANCE MUNICIPAL ,2
 ALLISON MUNI ,1
 ALLISON MUNICIPAL AIRPORT ,1
