airportname,Freq
 ERA HELIPORT ,1
 ERIE ,3
 ERIE AIRPARK ,1
 ERIE INT'L ,2
 ERIE INTERNATIONAL ,2
 ERIE INTL ,1
 ERIE MUNI ,2
 ERIE TRI COUNTY ,1
 ERIE-TRI COUNTY ,1
 ERIE-TRI-COUNTY ,2
 ERNERST A. LOVE FIELD ,1
 ERNEST A LOVE ,1
 ERNEST A LOVE FIELD ,9
 ERNEST A. LOVE ,6
 ERNEST A. LOVE FIELD ,20
 ERNEST A. LOVE FLD ,3
 ERNEST A. LOVE FLD. ,1
 ERNEST J. LOVE FIELD ,1
 ERNEST LOVE FIELD ,3
 ERNIE HAYNES PVT STRIP ,1
 ERNST ,1
 ESCALANTE ,1
 ESCONDIDO RANCH ,1
 ESLER FIELD ,2
 ESLER REG. ,1
 ESLER REGIONAL ,2
 ESPANOLA ,1
 ESSER ,1
 ESSEX ,1
 ESSEX CO. ,2
 ESSEX COL ,1
 ESSEX COUNTY ,20
 ESSEX COUNTY AIRPORT ,6
 ESSEX SKYPARK ,3
 ESTANCIA MUNICIPAL ,1
 ESTATES AIRPARK ,1
 ESTHERVILLE MUNI ,2
 ESTHERVILLE MUNICIPAL ,1
 ESTRELLA SAILPORT ,3
 ETCHEVERRY FARM STRIP ,1
 ETHEREDGE AIR-STRIP ,1
 ETHERIDGE ,1
 ETHRIDGE ,1
 ETOWAH BEND ,1
 EUFAULA ,2
 EUGENE ISLAND ,1
 EUGENE ISLAND 190 HELIPAD ,1
 EUGENE ISLAND 193 ,1
 EUGENIO MARCIA DE HOSTOS ,1
 EUGENIO MARIA DE HOSTOS ,2
 EUGENUIO MARIA DE HOSTO ,1
 EUNICE ,1
 EUNICE AIRPORT ,1
 EUPHRATA MUNI ,1
 EUREKA ,4
 EUREKA CREEK ,1
 EUREKA LODGE ,1
 EUREKA MUNI ,2
 EUREKA MUNICIPAL ,1
 EUSTIS ,2
 EVANS (PRIVATE) ,1
 EVANSTON ,5
 EVANSTON MUNI ,1
 EVANSTON MUNI. ,1
 EVANSTON UINTA COUNTY ,1
 EVANSTON-UINTA COUNTY BURNS FI ,1
 EVANSVILLE ,1
 EVANSVILLE DRESS REG. ,1
 EVANSVILLE DRESS REGIONAL ,3
 EVANSVILLE REGIONAL ,7
 EVANSVILLE SKYLANE ,1
 EVANSVILLE/DRESS REGIONAL ,1
 EVART MUNI ,1
 EVELETH-VIRGINIA MUNI ,1
 EVELETH-VIRGINIA MUNICIPA ,1
 EVELYN SHARP ,1
 EVERETT-STEWART ,4
 EVERETT-STEWART FIELD ,1
 EVERGLADES ,7
 EVERGLADES AIRPARK ,5
 EVERGLADES CITY AIRPORT ,1
 EVERGREEN ,7
 EVERGREEN AIRPARK ,3
 EVERGREEN AIRPORT ,3
 EVERGREEN FIELD ,6
 EVERGREEN GUN CLUB ,1
 EVERGREEN HELIPORT ,1
 EVERGREEN SKY RANCH ,3
 EVERITT ,4
 EVERITT PVT AIRSTRIP ,1
 EXCELSIOR SPGS ,1
 EXCELSIOR SPRING MEM. ,1
 EXCELSIOR SPRING MEMORIAL ,1
 EXCELSIOR SPRINGS ,2
 EXCELSIOR SPRINGS MEM ,1
 EXCELSIOR SPRINGS MEM. ,1
 EXCELSIOR SPRINGS MEMORIA ,1
 EXCURSION INLET ,1
 EXEC ,1
 EXECUTIVE ,7
 EXIT 3 ,3
 EXPRESSWAY ,3
 EXPRESSWAY AIRPARK ,4
 EYAK LAKE ,1
 EZ HEART RANCH ,1
 Eagle Airpark ,3
 Eagle County Airport ,1
 Eagle County Regional ,4
 Eagle County Regional Airport ,3
 Eagle Creek ,2
 Eagle Creek Airpark ,4
 Eagle Creek Airport ,1
 Eagle Field Airport ,1
 Eagle Lake ,1
 Eagle Lake Airport ,2
 Eagle Mountain ,1
 Eagle Neck Airport ,1
 Eagle Ridge Ultralight Flightp ,1
 Eagle River Union ,1
 Eagle Roost Airpark ,1
 Eagle's Nest ,1
 Eagle's Nest Airport ,2
 Eagle's Nest Estates ,1
 Eagle's Nest Estates Airport ,1
 Eagles Landing ,1
 Eagles Landing Heliport ,1
 Eagles Mere Field Airport ,1
 Eagles Nest ,4
 Eagles Nest Aerodrome ,2
 Eagles Nest Airport ,3
 Eagles Ridge Airport ,1
 Eaker Field Airport ,2
 Earle Airpark ,1
 Earnest A. Love Field ,1
 Easley Airstrip ,1
 East 34Th Street ,1
 East 34th Street Heliport ,1
 East Alsek River ,1
 East Cooper ,3
 East Georgia Regional ,3
 East Hampton ,1
 East Hampton Airport ,4
 East Kansas City ,1
 East Kansas City Airport ,3
 East London ,1
 East Midlands Airport ,1
 East Side ,1
 East Side Airport ,1
 East Sumner ,1
 East Texas Regional Airport ,1
 East Troy Estates Airport ,1
 East Troy Municipal Airport ,3
 Eastern Iowa ,1
 Eastern Iowa Airport ,1
 Eastern Sierra Regional ,1
 Eastern Sierra Regional Airpor ,3
 Eastern Slopes Reg. Airport ,1
 Eastern Slopes Regional Airpor ,2
 Eastern WV Regional ,1
 Eastern WV Regional Airport ,1
 Eastern West Virginia Regional ,1
 Easterwood Field Airport ,3
 Easterwood Field Airpot ,1
 Easton ,1
 Easton Airport ,1
 Easton/Newman Field ,1
 Easton/Newnam Field ,3
 Eastover Air Ranch ,1
 Eastview Private Airport ,1
 Ebeneezer Airport ,1
 Eckhard International Airport ,1
 Ed Carlson Memorial Field ,1
 Eddie Dew Memorial Airpark ,2
 Eden Prairie ,1
 Edgar County Airport ,1
 Edgefield County Airport ,2
 Edgeley Municipal ,1
 Edinburgh Airport ,1
 Edmund Carvajal ,1
 Edmundo Carvajal ,2
 Edmundo Carvajal Airport ,1
" Edo, Miranda ",1
 Eduardo Gomes Airport ,1
 Eduardo Gomes International ,1
 Edward F Knapp ,1
 Edward F Knapp State ,1
 Edwards Air Force Base ,1
 Edwards County Airport ,1
 Effingham County Memorial ,1
 Egegik ,1
 Egelsback ,1
 Eglin Air Force Base ,2
 Egypt Pond ,1
 El Alto International ,1
 El Carano Airport ,2
 El Dorado International ,1
 El Dorado Springs Meml ,1
 El Dorado/Captain Jack Thomas ,1
 El Jardin Ranch Airport ,1
 El Mirage ,1
 El Monte ,2
 El Monte Airport ,4
 El Paso ,1
 El Paso Int'l ,1
 El Paso International ,5
 El Paso International Airport ,5
 El Prat De Llobregat ,1
 El Reno ,1
 El Reno Municipal ,1
 El Reno Municipal Airpark ,1
 El Reno Regional Airport ,1
 El Salvador International ,1
 El Tiro Glider Port ,1
 El Tiro Gliderport ,2
 Elbert County Airport ,1
 Elbert County-Patz Field ,1
 Eldon Model Airpark ,2
 Eldorado ,1
 Eldorado Airport ,3
 Eleftherios Venizelos Internat ,1
 Elephant Path Airport ,1
 Elim ,1
 Eliz Island Airport ,1
 Eliza Island Airstrip ,1
 Elizabeth Field ,1
 Elizabethton Muni ,1
 Elizabethton Municipal ,2
 Elizabethton Municipal Airport ,1
 Elk Hills-Buttonwillow ,1
 Elk River ,1
 Elk River Airport ,2
 Elkader ,1
 Elkader Airport ,1
 Elkhart Municipal Airport ,1
 Elkin Municipal Airport ,1
 Elko ,2
 Elko Regional ,4
 Elko Regional Airport ,4
 Elko Regional Aviation ,1
" Ellaville, GA ",1
 Ellen Church Field ,1
 Ellensburg ,1
 Ellerport Airport ,1
 Ellijay Glimer County ,1
 Ellington Airport ,6
 Ellington Field ,4
 Ellington Field Airport ,4
 Ellinwood Airport ,1
 Elliot's Landing Airport ,1
 Ellison Onizuka Kona Intl At K ,1
 Ells Field-Willits Municipal ,1
 Ells Field-Willits Municipal A ,1
 Ellsworth AFB ,1
 Ellsworth Municipal ,1
 Elm Creek Airpark ,1
 Elma Municipal ,1
 Elmendorf ,1
 Eloy Municipal Airport ,1
 Elsanor ,1
 Elwood ,1
 Ely ,1
 Ely Airport (Yelland Field) ,4
 Ely Municipal Airport ,1
 Elyria ,3
 Elyria Airport ,2
 Emanuel County Airport ,1
 Embden Airport ,1
 Emmett Muni ,1
 Emmett Municipal ,4
 Emmett Municipal Airport ,2
 Empire Airport ,1
 Emporia Municipal ,1
 Emporia Municipal Airport ,1
 Emporia-Greensville Regional ,2
 Enghien-Moisselles Airfield ,1
 English Bay ,2
 Enterprise Municipal ,2
 Enterprise Municipal Airport ,2
 Enumclaw ,1
 Enumclaw Airport ,1
 Ephrata ,1
 Ephrata Municipal ,1
 Ephrata Municipal Airport ,5
 Eppley Airfield ,4
 Erie International Airport ,2
 Erie Muncipal ,1
 Erie Muncipal Airport ,1
 Erie Muni ,1
 Erie Municiapl ,1
 Erie Municipal ,9
 Erie Municipal Airport ,9
" Erie-Ottawa Int'l, Carl Keller ",1
 Erie-Tri-County ,1
 Erin Aero Airport ,1
 Erkes Airport ,1
 Ernest A Love Field ,4
 Ernest A Love Field Airport ,1
 Ernest A. Love Airport ,1
 Ernest A. Love Field ,8
 Ernest A. Love Field Airport ,14
 Ernest H Love Field ,1
 Ervin Private Airstrip ,1
 Escalante Municipal Airport ,1
 Essex County ,4
 Essex County Airport ,11
 Essex Skypark ,1
 Estherville Municipal Airport ,1
 Estrella Sailport ,1
 Eteringbang ,1
 Eugenio Maria de Hostos ,3
 Eureka Airport ,1
 Eureka Creek ,1
 Eureka Skelton ,1
 Evans Properties Inc Airport ,1
 Evanston-Uinta County Burns Fi ,1
 Evansville Regional ,1
 Evansville Regional Airport ,2
 Evart Municipal Airport ,1
 Eveleth - Virginia Airport ,1
 Eveleth-Virginia Muncipal ,1
 Eveleth-Virginia Municipal ,1
 Evelyn Sharp Field ,1
 Everglades Airpark ,8
 Evergreen Skyranch ,1
 Everitt Airport ,2
 Evora Airport ,1
 Excursion Inlet ,2
 Executive Airport ,1
 F & F AIRPARK ,1
 F L BRAUGHTON ,2
 F&F AIRPARK ,1
 F.U.M.A. AIRPORT ,1
 FABENS ,7
 FABENS AIRPORT ,2
 FAIR'S ,1
 FAIRBANK ,1
 FAIRBANK FARMS ,1
 FAIRBANK INT'L ,1
 FAIRBANKS ,12
 FAIRBANKS INT'L ,3
 FAIRBANKS INT'L AIRPORT ,3
 FAIRBANKS INT'L ARPT ,1
 FAIRBANKS INTERNATIONAL ,22
 FAIRBANKS INTL ,8
 FAIRBANKS METRO ,1
 FAIRBURY ,1
 FAIRCHILD ,1
 FAIRCHILD AFB ,2
 FAIRCHILD AIR FORCE BASE ,1
 FAIRFAX ,1
 FAIRFAX MUNI ,3
 FAIRFAX MUNICIPAL ,2
 FAIRFIELD ,6
 FAIRFIELD CO ,1
 FAIRFIELD CO. ,1
 FAIRFIELD COMPANY ,1
 FAIRFIELD COUNTY ,12
 FAIRFIELD COUNTY AIRPORT ,1
 FAIRFIELD MUNICIPAL ,2
 FAIRGROUNDS ,1
 FAIRGROUNDS AIRPARK ,2
 FAIRHOPE MUNICIPAL ,1
 FAIRLAWN FARMS ,1
 FAIRMONT ,2
 FAIRMONT MUNICIPAL ,3
 FAIRVIEW ,3
 FAIRVIEW FIELD ,1
 FAIRWAYS ,2
 FAIRWAYS AIRPORT ,1
 FAITH MUNICIPAL ,1
 FAJARDO ,1
 FAJARDO REGIONAL ,1
 FALCON ,3
 FALCON AIRPORT ,1
 FALCON FIELD ,45
 FALCON FLD ,13
 FALCON FLD. ,1
 FALCON HELIPORT ,1
 FALCON-MEADOW LAKE ,2
 FALCONS AERIE ,1
 FALL BROOK COMM AIR PARK ,1
 FALL CITY ,2
 FALL RIVER ,1
 FALL RIVER AIRPORT ,1
 FALL RIVER MILL ,1
 FALL RIVER MILLS ,4
 FALL RIVER MUNI ,1
 FALL RIVER MUNI. ,1
 FALL RIVER MUNICIPAL ,2
 FALLBROOK ,1
 FALLBROOK AIRPARK ,4
 FALLBROOK COMM AIRPARK ,2
 FALLBROOK COMM. AIRPARK ,1
 FALLBROOK COMMUNITY ,1
 FALLBROOK COMMUNITY AIRPA ,1
 FALLBROOK COMMUNITY AIRPARK ,2
 FALLBROOK COMMUNITY APRT ,1
 FALLBROOK COMMUNITYA/PARK ,1
 FALLON ,3
 FALLON MUNI ,2
 FALLON MUNICIPAL ,5
 FALLSTON ,1
 FALMOUTH AIRPARK ,2
 FALMOUTH MA ,1
 FALMOUTH-GENE SNYDER ,1
 FALSE RIVER ,1
 FALSE RIVER AIR PARK ,3
 FALSE RIVER AIRPARK ,1
 FALSE RIVER RGNL ,1
 FALWELL ,6
 FANCHER ,2
 FANNING ,2
 FANNING FIELD ,4
 FANTASY HAVEN ,2
 FAP Captain David Abenzur Reng ,1
 FAQUIER ,1
 FAREWELL ,1
 FARGO ,1
 FARIBAULT ,2
 FARIBAULT MUNI ,3
 FARIBAULT MUNI. ,1
 FARIBAULT MUNICIPAL ,1
 FARIBAULT MUNICIPAL ARPT ,1
 FARINGTON FIELD ,1
 FARM AIR SERVICE ,1
 FARM AIRSTRIP ,2
 FARM FIELD ,8
 FARM PASTURE ,2
 FARM SERVICES ,1
 FARM STRIP ,12
 FARMER STRIP ,1
 FARMERS AIR SERVICE ,1
 FARMERS FLYING SERVICE ,1
 FARMERS PRIDE ,3
 FARMINGDALE ,4
 FARMINGDALE REPUBLIC ,1
 FARMINGTON ,4
 FARMINGTON AIRPORT ,1
 FARMINGTON MUN ,1
 FARMINGTON MUNI ,2
 FARMINGTON REGIONAL ,2
 FARMINGTON RGNL ,1
 FARMVILLE ,1
 FARMVILLE MUNI ,1
 FARMVILLE RGNL ,2
 FARNSWORTH AIRPORT ,1
 FARR FIELD ,1
 FARR FIELD AIRPOT ,1
 FARRAR FLYING SERVICE ,1
 FARRAR'S AIRSTRIP ,1
 FARRINGTON AIRPARK ,6
 FARRONGTON AIRPARK ,1
 FAULKTON MUNI ,2
 FAULT LINE FLYERS ,1
 FAULTLESS FLYER ,1
 FAULTLINE FLYERS ,1
 FAUNCE AG STRIP ,1
 FAUST REGIONAL ,1
 FAUX-BURHANS AIRPORT ,1
 FAVER AIRSTRIP ,1
 FAYETTE ,3
 FAYETTE COUNTY ,6
 FAYETTE RGNL AIR CENTER ,2
 FAYETTEVILLE ,4
 FAYETTEVILLE AIRPORT ,1
 FAYETTEVILLE DRAKE FIELD ,1
 FAYETTEVILLE MUNI ,2
 FAYETTEVILLE MUNICIPAL ,3
 FAYETTEVILLE REGIONAL ,4
 FAYETTEVILLE REGIONAL AIR ,1
 FAYETTEVILLE RGNL/GRANNIS ,1
 FAYETTEVILLE RGNL/GRANNIS FIEL ,1
 FEATHER RIVER ,1
 FEDERER ,1
 FEHMEL AIRSTRIP ,1
 FELKER ARMY AIRFIELD ,1
 FELLOWS ,1
 FELTS ,1
 FELTS FIELD ,16
 FELTS FLD ,2
 FENTRESS AIRPARK ,2
 FERGUS FALLS MUNI ,1
 FERGUS FALLS MUNI-EINAR MICKEL ,2
 FERGUS FALLS MUNICIPAL ,1
 FERGUSON ,12
 FERMONT COUNTY ,1
 FERNANDINA BCH MUNICIPAL ,3
 FERNANDINA BCH. MUNICIPAL ,1
 FERNANDINA BEACH ,6
 FERNANDINA BEACH MUNI ,7
 FERNANDINA BEACH MUNI. ,1
 FERNANDINA BEACH MUNIC. ,1
 FERNANDINA BEACH MUNICIPA ,1
 FERNANDO DOMINICCI ,1
 FERNANDO LUIS RIBAS DOMI. ,1
 FERNANDO LUIS RIBAS DOMIN ,1
 FERNANDO LUIS RIBAS DOMINICCI ,2
 FERNDALE AIRFIELD ,2
 FERREL FIELD ,1
 FERRY COUNTY ,2
 FERTILE AIRPORT ,1
 FESS PRIVATE ,1
 FESS PVT ,1
 FESSENDEN MUNICIPAL ,1
 FESTUS MEML ,1
 FESTUS MEMORIAL ,8
 FESTUS MEMORIAL AIRPORT ,1
 FESTUS MUNI ,2
 FIARBANKS INTERNATIONAL ,1
 FIARM STRIP ,1
 FIELD ,3
 FIELD MUNICIPAL-CARTER ,1
 FIELD RANCH ,1
 FIELD RANCH STRIP ,1
 FIELD STRIP ,1
 FIGI RANCH ,1
 FIGUERY SEAPLANE BASE ,1
 FILLMORE ,1
 FILLMORE AIRPORT ,1
 FILLMORE MUNCI. ,1
 FILMORE COUNTY AIRPORT ,1
 FINCASTLE AIRPORT ,1
 FINCH [PRIVATE] ,1
 FINDLAY ,4
 FINDLEYVILLE ,1
 FINGER LAKE ,2
 FINGER LAKE SPB ,1
 FINKHAVEN ,1
 FINLAY FIELD ,1
 FINLEY AIRSTRIP ,1
 FIRE LAKE ,1
 FIREBAUGH ,3
 FIRST FLIGHT ,7
 FIRSTAIR ,1
 FIRSTAIR AIRFIELD ,1
 FIRSTAIR FIELD ,6
 FISCHER ,2
 FISCHER BROS. (PRIVATE) ,1
 FISH LAKE ,1
 FISH LAKE USFS ,1
 FISHER COUNTY ,1
 FISHERMANS BAY ,1
 FITCH BEACH ,1
 FITCH H BEACH ,2
 FITCH H. BEACH ,1
 FITCHBURG ,6
 FITCHBURG MUNI ,4
 FITCHBURG MUNI. ,1
 FITCHBURG MUNICIPAL ,5
 FITIUTA AIRPORT ,1
 FITZGERALD AIRPORT ,1
 FITZGERALD MUNI. ,1
 FITZGERALD MUNICIPAL ,1
 FLA BOB ,1
 FLA-BOB ,9
 FLABOB ,10
 FLABOB AIRPORT ,2
 FLAGER COUNTY ,1
 FLAGLER ,1
 FLAGLER  COUNTY  AIRPORT ,1
 FLAGLER COUNTER AIRPORT ,1
 FLAGLER COUNTY ,26
 FLAGLER COUNTY AIRPORT ,1
 FLAGLER EXECUTIVE ,3
 FLAGSTAFF ,7
 FLAGSTAFF PULLIAM ,11
 FLAGSTAFF PULLIUM ,1
 FLAGSTAFF PULLMAN ,1
 FLANAGAN FIELD ,1
 FLAT CREEK MINE ,1
 FLATHEAD LAKE ,1
 FLATIONIA MUNICIPAL ,1
 FLEET FIELD ,3
 FLEET FIELD AIRPORT ,1
 FLEMING ,1
 FLEMING FIELD ,2
 FLETCHER'S AIRFIELD ,1
 FLETHCHER (PVT) ,1
 FLF ,1
 FLIGHT TEST STATION ,1
 FLINT ,1
 FLORA ,1
 FLORA MUNICIPAL ,1
 FLORALA ,2
 FLORALA MUNICIPAL ,1
 FLORALA MUNICIPAL AIRPORT ,1
 FLORENCE ,2
 FLORENCE CITY ,2
 FLORENCE CITY COUNTY ,1
 FLORENCE CO. ,1
 FLORENCE MUNI ,3
 FLORENCE MUNICIPAL ,1
 FLORENCE MUNICIPLE ,1
 FLORENCE REGIONAL ,4
 FLORENCE REGIONAL AIRPORT ,1
 FLORIDA FLYING GATORS ,1
 FLORY INDUSTRIES ,1
 FLOW INTL ,1
 FLOYDADA MUNI ,2
 FLOYDADA MUNICIPAL ,2
 FLUSHING ,1
 FLY RANCH ,1
" FLYING ""J"" RANCH ",1
" FLYING ""M"" RANCH ",1
" FLYING ""W"" ",1
 FLYING 10 ,1
 FLYING A RANCH ,2
 FLYING ACRES ,3
 FLYING B ,3
 FLYING B RANCH AIRSTRIP ,1
 FLYING B. RANCH ,1
 FLYING BAR H ,1
 FLYING C ,1
 FLYING CAP VALLEY ,1
 FLYING CIRCUS ,4
 FLYING CIRCUS AERODROME ,3
 FLYING CIRCUS AIRPORT ,1
 FLYING CLOUD ,32
 FLYING CLOUD AIRPORT ,6
 FLYING CLOUD MUNICIPAL ,1
 FLYING CROWN ,3
 FLYING D ,1
 FLYING DOLLAR ,1
 FLYING DUTCHMAN ,1
 FLYING EAGLE ,1
 FLYING F RANCH ,1
 FLYING FARMER'S SERVICE ,1
 FLYING FEW ,1
 FLYING FLORIDA GATOR ,1
 FLYING GATORS ULTALIGHT ,1
 FLYING H ,1
 FLYING H RANCH ,1
 FLYING HARNESS FARMS ,1
 FLYING HOOF ,2
 FLYING ILLINI ,1
 FLYING J ,4
 FLYING J. RANCH ,1
 FLYING L AIRPARK ,1
 FLYING L. RANCH ,1
 FLYING M ,9
 FLYING M AERODROME ,3
 FLYING M RANCH ,11
 FLYING N ,2
 FLYING OAKS ,1
 FLYING PALOMINO RANCH ,2
 FLYING RANCH ,1
 FLYING S RANCH ,4
 FLYING S STRIP ,1
 FLYING SEMINOLE ,2
 FLYING SEMINOLE RANCH ,4
 FLYING SERVICE INC. ,1
 FLYING TEN ,1
 FLYING W ,12
 FLYING W AIRPORT ,2
 FLYING W RANCH ,1
 FLYING X ,1
 FLYING X RANCH ,3
 FLYING Y AIRSTRIP ,1
 FLYING-A-RANCH ,1
 FOARD COUNTRY ,1
 FOARD COUNTY ,1
 FOLEY MUNCICIPAL ,1
 FOLEY MUNICIPAL AIRPORT ,1
 FOLLETT LIPSCOMB CO. ,1
 FOLSOM ,2
 FOLSOM FIELD ,3
 FOLSOM LAKE ,2
 FON DU LAC COUNTY ,1
 FOND DU LAC ,1
 FOND DU LAC COUNTY ,9
 FOOTHILLS REGIONAL ,1
 FORBES ,2
 FORBES FIELD ,3
 FORD ,2
 FORD AIRPORT ,1
 FORD ISLAND ,1
 FORD ISLAND AIRSTRIP ,1
 FORDAHL AIRPORT ,1
 FOREST ,1
 FOREST CITY MUNI ,1
 FOREST HILL ,1
 FOREST LAKE ,3
 FOREST MUNI ,1
 FORKED ISLAND ,1
 FORKS ,1
 FORREST CITY ,2
 FORREST CITY MUNI ,1
 FORRESTER & NORTHINGTON ,1
 FORSBERG RANCH ,1
 FORT  LAUDERDALE ,1
 FORT ATKINSON MUNI ,2
 FORT ATKINSON MUNICIPAL ,1
 FORT BENTON ,2
 FORT BRAGG AIRPORT ,1
 FORT BRIDGER ,2
 FORT COLLINS ,1
 FORT COLLINS DOWNTOWN ,6
 FORT COLLINS-LOVELAND ,2
 FORT COLLINS-LOVELAND MUN ,2
 FORT COLLINS-LOVELAND MUNI ,6
 FORT COLLINS/LOVELAND ,6
 FORT DODGE ,1
 FORT DODGE MUNI ,1
 FORT DODGE REGIONAL ,1
 FORT DODGE RGNL ,1
 FORT EUSTIS ,1
 FORT GAINS ,1
 FORT HILL ,1
 FORT HUACHUCA ,1
 FORT LAUBERDALE EXECUTIVE ,1
 FORT LAUDERDALE ,3
 FORT LAUDERDALE EXECUTIVE ,27
 FORT LAUDERDALE INT ,1
 FORT LAUDERDALE INT'L ,1
 FORT LAUDERDALE INTL. ,1
 FORT LAUDERDALE-HOLLYWOOD ,6
 FORT LAUDERDALE/HOLLYWOOD ,1
 FORT LAUDERDALE/HOLLYWOOD INTL ,4
 FORT MADISON ,1
 FORT MADISON MUNICIPAL ,1
 FORT MORGAN ,1
 FORT MORGAN MUNI ,1
 FORT MORGAN MUNICIPAL ,1
 FORT MYERS ,1
 FORT POLK ,1
 FORT SCOTT ,1
 FORT SCOTT MUNI ,1
 FORT SCOTT MUNICIPAL ARPT ,2
 FORT SEWARD ,1
 FORT SMITH MUNI. ,1
 FORT SMITH MUNICIP ,1
 FORT SMITH MUNICIPAL ,2
 FORT SMITH REGIONAL ,2
 FORT SMITH RGNL ,1
 FORT WAYNE INTERNATIONAL ,6
 FORT WAYNE INTL ,1
 FORT WAYNE MUNI ,1
 FORT WAYNE MUNI. ,1
 FORT WAYNE MUNICIPAL ,2
 FORT WORTH ALLIANCE ,2
 FORT WORTH MEACHAM ,7
 FORT WORTH MEACHAM INTL ,4
 FORT WORTH MEACHAM INTL. ,1
 FORT WORTH SPINKS ,4
 FORT YUKON ,2
 FORTUNA ,1
 FORTY SEVEN MILE CREEK ,1
 FOSTORIA METRO ,1
 FOSTORIA MUNICIPAL ,1
 FOUNTAINHEAD ,2
 FOUNTAINHEAD PARK ,1
 FOUR CORNERS ,1
 FOUR CORNERS AIRSTRIP ,1
 FOUR CORNERS REGIONAL ,15
 FOWLER ,1
 FOWLERS NW 40 ,2
 FOX ,2
 FOX AIRFIELD ,1
 FOX FIELD ,1
 FOX RIVER ,1
 FOX STEPHENS FIELD - GILMER MU ,1
 FRA SCA FIELD ,1
 FRAGER ,1
 FRAIZER AIRSTRIP ,1
 FRAN'S STAR RANCH ,1
 FRANCIS S GABRESKI ,4
 FRANCIS S. GABRESKI ,1
 FRANCIS STRIP ,1
 FRANCISCO C ADA/SAIPAN INTL ,2
 FRANCISCO C. ADA/SAIPAN INTL ,1
 FRANCONIA ,4
 FRANK ELLIOTT FIELD ,1
 FRANK FEDERER MEMORIAL ,1
 FRANK GOMBERG ARPT. ,1
 FRANK LANE ,1
 FRANK PHILLIPS ,7
 FRANK SIKES ,2
 FRANK WILEY ,2
 FRANK WILEY FIELD ,3
 FRANK'S FARM (AG STRIP) ,1
 FRANKENMUTH ,2
 FRANKFORD ,1
 FRANKFORT ,15
 FRANKFORT  CITY-COUNTY ,1
 FRANKFORT AIRPORT ,1
 FRANKFORT DOW MEMORIAL ,1
 FRANKFORT DOW MEMORIAL FIELD ,2
 FRANKFORT MUNI ,2
 FRANKFORT-HIGHLAND ,3
 FRANKLIN ,6
 FRANKLIN CENTER ,2
 FRANKLIN CITY ,1
 FRANKLIN CO. ,3
 FRANKLIN COUNTY ,7
 FRANKLIN COUNTY AIRPORT ,1
 FRANKLIN COUNTY MUNICIPAL ,1
 FRANKLIN COUNTY STATE ,5
 FRANKLIN FIELD ,6
 FRANKLIN FLYING FIELD ,1
 FRANKLIN MUNI-JOHN BEVERLY ROS ,2
 FRANKLIN U STRANSKY ,1
 FRANKLIN WILKINS ,2
 FRANKLINTON ,2
 FRANKLINTON AIRPORT ,1
 FRANKLINTON MUNICIPAL ,1
 FRASCA FIELD ,3
 FRASER ,1
 FRAZIER LAKE AIRPARK ,6
 FRED ASH RANCH ,1
 FRED NETTERVILLE ,1
 FREDERICK ,6
 FREDERICK  (PRIVATE) ,1
 FREDERICK (PRIVATE) ,1
 FREDERICK MUNI ,10
 FREDERICK MUNI. ,2
 FREDERICK MUNICIPAL ,8
 FREDERICK MUNICIPAL ARPT ,1
 FREDERICKTOWN MUNICIPAL ,2
 FREDONIA ,1
 FREDONIA MUNICIPAL ,1
 FREDRICK  (PRIVATE) ,1
 FREDRICK MUNICIPAL ,1
 FREDRICK-FIRESTONE ,2
 FREDRICKTOWN REGIONAL ,1
 FREEDOM FIELD ,6
 FREEDOM FIELD AIRPORT ,1
 FREEDOM SPRING RANCH ,1
 FREEDOM SPRINGS RANCH ,1
 FREEHOLD ,1
 FREEMAN FIELD ,3
 FREEMAN MUNI ,3
 FREEMAN PK ,1
 FREEMONT ,2
 FREEMONT COUNTY ,1
 FREEMONT COUNTY AIRPORT ,1
 FREEWAY ,19
 FREEWAY AIRPORT ,5
 FREEWAY AV AG ,1
 FREIGHT WAGON ,1
 FREMONT ,10
 FREMONT AIRPORT ,2
 FREMONT CA ,1
 FREMONT COUNTY ,5
 FREMONT COUNTY AIRPORT ,1
 FREMONT MUNI ,4
 FREMONT MUNICIPAL ,1
 FREMONT MUNICIPAL AIRPORT ,1
 FREMONT SKY SAILING ARPT ,1
 FRENCH LICK ,1
 FRENCH LICK MUNICIPAL ,1
 FRENCH VALLEY ,9
 FRENCHVILLE ,1
 FRESNO ,6
 FRESNO AIR TERM ,1
 FRESNO AIR TERMINAL ,16
 FRESNO CHANDLER ,2
 FRESNO CHANDLER DOWNTOWN ,1
 FRESNO CHANDLER EXECUTIVE ,3
 FRESNO YOSEMITE INTL ,3
 FRESNO-CHANDLER DOWNTOWN ,3
 FRIDAY CREEK ,1
 FRIDAY HARBOR ,15
 FRIDAY HARBOR/SEAPLANE B. ,1
 FRIEDMAN MEMORIAL ,20
 FRIEDMAN MEMORIAL AIRPORT ,1
 FRIEDMAN MEMORIEL ,1
 FRIENDS FIELD AIRPORT ,1
 FRIENDSWOOD ,1
 FRISCO AIRPORT ,1
 FRISCO COUNTY ,1
 FRISCO JETPORT ,1
 FRISCO MUNICIPAL ,1
 FRITCH ,1
 FRONT RANGE ,38
 FRONT RANGE AIRPORT ,2
 FRONT ROAYL ,1
 FRONT ROYAL WARREN COUNTY ,1
 FRONT ROYAL-WARREN CNTY ,2
