,eventairport_conv,count,eventcity,event_fullstate,eventstate,count_by_loc,, 
867,chambers county winnie stowell,6,winnie,Texas,TX,2,,
868,bradford county,6,towanda,Pennsylvania,PA,6,,
869,green castle,6,oxford,Iowa,IA,6,,
870,natchitoches regional,6,natchitoches,Louisiana,LA,6,,
871,goose creek,6,matthews,North Carolina,NC,1,,
872,goose creek,6,indian trail,North Carolina,NC,5,,
873,john bell williams,6,raymond,Mississippi,MS,6,,
874,mid america industrial,6,pryor,Oklahoma,OK,6,,
875,new london,6,forest,Virginia,VA,3,,
876,new london,6,groton,Connecticut,CT,2,,
877,new london,6,new london,Virginia,VA,1,,
878,north omaha,6,omaha,Nebraska,NE,6,,
879,carroll county tolson,6,carrollton,Ohio,OH,6,,
880,freeman field,6,junction city,Kansas,KS,6,,
881,beloit,6,beloit,Wisconsin,WI,6,,
882,ticonderoga municipal,6,ticonderoga,New York,NY,6,,
883,ticonderoga municipal,6,,New York,NY,0,,
884,michael j. smith field,6,beaufort,North Carolina,NC,5,,
885,michael j. smith field,6,morehead city,North Carolina,NC,1,,
886,garberville,6,garberville,California,CA,6,,
887,wabash municipal,6,wabash,Indiana,IN,6,,
888,laurel,6,laurel,Delaware,DE,6,,
889,st george,6,saint george,South Carolina,SC,4,,
890,st george,6,saint george,Utah,UT,2,,
891,arcadia municipal,6,arcadia,Florida,FL,6,,
892,sturgis municipal,6,sturgis,Kentucky,KY,4,,
893,sturgis municipal,6,sturgis,South Dakota,SD,2,,
894,nemacolin,6,farmington,Pennsylvania,PA,6,,
895,wakefield municipal,6,wakefield,Virginia,VA,6,,
896,wakefield municipal,6,,,,0,,
897,lakeland noble f. lee memorial field,6,minocqua,Wisconsin,WI,6,,
898,suburban,6,laurel,Maryland,MD,6,,
899,stark's twin oaks airpark,6,sherwood,Oregon,OR,1,,
900,stark's twin oaks airpark,6,hillsboro,Oregon,OR,5,,
901,branch county memorial,6,coldwater,Michigan,MI,6,,
902,branch county memorial,6,,,,0,,
903,bearce,6,mount ida,Arkansas,AR,6,,
904,bearce,6,,Arkansas,AR,0,,
905,wall municipal,6,wall,South Dakota,SD,6,,
906,wetumpka municipal,6,wetumpka,Alabama,AL,6,,
907,clinton sherman,6,clinton,Oklahoma,OK,6,,
908,lakeview griffith field,6,lakeview,Michigan,MI,5,,
909,lakeview griffith field,6,,Michigan,MI,0,,
910,lakeview griffith field,6,six lakes,Michigan,MI,1,,
911,hampton airfield,6,hampton,New Hampshire,NH,6,,
912,bayport aerodrome,6,bayport,New York,NY,6,,
913,wauchula municipal,6,wauchula,Florida,FL,6,,
914,wauchula municipal,6,,Florida,FL,0,,
915,clarksville municipal,6,clarksville,Arkansas,AR,6,,
916,belle fourche municipal,6,belle fourche,South Dakota,SD,6,,
917,bowling green municipal,6,bowling green,Ohio,OH,1,,
918,bowling green municipal,6,bowling green,Missouri,MO,5,,
919,washington municipal,5,washington,Missouri,MO,1,,
920,washington municipal,5,washington,Iowa,IA,4,,
921,narita international,5,narita,,,0,,
922,narita international,5,tokyo,,,0,,
923,narita international,5,,,,0,,
924,summerville,5,summerville,South Carolina,SC,5,,
925,elk river,5,elk river,Idaho,ID,3,,
926,elk river,5,julian,North Carolina,NC,1,,
927,elk river,5,banner elk,North Carolina,NC,1,,
928,hinshaw greenacres,5,colts neck,New Jersey,NJ,3,,
929,hinshaw greenacres,5,monmouth junction,New Jersey,NJ,1,,
930,hinshaw greenacres,5,monmouth beach,New Jersey,NJ,1,,
931,gladewater municipal,5,gladewater,Texas,TX,5,,
932,rogers field,5,chester,California,CA,5,,
933,prosser,5,florida,New York,NY,1,,
934,prosser,5,prosser,Washington,WA,4,,
935,davidson county,5,lexington,North Carolina,NC,5,,
936,roger m. dreyer memorial,5,gonzales,Texas,TX,5,,
937,nassau international,5,nassau,,,0,,
938,pepperell,5,pepperell,Massachusetts,MA,5,,
939,new smyrna beac municipal,5,new smyrna beach,Florida,FL,5,,
940,st cloud municipal,5,saint cloud,Minnesota,MN,5,,
941,cartersville,5,cartersville,Georgia,GA,5,,
942,roy williams,5,joshua tree,California,CA,5,,
943,dart,5,mayville,New York,NY,5,,
944,pekin municipal,5,pekin,Illinois,IL,5,,
945,pecan plantation,5,granbury,Texas,TX,5,,
946,cavanaugh bay,5,coolin,Idaho,ID,5,,
947,miami county,5,paola,Kansas,KS,5,,
948,miami county,5,,Kansas,KS,0,,
949,holly springs marshall county,5,holly springs,Mississippi,MS,5,,
950,mac crenshaw memorial,5,greenville,Alabama,AL,5,,
951,norfolk municipal,5,norfolk,Virginia,VA,4,,
952,norfolk municipal,5,norfolk,Massachusetts,MA,1,,
953,woltermann memorial,5,columbus,Montana,MT,5,,
954,evergreen mountain,5,westville,New York,NY,5,,
955,kendallville municipal,5,kendallville,Indiana,IN,5,,
956,biggs aaf fort bliss,5,el paso,Texas,TX,5,,
957,triple w,5,raleigh,North Carolina,NC,5,,
958,woodstock,5,south woodstock,Connecticut,CT,4,,
959,woodstock,5,woodstock,Connecticut,CT,1,,
960,lancaster county mc whirter field,5,lancaster,South Carolina,SC,5,,
961,rensselaer county,5,poestenkill,New York,NY,2,,
962,rensselaer county,5,troy,New York,NY,3,,
963,troutdale municipal,5,troutdale,Oregon,OR,5,,
964,ramona municipal,5,ramona,California,CA,5,,
965,dickson municipal,5,dickson,Tennessee,TN,5,,
966,gray aaf joint base lewis mcchord,5,tacoma,Washington,WA,1,,
967,gray aaf joint base lewis mcchord,5,fort lewis,Washington,WA,4,,
968,wamego municipal,5,wamego,Kansas,KS,5,,
969,new castle henry co municipal,5,new castle,Indiana,IN,5,,
970,giddings lee county,5,giddings,Texas,TX,5,,
971,rantoul natl avn cntr frank elliott field,5,rantoul,Illinois,IL,5,,
972,duchesne municipal,5,duchesne,Utah,UT,5,,
973,martin municipal,5,martin,South Dakota,SD,5,,
974,hong kong international,5,hong kong,,,0,,
975,hong kong international,5,,,,0,,
976,stuart powell field,5,danville,Kentucky,KY,5,,
977,indiantown,5,indiantown,Florida,FL,5,,
978,indianola municipal,5,indianola,Mississippi,MS,5,,
979,richard downing,5,coshocton,Ohio,OH,5,,
980,summerland key cove,5,summerland key,Florida,FL,5,,
981,john nichol's field,5,chula vista,California,CA,2,,
982,john nichol's field,5,jamul,California,CA,2,,
983,john nichol's field,5,chula,California,CA,1,,
984,mc kinley national park,5,fraser,Michigan,MI,5,,
985,deck,5,hillsboro,North Dakota,ND,1,,
986,deck,5,myerstown,Pennsylvania,PA,4,,
987,tri county aerodrome,5,trenton,Texas,TX,3,,
988,tri county aerodrome,5,whitewright,Texas,TX,2,,
989,monmouth municipal,5,monmouth,Illinois,IL,5,,
990,bult field,5,monee,Illinois,IL,5,,
991,deer park municipal,5,deer park,Washington,WA,5,,
992,roadcap,5,smoketown,Pennsylvania,PA,5,,
993,mc clellan airfield,5,sacramento,California,CA,3,,
994,mc clellan airfield,5,,,,0,,
995,mc clellan airfield,5,north highlands,California,CA,1,,
996,mc clellan airfield,5,mcclellan,California,CA,1,,
997,mayville municipal,5,mayville,North Dakota,ND,5,,
998,lanett municipal,5,lanett,Alabama,AL,5,,
999,john h hooks jr memorial,5,rayville,Louisiana,LA,5,,
1000,perry houston county,5,perry,Georgia,GA,5,,
1001,raeford municipal,5,raeford,North Carolina,NC,5,,
1002,river ranch resort,5,lake wales,Florida,FL,2,,
1003,river ranch resort,5,river ranch,Florida,FL,3,,
1004,pioneer village field,5,minden,Nebraska,NE,5,,
1005,st marys municipal,5,saint marys,Pennsylvania,PA,4,,
1006,st marys municipal,5,sinnamahoning,Pennsylvania,PA,1,,
1007,iowa county,5,dodgeville,Wisconsin,WI,1,,
1008,iowa county,5,mineral point,Wisconsin,WI,4,,
1009,bulverde airpark,5,bulverde,Texas,TX,4,,
1010,bulverde airpark,5,san antonio,Texas,TX,1,,
1011,ionia county,5,ionia,Michigan,MI,4,,
1012,ionia county,5,vine grove,Kentucky,KY,1,,
1013,hunter aaf,5,savannah,Georgia,GA,5,,
1014,griswold,5,madison,Connecticut,CT,5,,
1015,fairview,5,landrum,South Carolina,SC,4,,
1016,fairview,5,fairview,Montana,MT,1,,
1017,greensburg jeannette regional,5,pittsburgh,Pennsylvania,PA,1,,
1018,greensburg jeannette regional,5,jeannette,Pennsylvania,PA,4,,
1019,ovid,5,ovid,New York,NY,5,,
1020,luck field,5,fort worth,Texas,TX,5,,
1021,lebanon state,5,lebanon,Oregon,OR,5,,
1022,angwin parrett field,5,angwin,California,CA,5,,
1023,van nuys international,5,van nuys,California,CA,5,,
1024,polson,5,polson,Montana,MT,5,,
1025,oakes municipal,5,oakes,North Dakota,ND,5,,
1026,kentucky dam state park,5,gilbertsville,Kentucky,KY,5,,
1027,skylark airpark,5,warehouse point,Connecticut,CT,3,,
1028,skylark airpark,5,,Connecticut,CT,0,,
1029,skylark airpark,5,east windsor,Connecticut,CT,1,,
1030,skylark airpark,5,broad brook,Connecticut,CT,1,,
1031,plainwell municipal,5,plainwell,Michigan,MI,5,,
1032,plainwell municipal,5,,,,0,,
1033,vista field,5,kennewick,Washington,WA,5,,
1034,corning municipal,5,painted post,New York,NY,1,,
1035,corning municipal,5,corning,California,CA,3,,
1036,corning municipal,5,corning,Arkansas,AR,1,,
1037,william h. morse state,5,bennington,Vermont,VT,5,,
1038,bloomsburg municipal,5,bloomsburg,Pennsylvania,PA,5,,
1039,andy barnhart memorial,5,new carlisle,Ohio,OH,5,,
1040,corpus christi nas truax field,5,corpus christi,Texas,TX,3,,
1041,corpus christi nas truax field,5,portland,Texas,TX,1,,
1042,corpus christi nas truax field,5,south padre island,Texas,TX,1,,
1043,paintsville prestonsburg field,5,prestonsburg,Kentucky,KY,1,,
1044,paintsville prestonsburg field,5,paintsville,Kentucky,KY,4,,
1045,placid lakes,5,lake placid,Florida,FL,1,,
1046,placid lakes,5,placida,Florida,FL,4,,
1047,bridgeport cahill field,5,pitman,New Jersey,NJ,1,,
1048,bridgeport cahill field,5,bridgeport,New Jersey,NJ,3,,
1049,bridgeport cahill field,5,bridgeport,California,CA,1,,
1050,rush city regional,5,rush city,Minnesota,MN,5,,
1051,laurinburg maxton,5,monroe,North Carolina,NC,1,,
1052,laurinburg maxton,5,maxton,North Carolina,NC,3,,
1053,laurinburg maxton,5,laurinburg,North Carolina,NC,1,,
1054,polk county airport cornelius moore field,5,cedartown,Georgia,GA,4,,
1055,polk county airport cornelius moore field,5,rockmart,Georgia,GA,1,,
1056,lawrence smith memorial,5,harrisonville,Missouri,MO,5,,
1057,kutztown municipal,5,kutztown,Pennsylvania,PA,5,,
1058,twin oaks,5,san antonio,Texas,TX,4,,
1059,twin oaks,5,hillsboro,Oregon,OR,1,,
1060,platteville municipal,5,platteville,Wisconsin,WI,5,,
1061,bluffton,5,bluffton,Ohio,OH,5,,
1062,lawton municipal,5,lawton,Oklahoma,OK,4,,
1063,lawton municipal,5,lawton,Iowa,IA,1,,
1064,tokyo international,5,tokyo,,,0,,
1065,collegedale municipal,5,collegedale,Tennessee,TN,5,,
1066,folsom,5,cullman,Alabama,AL,4,,
1067,folsom,5,elba,Alabama,AL,1,,
1068,clearview airpark,5,westminster,Maryland,MD,5,,
1069,vansant,5,erwinna,Pennsylvania,PA,5,,
1070,luce county,5,newberry,Michigan,MI,5,,
1071,midland municipal,5,midland,Texas,TX,5,,
1072,guntersville municipal joe starnes field,5,guntersville,Alabama,AL,5,,
1073,clarion county,5,freeport,Pennsylvania,PA,1,,
1074,clarion county,5,clarion,Pennsylvania,PA,4,,
1075,colusa county,5,colusa,California,CA,5,,
1076,ocean springs,5,ocean springs,Mississippi,MS,5,,
1077,lake barkley state park,5,cadiz,Kentucky,KY,4,,
1078,lake barkley state park,5,hopkinsville,Kentucky,KY,1,,
1079,bethel municipal,5,bethel,Alaska,AK,5,,
1080,belfast municipal,5,belfast,Maine,ME,5,,
1081,marine city,5,cherry point,North Carolina,NC,1,,
1082,marine city,5,marine city,Michigan,MI,4,,
1083,houston county,5,caledonia,Minnesota,MN,4,,
1084,houston county,5,crockett,Texas,TX,1,,
1085,greensburg municipal,5,greensburg,Indiana,IN,5,,
1086,firebaugh,5,firebaugh,California,CA,5,,
1087,cottage grove state,5,cottage grove,Oregon,OR,5,,
1088,scandia air park,5,morgantown,Pennsylvania,PA,5,,
1089,false river regional,5,new roads,Louisiana,LA,5,,
1090,blairsville,5,blairsville,Georgia,GA,5,,
1091,wes lupien,5,oak harbor,Washington,WA,5,,
1092,three forks,5,three forks,Montana,MT,4,,
1093,three forks,5,winifred,Montana,MT,1,,
1094,metter municipal,5,metter,Georgia,GA,5,,
1095,amana,5,amana,Iowa,IA,5,,
1096,marion county,5,dunnellon,Florida,FL,4,,
1097,marion county,5,mullins,South Carolina,SC,1,,
1098,south expressway,5,jonesboro,Georgia,GA,4,,
1099,south expressway,5,atlanta,Georgia,GA,1,,
1100,hefner easley,5,wagoner,Oklahoma,OK,5,,
1101,york municipal,5,york,Nebraska,NE,5,,
1102,willow grove nas jrb,5,willow grove,Pennsylvania,PA,5,,
1103,hilliard airpark,5,hilliard,Florida,FL,5,,
1104,grandfield municipal,5,grandfield,Oklahoma,OK,5,,
1105,braxton county,5,sutton,West Virginia,WV,5,,
1106,chalet suzanne air strip,5,lakes wales,Florida,FL,4,,
1107,chalet suzanne air strip,5,lake wales,Florida,FL,1,,
1108,fallston,5,fallston,Maryland,MD,4,,
1109,fallston,5,bel air,Maryland,MD,1,,
1110,south lakeland,5,mulberry,Florida,FL,5,,
1111,south lakeland,5,,Florida,FL,0,,
1112,south texas regional at hondo,5,hondo,Texas,TX,5,,
1113,paynesville municipal,5,paynesville,Minnesota,MN,5,,
1114,central colorado regional,5,buena vista,Colorado,CO,5,,
1115,north island nas halsey field,5,san diego,California,CA,5,,
1116,cecil county,5,elkton,Maryland,MD,5,,
1117,naper aero club,5,naperville,Illinois,IL,5,,
1118,potomac airfield,5,friendly,Maryland,MD,3,,
1119,potomac airfield,5,fort washington,Maryland,MD,2,,
1120,aeroflex andover,5,andover,New Jersey,NJ,5,,
1121,lockhart municipal,5,lockhart,Texas,TX,5,,
1122,santa susana municipal,5,santa susana knolls,California,CA,5,,
1123,graham municipal,5,graham,Texas,TX,5,,
1124,port orchard,5,port orchard,Washington,WA,5,,
1125,palmyra municipal,5,palmyra,Wisconsin,WI,5,,
1126,boonville,5,boonville,Missouri,MO,1,,
1127,boonville,5,boonville,New York,NY,1,,
1128,boonville,5,boonville,California,CA,1,,
1129,boonville,5,boonville,Indiana,IN,2,,
1130,wellington municipal,5,wellington,Nevada,NV,1,,
1131,wellington municipal,5,wellington,Kansas,KS,4,,
1132,smoketown,5,smoketown,Pennsylvania,PA,5,,
1133,cheboygan county,5,cheboygan,Michigan,MI,5,,
1134,joseph y resnick,5,ellenville,New York,NY,3,,
1135,joseph y resnick,5,wawarsing,New York,NY,2,,
1136,middlesboro bell county,5,middlesboro,Kentucky,KY,5,,
1137,amelia earhart,5,atchison,Kansas,KS,5,,
1138,taft kern county,5,taft,California,CA,5,,
1139,tahlequah municipal,5,tahlequah,Oklahoma,OK,5,,
1140,bellevue municipal,5,bellevue,Washington,WA,5,,
1141,huron county memorial,4,bad axe,Michigan,MI,3,,
1142,huron county memorial,4,berlin heights,Ohio,OH,1,,
1143,mountain air,4,burnsville,North Carolina,NC,4,,
1144,muscle shoals municipal,4,muscle shoals,Alabama,AL,4,,
1145,nebraska city municipal,4,nebraska city,Nebraska,NE,4,,
1146,higginsville industrial municipal,4,higginsville,Missouri,MO,4,,
1147,middleton field,4,middleton,Pennsylvania,PA,2,,
1148,middleton field,4,evergreen,Alabama,AL,2,,
1149,gibson county,4,trenton,Tennessee,TN,2,,
1150,gibson county,4,gibson city,Illinois,IL,1,,
1151,gibson county,4,milan,Tennessee,TN,1,,
1152,glencoe municipal,4,glencoe,Minnesota,MN,4,,
1153,gilmer county,4,ellijay,Georgia,GA,4,,
1154,mogollon airpark,4,overgaard,Arizona,AZ,4,,
1155,mj aviation i,4,custer,South Dakota,SD,4,,
1156,highland county,4,hillsboro,Ohio,OH,4,,
1157,elmdale airpark,4,abilene,Texas,TX,4,,
1158,murphy,4,wellman,Iowa,IA,1,,
1159,murphy,4,murphy,Idaho,ID,3,,
1160,hidden valley,4,dallas,Texas,TX,1,,
1161,hidden valley,4,denton,Texas,TX,1,,
1162,hidden valley,4,hidden valley,Arizona,AZ,2,,
1163,mandan municipal,4,mandan,North Dakota,ND,4,,
1164,elwood municipal,4,elwood,Indiana,IN,4,,
1165,palmetto air plantation,4,mc cormick,South Carolina,SC,3,,
1166,palmetto air plantation,4,manning,South Carolina,SC,1,,
1167,friday harbor municipal,4,friday harbor,Washington,WA,4,,
1168,maquoketa municipal,4,maquoketa,Iowa,IA,4,,
1169,hartselle morgan county regional,4,hartselle,Alabama,AL,4,,
1170,hartselle morgan county regional,4,,Alabama,AL,0,,
1171,fremont,4,fremont,Ohio,OH,3,,
1172,fremont,4,coshocton,Ohio,OH,1,,
1173,mount airy surry county,4,mount airy,North Carolina,NC,4,,
1174,haskell municipal,4,haskell,Texas,TX,4,,
1175,parowan,4,parowan,Utah,UT,4,,
1176,hugoton municipal,4,hugoton,Kansas,KS,4,,
1177,merrymeeting field,4,bowdoinham,Maine,ME,4,,
1178,paramount air,4,green creek,New Jersey,NJ,2,,
1179,paramount air,4,ocean city,New Jersey,NJ,1,,
1180,paramount air,4,,New Jersey,NJ,0,,
1181,paramount air,4,cape may,New Jersey,NJ,1,,
1182,fentress airpark,4,fentress,Texas,TX,4,,
1183,milbank municipal,4,milbank,South Dakota,SD,4,,
1184,mcminnville municipal,4,mcminnville,Oregon,OR,4,,
1185,holyoke,4,holyoke,Colorado,CO,4,,
1186,finleyville airpark,4,finleyville,Pennsylvania,PA,4,,
1187,grawunder field,4,bellville,Texas,TX,4,,
1188,heathrow international,4,london,,,0,,
1189,nueces county,4,robstown,Texas,TX,4,,
1190,fitzgerald municipal,4,fitzgerald,Georgia,GA,4,,
1191,fox stephens field gilmer municipal,4,gilmer,Texas,TX,4,,
1192,haigh field,4,orlando,Florida,FL,1,,
1193,haigh field,4,orland,California,CA,3,,
1194,p k airpark,4,raeford,North Carolina,NC,4,,
1195,morehead rowan county,4,morehead,Kentucky,KY,4,,
1196,fleming mason,4,flemingsburg,Kentucky,KY,4,,
1197,floyd w. jones lebanon,4,,,,0,,
1198,floyd w. jones lebanon,4,lebanon,Missouri,MO,4,,
1199,marine city municipal,4,marine city,Michigan,MI,4,,
1200,howell new lenox,4,new lenox,Illinois,IL,4,,
1201,hall miller municipal,4,atlanta,Texas,TX,4,,
1202,medford municipal,4,medford,Oklahoma,OK,4,,
1203,ona airpark,4,milton,West Virginia,WV,4,,
1204,pearce ferry,4,meadview,Arizona,AZ,4,,
1205,harris hill,4,elmira,New York,NY,3,,
1206,harris hill,4,horseheads,New York,NY,1,,
1207,fairmont state airfield,4,fairmont,Nebraska,NE,4,,
1208,malvern municipal,4,malvern,Arkansas,AR,4,,
1209,geneva municipal,4,geneva,Alabama,AL,4,,
1210,ennis municipal,4,ennis,Texas,TX,4,,
1211,piatt county,4,monticello,Illinois,IL,4,,
1212,mid valley,4,weslaco,Texas,TX,4,,
1213,marysville municipal,4,marysville,Kansas,KS,4,,
1214,ephraim gibraltar,4,ephraim,Wisconsin,WI,4,,
1215,hanover,4,hanover,Pennsylvania,PA,4,,
1216,macon fower memorial,4,macon,Missouri,MO,4,,
1217,philadelphia,4,perkasie,Pennsylvania,PA,1,,
1218,philadelphia,4,philadelphia,Pennsylvania,PA,1,,
1219,philadelphia,4,hilltown,Pennsylvania,PA,2,,
1220,mathis,4,cumming,Georgia,GA,4,,
1221,escalante municipal,4,escalante,Utah,UT,4,,
1222,new hudson municipal,4,new hudson,Michigan,MI,4,,
1223,hillsdale municipal,4,hillsdale,Michigan,MI,4,,
1224,hutchinson municipal butler field,4,hutchinson,Minnesota,MN,4,,
1225,new market,4,new market,Virginia,VA,3,,
1226,new market,4,harrisonburg,Virginia,VA,1,,
1227,perryton ochiltree county,4,perryton,Texas,TX,4,,
1228,gardiner,4,gardiner,New York,NY,3,,
1229,gardiner,4,plattekill,New York,NY,1,,
1230,perris municipal,4,perris,California,CA,4,,
1231,mount snow,4,west dover,Vermont,VT,4,,
1232,gallia meigs regional,4,gallipolis,Ohio,OH,4,,
1233,mc elroy airfield,4,kremmling,Colorado,CO,4,,
1234,excelsior springs memorial,4,excelsior springs,Missouri,MO,4,,
1235,mackinac county,4,saint ignace,Michigan,MI,4,,
1236,marked tree municipal,4,marked tree,Arkansas,AR,3,,
1237,marked tree municipal,4,lepanto,Arkansas,AR,1,,
1238,mount pleasant scottdale,4,mount pleasant,Pennsylvania,PA,4,,
1239,holley mountain airpark,4,thomaston,Georgia,GA,4,,
1240,harold krier field,4,ashland,Kansas,KS,4,,
1241,fabick two,4,somerville,Tennessee,TN,4,,
1242,norfolk ns chambers field,4,norfolk,Virginia,VA,4,,
1243,ray community,4,new haven,Michigan,MI,3,,
1244,ray community,4,ray,Michigan,MI,1,,
1245,marlette,4,marlette,Michigan,MI,4,,
1246,platte valley airpark,4,fort lupton,Colorado,CO,1,,
1247,platte valley airpark,4,hudson,Colorado,CO,2,,
1248,platte valley airpark,4,brighton,Colorado,CO,1,,
1249,currituck county regional,4,currituck,North Carolina,NC,4,,
1250,currituck county regional,4,,North Carolina,NC,0,,
1251,carrington municipal,4,carrington,North Dakota,ND,4,,
1252,waynesville st robert regional forney field,4,waynesville,Missouri,MO,4,,
1253,wawasee,4,syracuse,Indiana,IN,4,,
1254,thomson mcduffie county,4,thomson,Georgia,GA,4,,
1255,kennedy airfield,4,new york,New York,NY,2,,
1256,kennedy airfield,4,jamaica,New York,NY,2,,
1257,joseph state,4,joseph,Oregon,OR,4,,
1258,jackson,4,oak hill,Ohio,OH,1,,
1259,jackson,4,jackson,Tennessee,TN,1,,
1260,jackson,4,jackson,Louisiana,LA,2,,
1261,scottsboro municipal word field,4,scottsboro,Alabama,AL,4,,
1262,copiah county,4,hazelhurst,Mississippi,MS,2,,
1263,copiah county,4,crystal springs,Mississippi,MS,2,,
1264,copalis state,4,copalis,Washington,WA,4,,
1265,cashmere dryden,4,cashmere,Washington,WA,4,,
1266,conway municipal,4,conway,Arkansas,AR,4,,
1267,springerville municipal,4,springerville,Arizona,AZ,4,,
1268,spring hill,4,sterling,Pennsylvania,PA,4,,
1269,basin harbor,4,vergennes,Vermont,VT,3,,
1270,basin harbor,4,basin harbor,Vermont,VT,1,,
1271,baublitz commercial,4,brogue,Pennsylvania,PA,4,,
1272,baxley municipal,4,baxley,Georgia,GA,4,,
1273,cox grantham airfield,4,grantham,North Carolina,NC,4,,
1274,boyne city municipal,4,boyne city,Michigan,MI,4,,
1275,santa susana,4,simi valley,California,CA,3,,
1276,santa susana,4,van nuys,California,CA,1,,
1277,canandaigua,4,canandaigua,New York,NY,4,,
1278,stafford regional,4,stafford,Virginia,VA,4,,
1279,st paul island,4,saint paul island,Alaska,AK,4,,
1280,cuba municipal,4,cuba,Missouri,MO,4,,
1281,saline county watts field,4,benton,Arkansas,AR,4,,
1282,arens field,4,winamac,Indiana,IN,4,,
1283,tenkiller lake airpark,4,cookson,Oklahoma,OK,4,,
1284,asheboro regional,4,asheboro,North Carolina,NC,4,,
1285,st john the baptist parish,4,reserve,Louisiana,LA,3,,
1286,st john the baptist parish,4,la place,Louisiana,LA,1,,
1287,cranland,4,hanson,Massachusetts,MA,3,,
1288,cranland,4,east bridgewater,Massachusetts,MA,1,,
1289,sandia airpark estates east,4,edgewood,New Mexico,NM,4,,
1290,lawrence,4,clearfield,Pennsylvania,PA,2,,
1291,lawrence,4,wasilla,Alaska,AK,1,,
1292,lawrence,4,corry,Pennsylvania,PA,1,,
1293,wellsboro johnston,4,wellsboro,Pennsylvania,PA,4,,
1294,boyne mountain,4,boyne falls,Michigan,MI,4,,
1295,boyne mountain,4,,Michigan,MI,0,,
1296,sandy creek airpark,4,panama city,Florida,FL,4,,
1297,welke,4,saint james,Michigan,MI,4,,
1298,cape cod,4,marston mills,Massachusetts,MA,2,,
1299,cape cod,4,barnstable,Massachusetts,MA,1,,
1300,cape cod,4,marstons mills,Massachusetts,MA,1,,
1301,seneca county,4,tiffin,Ohio,OH,4,,
1302,jake arner memorial,4,lehighton,Pennsylvania,PA,4,,
1303,bay minette municipal,4,bay minette,Alabama,AL,4,,
1304,skarda tollville,4,alabaster,Alabama,AL,4,,
1305,toledo state,4,toledo,Oregon,OR,4,,
1306,blue ash municipal,4,blue ash,Ohio,OH,4,,
1307,simsbury municipal,4,simsbury,Connecticut,CT,4,,
1308,south dayton,4,johnstown,New York,NY,4,,
1309,vashon municipal,4,vashon,Washington,WA,4,,
1310,south cove,4,monroe,Washington,WA,4,,
1311,benton municipal,4,benton,Kansas,KS,1,,
1312,benton municipal,4,benton,Illinois,IL,3,,
1313,south alabama regional at bill benton field,4,andalusia,Alabama,AL,4,,
1314,south alabama regional at bill benton field,4,,Alabama,AL,0,,
1315,silver springs,4,silver springs,Florida,FL,2,,
1316,silver springs,4,silver springs,Nevada,NV,2,,
1317,claremore regional,4,claremore,Oklahoma,OK,4,,
1318,bermudian valley airpark,4,kralltown,Pennsylvania,PA,4,,
1319,smithville crawford municipal,4,smithville,Texas,TX,4,,
1320,jerome county,4,jerome,Idaho,ID,4,,
1321,jennings,4,jennings,Louisiana,LA,4,,
1322,tremonton municipal,4,tremonton,Utah,UT,4,,
1323,chesapeake municipal,4,chesapeake,Virginia,VA,4,,
1324,south haven area regional,4,south haven,Michigan,MI,4,,
1325,clearfield lawrence,4,clearfield,Pennsylvania,PA,4,,
1326,spohn alice,4,el paso,Texas,TX,4,,
1327,sheldon municipal,4,sheldon,Iowa,IA,4,,
1328,bb airpark,4,rosharon,Texas,TX,4,,
1329,lea county zip franklin memorial,4,lovington,New Mexico,NM,4,,
1330,bear lake county,4,paris,Idaho,ID,2,,
1331,bear lake county,4,bear lake,Utah,UT,1,,
1332,bear lake county,4,bear lake,Idaho,ID,1,,
1333,colorado city,4,colorado city,Texas,TX,4,,
1334,le roy,4,leroy,New York,NY,3,,
1335,le roy,4,le roy,,,0,,
1336,bob white field,4,zellwood,Florida,FL,4,,
1337,spadaro,4,east moriches,New York,NY,4,,
1338,coffey county,4,burlington,Kansas,KS,4,,
1339,kee field,4,pineville,West Virginia,WV,4,,
1340,bedford county,4,bedford,Pennsylvania,PA,4,,
1341,shell lake municipal,4,shell lake,Wisconsin,WI,4,,
1342,bob lee flight strip,4,deland,Florida,FL,4,,
1343,shenandoah municipal,4,shenandoah,Iowa,IA,4,,
1344,coastal,4,pensacola,Florida,FL,4,,
1345,cloquet carlton county,4,cloquet,Minnesota,MN,4,,
1346,belleville municipal,4,belleville,Kansas,KS,4,,
1347,cameron memorial,4,cameron,Missouri,MO,4,,
1348,kentmorr airpark,4,stevensville,Maryland,MD,4,,
1349,white county,4,cleveland,Georgia,GA,1,,
1350,white county,4,sparta,Tennessee,TN,1,,
1351,white county,4,monticello,Indiana,IN,2,,
1352,white county,4,,Indiana,IN,0,,
1353,byerley,4,lake providence,Louisiana,LA,4,,
1354,sycamore strip,4,fort worth,Texas,TX,4,,
1355,red oak municipal,4,red oak,Iowa,IA,4,,
1356,little falls morrison county lindbergh field,4,little falls,Minnesota,MN,4,,
1357,brodhead,4,brodhead,Wisconsin,WI,4,,
1358,brighton,4,brighton,Michigan,MI,4,,
1359,winterset municipal,4,winterset,Iowa,IA,4,,
1360,stanley,4,stanley,Idaho,ID,4,,
1361,woodbridge municipal,4,woodbridge,Virginia,VA,4,,
1362,winsted municipal,4,winsted,Minnesota,MN,4,,
1363,diamondhead,4,bay saint louis,Mississippi,MS,4,,
