,eventairport_conv,count,eventcity,event_fullstate,eventstate,count_by_loc,,
105,meadow lake,28,peyton,Colorado,CO,4,FLY,
106,meadow lake,28,falcon,Colorado,CO,15,FLY,
107,meadow lake,28,colorado springs,Colorado,CO,9,FLY,
108,meadow lake,28,,Colorado,CO,0,FLY,
109,suffolk executive,27,suffolk,Virginia,VA,27,SFQ,
110,lee's summit municipal,27,lees summit,Missouri,MO,27,LXT,
111,rostraver,27,belle vernon,Pennsylvania,PA,8,FWQ,
112,rostraver,27,rostraver,Pennsylvania,PA,4,FWQ,
113,rostraver,27,monongahela,Pennsylvania,PA,14,FWQ,
114,rostraver,27,pittsburgh,Pennsylvania,PA,1,FWQ,
115,odessa schlemeyer field,26,odessa,Texas,TX,26,ODO,
116,northwest regional,26,roanoke,Texas,TX,26,52F,
117,northwest regional,26,,Texas,TX,0,52F,
118,portage county,26,ravenna,Ohio,OH,26,POV,
119,fort worth spinks,26,fort worth,Texas,TX,21,FWS,
120,fort worth spinks,26,everman,Texas,TX,1,FWS,
121,fort worth spinks,26,burleson,Texas,TX,4,FWS,
122,clermont county,26,batavia,Ohio,OH,25,I69,
123,clermont county,26,amelia,Ohio,OH,1,I69,
124,flying w,26,lumberton,New Jersey,NJ,22,N14,
125,flying w,26,medford,New Jersey,NJ,4,N14,
126,lodi,26,lodi,California,CA,19,1O3,
127,lodi,26,acampo,California,CA,7,1O3,
128,lake elmo,26,saint paul,Minnesota,MN,19,21D,
129,lake elmo,26,lake elmo,Minnesota,MN,7,21D,
130,hammond northshore regional,26,hammond,Louisiana,LA,26,HDC,
131,pearson field,26,vancouver,Washington,WA,25,VUO,
132,pearson field,26,,Washington,WA,0,VUO,
133,pearson field,26,pearson,Washington,WA,1,VUO,
134,caldwell industrial,26,caldwell,Idaho,ID,26,EUL,
135,crystal river,26,crystal river,Florida,FL,26,CGC,
136,murfreesboro municipal,25,murfreesboro,Tennessee,TN,25,MBT,
137,warrenton fauquier,25,midland,Virginia,VA,8,HWY,
138,warrenton fauquier,25,warrenton,Virginia,VA,17,HWY,
139,mid valley airpark,25,los lunas,New Mexico,NM,25,E98,
140,leesburg executive,25,leesburg,Virginia,VA,25,JYO,
141,leesburg executive,25,,Virginia,VA,0,JYO,
142,south county arpt of santa clara county,25,san martin,California,CA,23,E16/Q99,
143,south county arpt of santa clara county,25,omaha,Nebraska,NE,1,,
144,south county arpt of santa clara county,25,morgan hill,California,CA,1,E16/Q99,
145,fitchburg municipal,24,fitchburg,Massachusetts,MA,24,FIT,
146,charlotte monroe executive,24,monroe,North Carolina,NC,24,EQY,
147,abilene municipal,24,abilene,Texas,TX,20,ABI,
148,abilene municipal,24,abilene,Kansas,KS,4,K78,
149,washington executive hyde field,23,clinton,Maryland,MD,21,W32,
150,washington executive hyde field,23,downey,Idaho,ID,1,,
151,washington executive hyde field,23,morgantown,Maryland,MD,1,W32,
152,livingston county spencer j. hardy,23,howell,Michigan,MI,23,OZW,
153,skykomish state,23,arlington,Washington,WA,22,S88,
154,skykomish state,23,skykomish,Washington,WA,1,S88,
155,alexander municipal,23,belen,New Mexico,NM,23,E80,
156,shelby county,23,alabaster,Alabama,AL,17,EET,
157,shelby county,23,shelbyville,Illinois,IL,2,2H0,
158,shelby county,23,calera,Alabama,AL,4,EET,
159,lake hood strip,23,anchorage,Alaska,AK,23,Z41,
160,lake hood strip,23,,Alaska,AK,0,Z41,
161,south st paul municipal richard e fleming field,22,south saint paul,Minnesota,MN,20,SGS,
162,south st paul municipal richard e fleming field,22,saint paul,Minnesota,MN,2,SGS,
163,cross keys,22,cross keys,New Jersey,NJ,14,17N,
164,cross keys,22,williamstown,New Jersey,NJ,8,17N,
165,cross keys,22,,New Jersey,NJ,0,17N,
166,solberg hunterdon,22,hunterdon,New Jersey,NJ,1,N51,
167,solberg hunterdon,22,asbury,New Jersey,NJ,1,N51,
168,solberg hunterdon,22,lyons,New Jersey,NJ,1,N51,
169,solberg hunterdon,22,readington,New Jersey,NJ,16,N51,
170,solberg hunterdon,22,whitehouse station,New Jersey,NJ,2,N51,
171,solberg hunterdon,22,solberg,New Jersey,NJ,1,N51,
172,grimes field,22,urbana,Ohio,OH,22,I74,
173,atlanta regional falcon field,22,peachtree city,Georgia,GA,21,FFC,
174,atlanta regional falcon field,22,atlanta,Georgia,GA,1,FFC,
175,culpeper regional,21,culpeper,Virginia,VA,19,CJR,
176,culpeper regional,21,brandy station,Virginia,VA,2,CJR,
177,kent state univ,21,stow,Ohio,OH,8,1G3,
178,kent state univ,21,kent,Ohio,OH,13,1G3,
179,herlong recreational,21,jacksonville,Florida,FL,21,HEG,
180,grosse ile municipal,21,grosse ile,Michigan,MI,12,ONZ,
181,grosse ile municipal,21,detroit,Michigan,MI,9,ONZ,
182,grosse ile municipal,21,,Michigan,MI,0,ONZ,
183,cameron airpark,21,cameron park,California,CA,21,O61,
184,hillsboro municipal,21,hillsboro,Oregon,OR,12,HIO,
185,hillsboro municipal,21,hillsboro,Texas,TX,7,INJ,
186,hillsboro municipal,21,hillsboro,North Dakota,ND,2,3H4,
187,new castle municipal,21,new castle,Delaware,DE,1,,
188,new castle municipal,21,new castle,Pennsylvania,PA,18,UCP,
189,new castle municipal,21,emlenton,Pennsylvania,PA,1,UCP,
190,new castle municipal,21,nevis,,BH,1,,
191,opa locka municipal,20,opa locka,Florida,FL,20,OPF,
192,medina municipal,20,medina,Ohio,OH,19,1G5,
193,medina municipal,20,seville,Ohio,OH,1,1G5,
194,fort collins downtown,20,fort collins,Colorado,CO,20,3V5,
195,meriden markham municipal,20,meriden,Connecticut,CT,20,MMK,
196,california city municipal,20,california city,California,CA,20,L71,
197,h l sonny callahan,20,fairhope,Alabama,AL,20,CQF,
198,fresno municipal,20,fresno,California,CA,20,FAT,
199,mid continent,19,wichita,Kansas,KS,17,ICT,
200,mid continent,19,kansas city,Missouri,MO,2,ICT,
201,bridgeport municipal,19,bridgeport,Texas,TX,17,XPB,
202,bridgeport municipal,19,bridgeport,New Jersey,NJ,2,,
203,madison county,19,london,Ohio,OH,18,UYF,
204,madison county,19,madison,Florida,FL,1,99FL,
205,johnston county,19,smithfield,North Carolina,NC,18,JNX,
206,johnston county,19,clayton,North Carolina,NC,1,JNX,
207,johnston county,19,,North Carolina,NC,0,JNX,
208,el reno regional,19,el reno,Oklahoma,OK,19,RQO,
209,plattsmouth municipal,19,plattsmouth,Nebraska,NE,17,PMV,
210,plattsmouth municipal,19,nebraska city,Nebraska,NE,1,PMV,
211,plattsmouth municipal,19,murray,Nebraska,NE,1,PMV,
212,scappoose industrial airpark,19,scappoose,Oregon,OR,19,SPB,
213,pierce county thun field,19,puyallup,Washington,WA,19,PLU,
214,bolingbrook's clow international,18,plainfield,Illinois,IL,16,1C5,
215,bolingbrook's clow international,18,bolingbrook,Illinois,IL,2,1C5,
216,windham,18,willimantic,Connecticut,CT,18,IJD,
217,greenwood lake,18,west milford,New Jersey,NJ,16,4N1,
218,greenwood lake,18,andover,New Jersey,NJ,1,4N1,
219,greenwood lake,18,greenwood lake,New York,NY,1,4N1,
220,weiser air park,18,houston,Texas,TX,16,EYQ,
221,weiser air park,18,cypress,Texas,TX,2,EYQ,
222,greene county lewis a. jackson regional,18,xenia,Ohio,OH,10,,
223,greene county lewis a. jackson regional,18,dayton,Ohio,OH,8,,
224,oakland troy,18,troy,Michigan,MI,17,,
225,oakland troy,18,royal oak,Michigan,MI,1,,
226,blairstown,18,blairstown,New Jersey,NJ,18,,
227,carl r keller field,17,port clinton,Ohio,OH,17,,
228,lake in the hills,17,lake in the hills,Illinois,IL,14,,
229,lake in the hills,17,crystal lake,Illinois,IL,3,,
230,lake in the hills,17,,Illinois,IL,0,,
231,hicks airfield,17,saginaw,Texas,TX,1,,
232,hicks airfield,17,fort worth,Texas,TX,16,,
233,plant city,17,plant city,Florida,FL,17,,
234,nampa municipal,17,nampa,Idaho,ID,17,,
235,sussex,17,sussex,New Jersey,NJ,17,,
236,sussex,17,,,,0,,
237,orange municipal,17,orange,California,CA,1,,
238,orange municipal,17,orange,Massachusetts,MA,15,,
239,orange municipal,17,montgomery,New Jersey,NJ,1,,
240,bolton field,17,columbus,Ohio,OH,17,,
241,bolinder field tooele valley,17,tooele,Utah,UT,16,,
242,bolinder field tooele valley,17,erda,Utah,UT,1,,
243,blackwell field,17,ozark,Alabama,AL,16,,
244,blackwell field,17,midland,Alabama,AL,1,,
245,upper cumberland regional,17,sparta,Tennessee,TN,17,,
246,nevada county air park,16,grass valley,California,CA,16,,
247,donegal springs airpark,16,marietta,Pennsylvania,PA,15,,
248,donegal springs airpark,16,mount joy,Pennsylvania,PA,1,,
249,taunton municipal king field,16,seattle,Washington,WA,2,,
250,taunton municipal king field,16,taunton,Massachusetts,MA,14,,
251,hummel field,16,saluda,Virginia,VA,14,,
252,hummel field,16,topping,Virginia,VA,2,,
253,hummel field,16,,,,0,,
254,north little rock municipal,16,north little rock,Arkansas,AR,16,,
255,north little rock municipal,16,,Arkansas,AR,0,,
256,palatka municipal lt. kay larkin field,16,palatka,Florida,FL,16,,
257,chesapeake regional,16,chesapeake,Virginia,VA,14,,
258,chesapeake regional,16,norfolk,Virginia,VA,2,,
259,east troy municipal,16,east troy,Wisconsin,WI,16,,
260,slidell,16,slidell,Louisiana,LA,13,,
261,slidell,16,sidell,Louisiana,LA,3,,
262,kingston ulster,16,kingston,New York,NY,16,,
263,gastonia municipal,15,gastonia,North Carolina,NC,15,,
264,harvey field,15,snohomish,Washington,WA,15,,
265,marshfield municipal george harlow field,15,marshfield,Massachusetts,MA,14,,
266,marshfield municipal george harlow field,15,micanopy,Florida,FL,1,,
267,williston municipal,15,williston,North Dakota,ND,1,,
268,williston municipal,15,williston,Florida,FL,14,,
269,dona ana county at santa teresa,15,santa teresa,New Mexico,NM,15,,
270,dona ana county at santa teresa,15,,New Mexico,NM,0,,
271,reigle field,15,palmyra,Pennsylvania,PA,15,,
272,addison municipal,15,addison,Texas,TX,15,,
273,franklin field,15,fort worth,Texas,TX,8,,
274,franklin field,15,oak grove,Texas,TX,1,,
275,franklin field,15,franklin,California,CA,5,,
276,franklin field,15,union springs,Alabama,AL,1,,
277,evergreen field,15,vancouver,Washington,WA,15,,
278,wickenburg municipal,15,wickenburg,Arizona,AZ,15,,
279,west georgia regional o v gray field,15,carrollton,Georgia,GA,15,,
280,west georgia regional o v gray field,15,,Georgia,GA,0,,
281,simsbury,15,simsbury,Connecticut,CT,15,,
282,griffith merrillville,15,griffith,Indiana,IN,14,,
283,griffith merrillville,15,griffin,Illinois,IL,1,,
284,griffith merrillville,15,,,,0,,
285,university,15,oxford,Mississippi,MS,2,,
286,university,15,davis,California,CA,13,,
287,conway horry county,15,conway,South Carolina,SC,15,,
288,rockwall municipal,15,rockwall,Texas,TX,14,,
289,rockwall municipal,15,rockwell,Texas,TX,1,,
290,campbell,15,bridgeville,Pennsylvania,PA,1,,
291,campbell,15,anchorage,Alaska,AK,4,,
292,campbell,15,cuddy,Pennsylvania,PA,1,,
293,campbell,15,grayslake,Illinois,IL,9,,
294,valkaria,15,valkaria,Florida,FL,14,,
295,valkaria,15,malabar,Florida,FL,1,,
296,lake lawn,14,delavan,Wisconsin,WI,14,,
297,benton field,14,redding,California,CA,14,,
298,robertson field,14,plainfield,Connecticut,CT,1,,
299,robertson field,14,plainville,Connecticut,CT,12,,
300,robertson field,14,langdon,North Dakota,ND,1,,
301,litchfield municipal,14,litchfield,Illinois,IL,8,,
302,litchfield municipal,14,litchfield,Arizona,AZ,1,,
303,litchfield municipal,14,litchfield,Minnesota,MN,4,,
304,litchfield municipal,14,farmersville,Illinois,IL,1,,
305,stormville,14,stormville,New York,NY,14,,
306,horace williams,14,chapel hill,North Carolina,NC,14,,
307,laurel municipal,14,laurel,Montana,MT,13,,
308,laurel municipal,14,laurel,Delaware,DE,1,,
309,laurel municipal,14,,,,0,,
310,chatham municipal,14,chatham,Massachusetts,MA,14,,
311,northampton,14,northampton,Massachusetts,MA,13,,
312,northampton,14,north hatfield,Massachusetts,MA,1,,
313,frankfort municipal,14,frankfort,Illinois,IL,3,,
314,frankfort municipal,14,frankfort,Indiana,IN,11,,
315,warwick municipal,14,warwick,New York,NY,14,,
316,custer,14,monroe,Michigan,MI,12,,
317,custer,14,monroe,Washington,WA,1,,
318,custer,14,custer,South Dakota,SD,1,,
319,de kalb taylor municipal,14,dekalb,Illinois,IL,13,,
320,de kalb taylor municipal,14,de kalb,Illinois,IL,1,,
321,dexter b florence memorial field,14,arkadelphia,Arkansas,AR,14,,
322,hesperia,14,hesperia,California,CA,14,,
323,pennridge,14,perkasie,Pennsylvania,PA,14,,
324,danielson,13,danielson,Connecticut,CT,12,,
325,danielson,13,dayville,Connecticut,CT,1,,
326,granbury regional,13,granbury,Texas,TX,12,,
327,granbury regional,13,grandbury,Texas,TX,1,,
328,goodspeed,13,east haddam,Connecticut,CT,13,,
329,tri county,13,erie,Colorado,CO,7,,
330,tri county,13,ahoskie,North Carolina,NC,4,,
331,tri county,13,edmeston,New York,NY,1,,
332,tri county,13,bonifay,Florida,FL,1,,
333,perkiomen valley,13,collegeville,Pennsylvania,PA,13,,
334,logan county,13,lincoln,Illinois,IL,9,,
335,logan county,13,logan,West Virginia,WV,4,,
336,orlando apopka,13,plymouth,Florida,FL,10,,
337,orlando apopka,13,apopka,Florida,FL,3,,
338,moraine air park,13,dayton,Ohio,OH,11,,
339,moraine air park,13,moraine,Ohio,OH,2,,
340,padgham field,13,allegan,Michigan,MI,13,,
341,schaumburg regional,13,elgin,Illinois,IL,1,,
342,schaumburg regional,13,schaumburg,Illinois,IL,7,,
343,schaumburg regional,13,chicago,Illinois,IL,4,,
344,schaumburg regional,13,,Illinois,IL,0,,
345,schaumburg regional,13,hanover park,Illinois,IL,1,,
346,new garden,13,toughkenamon,Pennsylvania,PA,12,,
347,new garden,13,new garden,Pennsylvania,PA,1,,
348,jack barstow,13,midland,Michigan,MI,13,,
349,romeo state,13,romeo,Michigan,MI,13,,
350,lake wales municipal,13,lake wales,Florida,FL,13,,
