
From 01/1989 To 01/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,, , ,
Date,Facility,State,Region,"DDSO
Service
Area",Class,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,Civil,Military,Total,"Airport
Operations","Tower
Operations",
10/1989,IAD ,VA,AEA,EN,Towers with Radar,"10,051","4,389","4,445",199,"19,084",0,0,0,0,0,389,258,403,30,"1,080",0,0,0,0,0,92,40,132,"20,296","20,296",
Sub-Total for EN,,,,,,"10,406","7,320","9,529",201,"27,456",0,0,0,0,0,909,699,"7,022",45,"8,675",0,0,0,0,0,"3,284",40,"3,324","39,455","39,455",
Sub-Total for AEA,,,,,,"10,406","7,320","9,529",201,"27,456",0,0,0,0,0,909,699,"7,022",45,"8,675",0,0,0,0,0,"3,284",40,"3,324","39,455","39,455",
10/1989,IAH ,TX,ASW,CE,Towers with Radar,"16,895","3,904","3,482",72,"24,353",0,0,0,0,0,803,161,342,32,"1,338",0,0,0,0,0,0,0,0,"25,691","25,691",
10/1989,IND ,IN,AGL,CE,Towers with Radar,"8,785","3,375","4,846",107,"17,113",0,0,0,0,0,456,279,379,47,"1,161",0,0,0,0,0,138,6,144,"18,418","18,418",
Sub-Total for Unknown,,,,,,"35,731","11,668","12,773",378,"60,550",0,0,0,0,0,"1,648",698,"1,124",109,"3,579",0,0,0,0,0,230,46,276,"64,405","64,405",
Sub-Total for CE,,,,,,"25,680","7,279","8,328",179,"41,466",0,0,0,0,0,"1,259",440,721,79,"2,499",0,0,0,0,0,138,6,144,"44,109","44,109",
10/1989,JFK ,NY,AEA,EN,Combined TRACON & Tower with Radar,"17,890","8,444","1,912",43,"28,289",0,58,"1,198",224,"1,480",567,220,34,0,821,0,0,0,0,0,0,0,0,"29,110","30,590",
10/1989,LAS ,NV,AWP,WE,Towers with Radar,"16,409","5,466","6,753",450,"29,078",0,0,0,0,0,464,583,450,81,"1,578",0,0,0,0,0,"1,816",40,"1,856","32,512","32,512",
10/1989,LAX ,CA,AWP,WE,Combined TRACON & Tower with Radar,"36,105","12,771","3,032",257,"52,165",0,1,"1,039",11,"1,051",799,522,274,69,"1,664",0,0,0,0,0,430,8,438,"54,267","55,318",
Sub-Total for WE,,,,,,"52,514","18,237","9,785",707,"81,243",0,1,"1,039",11,"1,051","1,263","1,105",724,150,"3,242",0,0,0,0,0,"2,246",48,"2,294","86,779","87,830",
Sub-Total for AWP,,,,,,"52,514","18,237","9,785",707,"81,243",0,1,"1,039",11,"1,051","1,263","1,105",724,150,"3,242",0,0,0,0,0,"2,246",48,"2,294","86,779","87,830",
10/1989,LGA ,NY,AEA,EN,Combined TRACON & Tower with Radar,"21,627","5,407","2,023",33,"29,090",0,"5,512","5,009",49,"10,570","1,163",290,278,21,"1,752",0,0,0,0,0,0,0,0,"30,842","41,412",
Sub-Total for Unknown,,,,,,"57,732","18,178","5,055",290,"81,255",0,"5,513","6,048",60,"11,621","1,962",812,552,90,"3,416",0,0,0,0,0,430,8,438,"85,109","96,730",
10/1989,MCI ,MO,ACE,CE,Towers with Radar,"8,792","2,709","1,476",35,"13,012",0,0,0,0,0,515,200,146,36,897,0,0,0,0,0,294,58,352,"14,261","14,261",
10/1989,MCO ,FL,ASO,ES,Towers with Radar,"13,710","4,205","2,806",250,"20,971",0,0,0,0,0,769,187,249,53,"1,258",0,0,0,0,0,6,4,10,"22,239","22,239",
Sub-Total for Unknown,,,,,,"22,502","6,914","4,282",285,"33,983",0,0,0,0,0,"1,284",387,395,89,"2,155",0,0,0,0,0,300,62,362,"36,500","36,500",
10/1989,MDW ,IL,AGL,CE,Combined TRACON & Tower with Radar,"10,994","8,409","7,338",150,"26,891",0,113,"1,389",35,"1,537",407,439,686,100,"1,632",0,0,0,0,0,663,37,700,"29,223","30,760",
10/1989,MEM ,TN,ASO,CE,Towers with Radar,"15,586","4,973","6,477",536,"27,572",0,0,0,0,0,462,319,224,79,"1,084",0,0,0,0,0,76,2,78,"28,734","28,734",
Sub-Total for CE,,,,,,"26,580","13,382","13,815",686,"54,463",0,113,"1,389",35,"1,537",869,758,910,179,"2,716",0,0,0,0,0,739,39,778,"57,957","59,494",
10/1989,MIA ,FL,ASO,ES,Towers with Radar,"20,349","5,411","4,943",441,"31,144",0,0,0,0,0,565,126,212,77,980,0,0,0,0,0,0,0,0,"32,124","32,124",
Sub-Total for Unknown,,,,,,"35,935","10,384","11,420",977,"58,716",0,0,0,0,0,"1,027",445,436,156,"2,064",0,0,0,0,0,76,2,78,"60,858","60,858",
Sub-Total for ASO,,,,,,"35,935","10,384","11,420",977,"58,716",0,0,0,0,0,"1,027",445,436,156,"2,064",0,0,0,0,0,76,2,78,"60,858","60,858",
10/1989,MSP ,MN,AGL,CE,Combined TRACON & Tower with Radar,"17,970","5,574","4,664",148,"28,356",0,0,0,0,0,825,372,591,51,"1,839",0,0,0,0,0,389,0,389,"30,584","30,584",
10/1989,MSY ,LA,ASW,CE,Towers with Radar,"7,329","1,325","1,948",51,"10,653",0,0,0,0,0,507,13,86,35,641,0,0,0,0,0,0,0,0,"11,294","11,294",
Sub-Total for CE,,,,,,"25,299","6,899","6,612",199,"39,009",0,0,0,0,0,"1,332",385,677,86,"2,480",0,0,0,0,0,389,0,389,"41,878","41,878",
10/1989,OGG ,HI,AWP,WE,Combined TRACON & Tower with Radar,"3,998","5,259","1,033",273,"10,563",0,0,0,0,0,169,111,179,23,482,0,0,0,0,0,"2,660",534,"3,194","14,239","14,239",
10/1989,ONT ,CA,AWP,WE,Combined TRACON & Tower with Radar,"7,347","1,652","2,289",35,"11,323",0,11,"1,514",4,"1,529",315,224,266,31,836,0,0,0,0,0,360,6,366,"12,525","14,054",
Sub-Total for WE,,,,,,"11,345","6,911","3,322",308,"21,886",0,11,"1,514",4,"1,529",484,335,445,54,"1,318",0,0,0,0,0,"3,020",540,"3,560","26,764","28,293",
Sub-Total for AWP,,,,,,"11,345","6,911","3,322",308,"21,886",0,11,"1,514",4,"1,529",484,335,445,54,"1,318",0,0,0,0,0,"3,020",540,"3,560","26,764","28,293",
10/1989,ORD ,IL,AGL,CE,Combined TRACON & Tower with Radar,"53,298","12,443","1,824",232,"67,797",0,0,0,0,0,344,161,712,61,"1,278",0,0,0,0,0,90,0,90,"69,165","69,165",
Sub-Total for Unknown,,,,,,"64,643","19,354","5,146",540,"89,683",0,11,"1,514",4,"1,529",828,496,"1,157",115,"2,596",0,0,0,0,0,"3,110",540,"3,650","95,929","97,458",
10/1989,PBI ,FL,ASO,ES,Towers with Radar,"4,637","2,083","8,854",113,"15,687",0,0,0,0,0,101,99,334,46,580,0,0,0,0,0,"1,966",0,"1,966","18,233","18,233",
