
From 01/1989 To 01/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,, , ,
Date,Facility,State,Region,"DDSO
Service
Area",Class,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,Civil,Military,Total,"Airport
Operations","Tower
Operations",
11/1989,IAH ,TX,ASW,CE,Towers with Radar,"16,264","3,744","3,037",63,"23,108",0,0,0,0,0,703,136,374,36,"1,249",0,0,0,0,0,0,0,0,"24,357","24,357",
11/1989,IND ,IN,AGL,CE,Towers with Radar,"8,587","3,395","4,112",135,"16,229",0,0,0,0,0,539,293,423,66,"1,321",0,0,0,0,0,210,6,216,"17,766","17,766",
Sub-Total for Unknown,,,,,,"34,176","10,494","11,310",383,"56,363",0,0,0,0,0,"1,557",654,"1,195",153,"3,559",0,0,0,0,0,366,32,398,"60,320","60,320",
Sub-Total for CE,,,,,,"24,851","7,139","7,149",198,"39,337",0,0,0,0,0,"1,242",429,797,102,"2,570",0,0,0,0,0,210,6,216,"42,123","42,123",
11/1989,JFK ,NY,AEA,EN,Combined TRACON & Tower with Radar,"16,893","8,513","1,665",46,"27,117",0,86,"1,155",212,"1,453",470,195,40,12,717,0,0,0,0,0,0,0,0,"27,834","29,287",
11/1989,LAS ,NV,AWP,WE,Towers with Radar,"15,247","4,604","7,361",291,"27,503",0,0,0,0,0,645,494,549,58,"1,746",0,0,0,0,0,"1,513",4,"1,517","30,766","30,766",
11/1989,LAX ,CA,AWP,WE,Combined TRACON & Tower with Radar,"34,346","12,179","3,045",265,"49,835",0,2,"1,064",18,"1,084","1,411",348,750,48,"2,557",0,0,0,0,0,510,73,583,"52,975","54,059",
Sub-Total for WE,,,,,,"49,593","16,783","10,406",556,"77,338",0,2,"1,064",18,"1,084","2,056",842,"1,299",106,"4,303",0,0,0,0,0,"2,023",77,"2,100","83,741","84,825",
Sub-Total for AWP,,,,,,"49,593","16,783","10,406",556,"77,338",0,2,"1,064",18,"1,084","2,056",842,"1,299",106,"4,303",0,0,0,0,0,"2,023",77,"2,100","83,741","84,825",
11/1989,LGA ,NY,AEA,EN,Combined TRACON & Tower with Radar,"21,037","4,937","1,810",14,"27,798",0,"5,005","4,306",48,"9,359","1,021",381,204,20,"1,626",0,0,0,0,0,0,0,0,"29,424","38,783",
Sub-Total for Unknown,,,,,,"55,383","17,116","4,855",279,"77,633",0,"5,007","5,370",66,"10,443","2,432",729,954,68,"4,183",0,0,0,0,0,510,73,583,"82,399","92,842",
11/1989,MCI ,MO,ACE,CE,Towers with Radar,"7,698","2,844","1,216",53,"11,811",0,0,0,0,0,608,218,86,38,950,0,0,0,0,0,218,78,296,"13,057","13,057",
11/1989,MCO ,FL,ASO,ES,Towers with Radar,"13,492","3,992","2,613",277,"20,374",0,0,0,0,0,494,236,215,674,"1,619",0,0,0,0,0,4,0,4,"21,997","21,997",
Sub-Total for Unknown,,,,,,"21,190","6,836","3,829",330,"32,185",0,0,0,0,0,"1,102",454,301,712,"2,569",0,0,0,0,0,222,78,300,"35,054","35,054",
11/1989,MDW ,IL,AGL,CE,Combined TRACON & Tower with Radar,"10,479","8,112","6,317",160,"25,068",0,83,"1,457",30,"1,570",472,468,758,118,"1,816",0,0,0,0,0,409,10,419,"27,303","28,873",
11/1989,MEM ,TN,ASO,CE,Towers with Radar,"14,860","4,793","5,722",438,"25,813",0,0,0,0,0,487,311,331,97,"1,226",0,0,0,0,0,96,10,106,"27,145","27,145",
Sub-Total for CE,,,,,,"25,339","12,905","12,039",598,"50,881",0,83,"1,457",30,"1,570",959,779,"1,089",215,"3,042",0,0,0,0,0,505,20,525,"54,448","56,018",
11/1989,MIA ,FL,ASO,ES,Towers with Radar,"21,819","6,219","5,553",465,"34,056",0,0,0,0,0,685,274,375,58,"1,392",0,0,0,0,0,0,0,0,"35,448","35,448",
Sub-Total for Unknown,,,,,,"36,679","11,012","11,275",903,"59,869",0,0,0,0,0,"1,172",585,706,155,"2,618",0,0,0,0,0,96,10,106,"62,593","62,593",
Sub-Total for ASO,,,,,,"36,679","11,012","11,275",903,"59,869",0,0,0,0,0,"1,172",585,706,155,"2,618",0,0,0,0,0,96,10,106,"62,593","62,593",
11/1989,MSP ,MN,AGL,CE,Combined TRACON & Tower with Radar,"17,129","5,527","4,179",132,"26,967",0,0,0,0,0,"1,025",465,"1,066",54,"2,610",0,0,0,0,0,336,2,338,"29,915","29,915",
11/1989,MSY ,LA,ASW,CE,Towers with Radar,"7,181","1,570","1,743",40,"10,534",0,0,0,0,0,465,132,52,14,663,0,0,0,0,0,0,0,0,"11,197","11,197",
Sub-Total for CE,,,,,,"24,310","7,097","5,922",172,"37,501",0,0,0,0,0,"1,490",597,"1,118",68,"3,273",0,0,0,0,0,336,2,338,"41,112","41,112",
11/1989,OGG ,HI,AWP,WE,Combined TRACON & Tower with Radar,"4,087","4,873","1,219",196,"10,375",0,0,0,0,0,258,197,213,64,732,0,0,0,0,0,"2,600",152,"2,752","13,859","13,859",
11/1989,ONT ,CA,AWP,WE,Combined TRACON & Tower with Radar,"6,760","1,672","2,566",26,"11,024",0,28,"1,594",6,"1,628",304,212,290,29,835,0,0,0,0,0,611,20,631,"12,490","14,118",
Sub-Total for WE,,,,,,"10,847","6,545","3,785",222,"21,399",0,28,"1,594",6,"1,628",562,409,503,93,"1,567",0,0,0,0,0,"3,211",172,"3,383","26,349","27,977",
Sub-Total for AWP,,,,,,"10,847","6,545","3,785",222,"21,399",0,28,"1,594",6,"1,628",562,409,503,93,"1,567",0,0,0,0,0,"3,211",172,"3,383","26,349","27,977",
11/1989,ORD ,IL,AGL,CE,Combined TRACON & Tower with Radar,"50,530","11,285","1,627",221,"63,663",0,0,0,0,0,417,425,701,79,"1,622",0,0,0,0,0,44,0,44,"65,329","65,329",
Sub-Total for Unknown,,,,,,"61,377","17,830","5,412",443,"85,062",0,28,"1,594",6,"1,628",979,834,"1,204",172,"3,189",0,0,0,0,0,"3,255",172,"3,427","91,678","93,306",
11/1989,PBI ,FL,ASO,ES,Towers with Radar,"4,826","2,188","9,794",96,"16,904",0,0,0,0,0,155,81,362,43,641,0,0,0,0,0,"1,834",10,"1,844","19,389","19,389",
11/1989,PDX ,OR,ANM,WE,Combined TRACON & Tower with Radar,"7,521","7,711","3,862",851,"19,945",0,48,"1,510",35,"1,593",416,261,404,152,"1,233",0,0,0,0,0,277,171,448,"21,626","23,219",
11/1989,PHL ,PA,AEA,EN,Towers with Radar,"14,690","10,556","4,170",56,"29,472",0,0,0,0,0,760,504,398,27,"1,689",0,0,0,0,0,0,0,0,"31,161","31,161",
11/1989,PHX ,AZ,AWP,WE,Combined TRACON & Tower with Radar,"22,646","5,530","8,921",600,"37,697",0,0,0,0,0,579,187,487,120,"1,373",0,0,0,0,0,346,6,352,"39,422","39,422",
11/1989,PIT ,PA,AEA,CE,Towers with Radar,"20,242","7,450","1,740",384,"29,816",0,0,0,0,0,838,390,326,129,"1,683",0,0,0,0,0,0,0,0,"31,499","31,499",
11/1989,RDU ,NC,ASO,EN,Towers with Radar,"10,126","4,648","6,791",505,"22,070",0,0,0,0,0,376,209,353,141,"1,079",0,0,0,0,0,424,27,451,"23,600","23,600",
Sub-Total for Unknown,,,,,,"30,368","12,098","8,531",889,"51,886",0,0,0,0,0,"1,214",599,679,270,"2,762",0,0,0,0,0,424,27,451,"55,099","55,099",
11/1989,SAN ,CA,AWP,WE,Combined TRACON & Tower with Radar,"10,516","3,704","1,905",351,"16,476",0,10,437,198,645,307,101,129,30,567,0,0,0,0,0,0,0,0,"17,043","17,688",
11/1989,SAT ,TX,ASW,CE,Towers with Radar,"5,457","1,516","7,361",220,"14,554",0,0,0,0,0,692,207,646,0,"1,545",0,0,0,0,0,574,286,860,"16,959","16,959",
11/1989,SEA ,WA,ANM,WE,Combined TRACON & Tower with Radar,"14,480","11,964",572,5,"27,021",0,58,757,6,821,238,209,89,8,544,0,0,0,0,0,38,0,38,"27,603","28,424",
11/1989,SFO ,CA,AWP,WE,Combined TRACON & Tower with Radar,"24,081","6,494","3,276",204,"34,055",0,0,"1,080",0,"1,080",642,166,423,40,"1,271",0,0,0,0,0,"1,075",0,"1,075","36,401","37,481",
11/1989,SJC ,CA,AWP,WE,Combined TRACON & Tower with Radar,"7,282","3,621","9,324",45,"20,272",0,0,"1,346",0,"1,346",367,182,389,30,968,0,0,0,0,0,"4,352",16,"4,368","25,608","26,954",
Sub-Total for WE,,,,,,"45,843","22,079","13,172",254,"81,348",0,58,"3,183",6,"3,247","1,247",557,901,78,"2,783",0,0,0,0,0,"5,465",16,"5,481","89,612","92,859",
Sub-Total for AWP,,,,,,"31,363","10,115","12,600",249,"54,327",0,0,"2,426",0,"2,426","1,009",348,812,70,"2,239",0,0,0,0,0,"5,427",16,"5,443","62,009","64,435",
Sub-Total for CA,,,,,,"31,363","10,115","12,600",249,"54,327",0,0,"2,426",0,"2,426","1,009",348,812,70,"2,239",0,0,0,0,0,"5,427",16,"5,443","62,009","64,435",
11/1989,SJU ,PR,ASO,ES,Combined TRACON & Tower with Radar,"4,686","7,511","2,027",258,"14,482",0,421,"1,198",175,"1,794",225,253,209,76,763,0,0,0,0,0,613,96,709,"15,954","17,748",
11/1989,SLC ,UT,ANM,WE,Combined TRACON & Tower with Radar,"11,286","4,105","6,254",312,"21,957",0,0,0,0,0,493,298,403,98,"1,292",0,0,0,0,0,448,69,517,"23,766","23,766",
11/1989,STL ,MO,ACE,CE,Combined TRACON & Tower with Radar,"22,155","8,226","3,080",733,"34,194",0,0,0,0,0,571,199,354,122,"1,246",0,0,0,0,0,0,0,0,"35,440","35,440",
Sub-Total for Unknown,,,,,,"83,970","41,921","24,533","1,557","151,981",0,479,"4,381",181,"5,041","2,536","1,307","1,867",374,"6,084",0,0,0,0,0,"6,526",181,"6,707","164,772","169,813",
11/1989,TEB ,NJ,AEA,EN,Towers with Display (VFR),0,"1,425","6,892",9,"8,326",0,0,0,0,0,0,746,"6,487",410,"7,643",0,0,0,0,0,"2,244",6,"2,250","18,219","18,219",
11/1989,TPA ,FL,ASO,ES,Towers with Radar,"9,633","3,301","3,350",85,"16,369",0,0,0,0,0,614,426,230,37,"1,307",0,0,0,0,0,0,0,0,"17,676","17,676",
Sub-Total for 11/1989,,,,,,"768,003","310,250","217,088","20,749","1,316,090",0,"6,208","27,796","1,628","35,632","31,996","16,806","33,822","4,804","87,428",0,0,0,0,0,"29,410","4,436","33,846","1,437,364","1,472,996",
12/1989,ABQ ,NM,ASW,WE,Towers with Radar,"4,583","2,966","5,047","1,707","14,303",0,0,0,0,0,"1,120",185,611,429,"2,345",0,0,0,0,0,118,341,459,"17,107","17,107",
Sub-Total for Unknown,,,,,,"14,216","6,267","8,397","1,792","30,672",0,0,0,0,0,"1,734",611,841,466,"3,652",0,0,0,0,0,118,341,459,"34,783","34,783",
12/1989,ADW ,MD,AEA,EN,Combined TRACON & Tower with Radar,1,0,677,"6,080","6,758",0,0,482,129,611,109,99,352,99,659,0,0,0,0,0,426,"2,092","2,518","9,935","10,546",
12/1989,ANC ,AK,AAL,WE,Towers with Radar,"6,400","3,548","1,785",120,"11,853",0,0,0,0,0,365,179,97,31,672,0,0,0,0,0,750,24,774,"13,299","13,299",
12/1989,ATL ,GA,ASO,ES,Towers with Radar,"44,763","13,227","1,287",90,"59,367",0,0,0,0,0,"2,048",578,203,38,"2,867",0,0,0,0,0,63,0,63,"62,297","62,297",
Sub-Total for Unknown,,,,,,"51,163","16,775","3,072",210,"71,220",0,0,0,0,0,"2,413",757,300,69,"3,539",0,0,0,0,0,813,24,837,"75,596","75,596",
12/1989,BDL ,CT,ANE,EN,Combined TRACON & Tower with Radar,"4,625","4,761","2,410",422,"12,218",0,0,0,0,0,562,553,527,155,"1,797",0,0,0,0,0,606,60,666,"14,681","14,681",
12/1989,BNA ,TN,ASO,CE,Towers with Radar,"8,761","4,328","4,205",270,"17,564",0,0,0,0,0,734,210,478,82,"1,504",0,0,0,0,0,98,0,98,"19,166","19,166",
12/1989,BOS ,MA,ANE,EN,Combined TRACON & Tower with Radar,"19,213","11,078","2,612",4,"32,907",0,0,868,0,868,"1,313",608,783,4,"2,708",0,0,0,0,0,618,0,618,"36,233","37,101",
12/1989,BWI ,MD,AEA,EN,Towers with Radar,"12,118","6,408","3,083",46,"21,655",0,0,0,0,0,942,287,403,33,"1,665",0,0,0,0,0,47,6,53,"23,373","23,373",
Sub-Total for EN,,,,,,"31,331","17,486","5,695",50,"54,562",0,0,868,0,868,"2,255",895,"1,186",37,"4,373",0,0,0,0,0,665,6,671,"59,606","60,474",
12/1989,CLE ,OH,AGL,CE,Towers with Radar,"11,310","5,218","2,560",179,"19,267",0,0,0,0,0,"1,042",174,370,49,"1,635",0,0,0,0,0,110,2,112,"21,014","21,014",
12/1989,CLT ,NC,ASO,ES,Towers with Radar,"18,842","9,406","4,596",203,"33,047",0,0,0,0,0,"1,081",304,618,71,"2,074",0,0,0,0,0,385,0,385,"35,506","35,506",
12/1989,CVG ,KY,ASO,CE,Towers with Radar,"9,658","9,198","1,330",68,"20,254",0,0,0,0,0,872,335,344,47,"1,598",0,0,0,0,0,36,0,36,"21,888","21,888",
Sub-Total for ASO,,,,,,"28,500","18,604","5,926",271,"53,301",0,0,0,0,0,"1,953",639,962,118,"3,672",0,0,0,0,0,421,0,421,"57,394","57,394",
12/1989,DAY ,OH,AGL,CE,Towers with Radar,"7,845","3,907","1,727",0,"13,479",0,0,0,0,0,753,360,253,4,"1,370",0,0,0,0,0,248,1,249,"15,098","15,098",
Sub-Total for CE,,,,,,"17,503","13,105","3,057",68,"33,733",0,0,0,0,0,"1,625",695,597,51,"2,968",0,0,0,0,0,284,1,285,"36,986","36,986",
12/1989,DCA ,DC,AEA,EN,Towers with Radar,"15,194","4,349","3,365",1,"22,909",0,0,0,0,0,"1,002",226,755,6,"1,989",0,0,0,0,0,4,0,4,"24,902","24,902",
Sub-Total for Unknown,,,,,,"74,967","38,486","16,661",497,"130,611",0,0,0,0,0,"5,692","1,686","2,743",210,"10,331",0,0,0,0,0,830,9,839,"141,781","141,781",
12/1989,DEN ,CO,ANM,WE,Combined TRACON & Tower with Radar,"24,654","10,302","2,468",147,"37,571",0,48,167,17,232,833,324,353,46,"1,556",0,0,0,0,0,4,0,4,"39,131","39,363",
12/1989,DFW ,TX,ASW,CE,Combined TRACON & Tower with Radar,"42,859","13,859",879,35,"57,632",0,0,0,0,0,"1,040",811,229,19,"2,099",0,0,0,0,0,20,14,34,"59,765","59,765",
12/1989,DTW ,MI,AGL,CE,Combined TRACON & Tower with Radar,"22,521","3,734","2,733",5,"28,993",0,0,0,0,0,954,365,386,12,"1,717",0,0,0,0,0,516,1,517,"31,227","31,227",
Sub-Total for CE,,,,,,"65,380","17,593","3,612",40,"86,625",0,0,0,0,0,"1,994","1,176",615,31,"3,816",0,0,0,0,0,536,15,551,"90,992","90,992",
12/1989,EWR ,NJ,AEA,EN,Combined TRACON & Tower with Radar,"20,918","7,405","1,513",27,"29,863",0,264,"2,098",47,"2,409","1,090",234,382,21,"1,727",0,0,0,0,0,0,0,0,"31,590","33,999",
Sub-Total for Unknown,,,,,,"110,952","35,300","7,593",214,"154,059",0,312,"2,265",64,"2,641","3,917","1,734","1,350",98,"7,099",0,0,0,0,0,540,15,555,"161,713","164,354",
12/1989,FAI ,AK,AAL,WE,Towers with Radar,859,604,257,27,"1,747",0,0,0,0,0,318,970,"1,384",33,"2,705",0,0,0,0,0,"1,394",163,"1,557","6,009","6,009",
12/1989,FLL ,FL,ASO,ES,Combined TRACON & Tower with Radar,"8,261","4,416","5,481",156,"18,314",0,153,"5,297",95,"5,545",445,252,273,97,"1,067",0,0,0,0,0,320,0,320,"19,701","25,246",
12/1989,HNL ,HI,AWP,WE,Towers with Radar,"15,080","4,001","5,356","1,235","25,672",0,0,0,0,0,885,398,793,334,"2,410",0,0,0,0,0,"1,601",206,"1,807","29,889","29,889",
12/1989,HOU ,TX,ASW,CE,Combined TRACON & Tower with Radar,"8,829","1,419","8,756",63,"19,067",0,0,"1,502",366,"1,868",762,248,"1,415",192,"2,617",0,0,0,0,0,10,0,10,"21,694","23,562",
12/1989,HPN ,NY,AEA,EN,Towers with Display (VFR),300,"2,430","3,598",7,"6,335",0,0,0,0,0,54,380,"3,954",19,"4,407",0,0,0,0,0,"2,234",0,"2,234","12,976","12,976",
12/1989,IAD ,VA,AEA,EN,Towers with Radar,"9,203","2,502","2,953",125,"14,783",0,0,0,0,0,609,260,458,46,"1,373",0,0,0,0,0,22,0,22,"16,178","16,178",
Sub-Total for EN,,,,,,"9,503","4,932","6,551",132,"21,118",0,0,0,0,0,663,640,"4,412",65,"5,780",0,0,0,0,0,"2,256",0,"2,256","29,154","29,154",
Sub-Total for AEA,,,,,,"9,503","4,932","6,551",132,"21,118",0,0,0,0,0,663,640,"4,412",65,"5,780",0,0,0,0,0,"2,256",0,"2,256","29,154","29,154",
12/1989,IAH ,TX,ASW,CE,Towers with Radar,"16,207","3,978","2,772",91,"23,048",0,0,0,0,0,"1,244",196,374,50,"1,864",0,0,0,0,0,0,0,0,"24,912","24,912",
12/1989,IND ,IN,AGL,CE,Towers with Radar,"8,178","3,860","3,217",102,"15,357",0,0,0,0,0,627,211,450,43,"1,331",0,0,0,0,0,139,14,153,"16,841","16,841",
Sub-Total for Unknown,,,,,,"33,588","10,340","8,942",318,"53,188",0,0,0,0,0,"2,480",667,"1,282",139,"4,568",0,0,0,0,0,161,14,175,"57,931","57,931",
Sub-Total for CE,,,,,,"24,385","7,838","5,989",193,"38,405",0,0,0,0,0,"1,871",407,824,93,"3,195",0,0,0,0,0,139,14,153,"41,753","41,753",
12/1989,JFK ,NY,AEA,EN,Combined TRACON & Tower with Radar,"17,836","8,166","1,255",33,"27,290",0,49,"1,136",195,"1,380",720,335,98,0,"1,153",0,0,0,0,0,0,0,0,"28,443","29,823",
12/1989,LAS ,NV,AWP,WE,Towers with Radar,"14,767","3,609","7,130",286,"25,792",0,0,0,0,0,539,455,650,50,"1,694",0,0,0,0,0,"1,784",90,"1,874","29,360","29,360",
12/1989,LAX ,CA,AWP,WE,Combined TRACON & Tower with Radar,"35,450","12,188","2,729",260,"50,627",0,1,"1,042",16,"1,059",945,351,462,47,"1,805",0,0,0,0,0,483,28,511,"52,943","54,002",
Sub-Total for WE,,,,,,"50,217","15,797","9,859",546,"76,419",0,1,"1,042",16,"1,059","1,484",806,"1,112",97,"3,499",0,0,0,0,0,"2,267",118,"2,385","82,303","83,362",
Sub-Total for AWP,,,,,,"50,217","15,797","9,859",546,"76,419",0,1,"1,042",16,"1,059","1,484",806,"1,112",97,"3,499",0,0,0,0,0,"2,267",118,"2,385","82,303","83,362",
12/1989,LGA ,NY,AEA,EN,Combined TRACON & Tower with Radar,"21,741","5,226","1,603",13,"28,583",0,"3,283","3,505",39,"6,827","1,294",17,122,10,"1,443",0,0,0,0,0,9,13,22,"30,048","36,875",
Sub-Total for Unknown,,,,,,"57,191","17,414","4,332",273,"79,210",0,"3,284","4,547",55,"7,886","2,239",368,584,57,"3,248",0,0,0,0,0,492,41,533,"82,991","90,877",
12/1989,MCI ,MO,ACE,CE,Towers with Radar,"8,106","2,332","1,157",56,"11,651",0,0,0,0,0,735,175,161,44,"1,115",0,0,0,0,0,152,93,245,"13,011","13,011",
12/1989,MCO ,FL,ASO,ES,Towers with Radar,"13,761","4,377","2,382",239,"20,759",0,0,0,0,0,930,223,307,55,"1,515",0,0,0,0,0,18,6,24,"22,298","22,298",
Sub-Total for Unknown,,,,,,"21,867","6,709","3,539",295,"32,410",0,0,0,0,0,"1,665",398,468,99,"2,630",0,0,0,0,0,170,99,269,"35,309","35,309",
12/1989,MDW ,IL,AGL,CE,Combined TRACON & Tower with Radar,"10,055","7,968","4,705",108,"22,836",0,78,676,14,768,610,330,733,64,"1,737",0,0,0,0,0,420,11,431,"25,004","25,772",
12/1989,MEM ,TN,ASO,CE,Towers with Radar,"15,259","5,104","4,530",394,"25,287",0,0,0,0,0,750,276,362,76,"1,464",0,0,0,0,0,80,0,80,"26,831","26,831",
Sub-Total for CE,,,,,,"25,314","13,072","9,235",502,"48,123",0,78,676,14,768,"1,360",606,"1,095",140,"3,201",0,0,0,0,0,500,11,511,"51,835","52,603",
12/1989,MIA ,FL,ASO,ES,Towers with Radar,"24,670","6,910","6,468",443,"38,491",0,0,0,0,0,865,240,421,63,"1,589",0,0,0,0,0,0,0,0,"40,080","40,080",
Sub-Total for Unknown,,,,,,"39,929","12,014","10,998",837,"63,778",0,0,0,0,0,"1,615",516,783,139,"3,053",0,0,0,0,0,80,0,80,"66,911","66,911",
Sub-Total for ASO,,,,,,"39,929","12,014","10,998",837,"63,778",0,0,0,0,0,"1,615",516,783,139,"3,053",0,0,0,0,0,80,0,80,"66,911","66,911",
12/1989,MSP ,MN,AGL,CE,Combined TRACON & Tower with Radar,"17,835","5,321","3,594",125,"26,875",0,0,0,0,0,908,347,734,61,"2,050",0,0,0,0,0,240,0,240,"29,165","29,165",
12/1989,MSY ,LA,ASW,CE,Towers with Radar,"7,019","1,674","1,615",42,"10,350",0,0,0,0,0,"1,332","1,093",169,114,"2,708",0,0,0,0,0,112,100,212,"13,270","13,270",
Sub-Total for CE,,,,,,"24,854","6,995","5,209",167,"37,225",0,0,0,0,0,"2,240","1,440",903,175,"4,758",0,0,0,0,0,352,100,452,"42,435","42,435",
12/1989,OGG ,HI,AWP,WE,Combined TRACON & Tower with Radar,"4,360","4,178","1,315",211,"10,064",0,0,0,0,0,364,214,178,181,937,0,0,0,0,0,"1,763",382,"2,145","13,146","13,146",
12/1989,ONT ,CA,AWP,WE,Combined TRACON & Tower with Radar,"7,108","1,753","2,408",15,"11,284",0,23,"1,607",7,"1,637",354,423,319,26,"1,122",0,0,0,0,0,427,2,429,"12,835","14,472",
Sub-Total for WE,,,,,,"11,468","5,931","3,723",226,"21,348",0,23,"1,607",7,"1,637",718,637,497,207,"2,059",0,0,0,0,0,"2,190",384,"2,574","25,981","27,618",
Sub-Total for AWP,,,,,,"11,468","5,931","3,723",226,"21,348",0,23,"1,607",7,"1,637",718,637,497,207,"2,059",0,0,0,0,0,"2,190",384,"2,574","25,981","27,618",
12/1989,ORD ,IL,AGL,CE,Combined TRACON & Tower with Radar,"51,589","11,467","1,182",159,"64,397",0,0,0,0,0,476,251,648,88,"1,463",0,0,0,0,0,105,0,105,"65,965","65,965",
Sub-Total for Unknown,,,,,,"63,057","17,398","4,905",385,"85,745",0,23,"1,607",7,"1,637","1,194",888,"1,145",295,"3,522",0,0,0,0,0,"2,295",384,"2,679","91,946","93,583",
12/1989,PBI ,FL,ASO,ES,Towers with Radar,"5,056","2,086","9,582",109,"16,833",0,0,0,0,0,223,107,487,78,895,0,0,0,0,0,"1,764",0,"1,764","19,492","19,492",
12/1989,PDX ,OR,ANM,WE,Combined TRACON & Tower with Radar,"8,298","7,710","3,388",676,"20,072",0,51,879,23,953,427,255,344,155,"1,181",0,0,0,0,0,382,166,548,"21,801","22,754",
12/1989,PHL ,PA,AEA,EN,Towers with Radar,"16,284","9,626","3,362",42,"29,314",0,0,0,0,0,"1,269",358,694,41,"2,362",0,0,0,0,0,0,0,0,"31,676","31,676",
12/1989,PHX ,AZ,AWP,WE,Combined TRACON & Tower with Radar,"23,689","5,845","8,445",545,"38,524",0,0,0,0,0,591,243,449,121,"1,404",0,0,0,0,0,560,4,564,"40,492","40,492",
12/1989,PIT ,PA,AEA,CE,Towers with Radar,"19,581","7,322","1,526",369,"28,798",0,0,0,0,0,"1,290",397,453,134,"2,274",0,0,0,0,0,0,0,0,"31,072","31,072",
12/1989,RDU ,NC,ASO,EN,Towers with Radar,"9,359","4,501","4,767",339,"18,966",0,0,0,0,0,677,216,541,141,"1,575",0,0,0,0,0,336,52,388,"20,929","20,929",
Sub-Total for Unknown,,,,,,"28,940","11,823","6,293",708,"47,764",0,0,0,0,0,"1,967",613,994,275,"3,849",0,0,0,0,0,336,52,388,"52,001","52,001",
12/1989,SAN ,CA,AWP,WE,Combined TRACON & Tower with Radar,"10,483","3,819","1,636",290,"16,228",0,8,466,259,733,280,109,117,43,549,0,0,0,0,0,0,0,0,"16,777","17,510",
12/1989,SAT ,TX,ASW,CE,Towers with Radar,"5,467","1,318","6,319",248,"13,352",0,0,0,0,0,990,226,794,0,"2,010",0,0,0,0,0,488,263,751,"16,113","16,113",
12/1989,SEA ,WA,ANM,WE,Combined TRACON & Tower with Radar,"14,247","10,919",539,5,"25,710",4,57,753,2,816,493,373,114,34,"1,014",0,0,0,0,0,47,6,53,"26,777","27,593",
12/1989,SFO ,CA,AWP,WE,Combined TRACON & Tower with Radar,"24,848","5,934","2,136",138,"33,056",0,747,0,0,747,474,186,266,45,971,0,0,0,0,0,746,0,746,"34,773","35,520",
12/1989,SJC ,CA,AWP,WE,Combined TRACON & Tower with Radar,"7,366","3,252","7,063",13,"17,694",0,0,"1,150",0,"1,150",366,117,345,17,845,0,0,0,0,0,"3,642",0,"3,642","22,181","23,331",
Sub-Total for WE,,,,,,"46,461","20,105","9,738",156,"76,460",4,804,"1,903",2,"2,713","1,333",676,725,96,"2,830",0,0,0,0,0,"4,435",6,"4,441","83,731","86,444",
Sub-Total for AWP,,,,,,"32,214","9,186","9,199",151,"50,750",0,747,"1,150",0,"1,897",840,303,611,62,"1,816",0,0,0,0,0,"4,388",0,"4,388","56,954","58,851",
Sub-Total for CA,,,,,,"32,214","9,186","9,199",151,"50,750",0,747,"1,150",0,"1,897",840,303,611,62,"1,816",0,0,0,0,0,"4,388",0,"4,388","56,954","58,851",
12/1989,SJU ,PR,ASO,ES,Combined TRACON & Tower with Radar,"5,282","8,687","2,344",238,"16,551",0,383,"1,211",155,"1,749",248,201,239,120,808,0,0,0,0,0,653,82,735,"18,094","19,843",
12/1989,SLC ,UT,ANM,WE,Combined TRACON & Tower with Radar,"11,903","4,575","5,331",245,"22,054",0,0,0,0,0,632,295,499,70,"1,496",0,0,0,0,0,221,22,243,"23,793","23,793",
12/1989,STL ,MO,ACE,CE,Combined TRACON & Tower with Radar,"22,309","7,833","2,127",529,"32,798",0,0,0,0,0,739,247,415,146,"1,547",0,0,0,0,0,0,0,0,"34,345","34,345",
Sub-Total for Unknown,,,,,,"85,955","41,200","19,540","1,168","147,863",4,"1,187","3,114",157,"4,462","2,952","1,419","1,878",432,"6,681",0,0,0,0,0,"5,309",110,"5,419","159,963","164,425",
12/1989,TEB ,NJ,AEA,EN,Towers with Display (VFR),0,"1,252","5,973",2,"7,227",0,0,0,0,0,9,862,"5,469",18,"6,358",0,0,0,0,0,"2,318",0,"2,318","15,903","15,903",
12/1989,TPA ,FL,ASO,ES,Towers with Radar,"10,384","2,806","2,691",81,"15,962",0,0,0,0,0,"1,123",377,283,37,"1,820",0,0,0,0,0,3,0,3,"17,785","17,785",
Sub-Total for 12/1989,,,,,,"785,294","304,662","183,969","17,463","1,291,388",4,"5,145","22,839","1,364","29,352","41,457","18,046","33,118","4,039","96,660",0,0,0,0,0,"26,522","4,244","30,766","1,418,814","1,448,166",
01/1990,ABE ,PA,AEA,EN,Towers with Radar,997,"1,503","3,885",207,"6,592",33,"2,792","3,549",214,"6,588",139,197,136,144,616,0,0,0,0,0,"2,787",656,"3,443","10,651","17,239",
