,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/1994 To 01/1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,, , 
Date,Facility,Region,State,"DDSO
Service
Area",Class,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,Civil,Military,Total,"Airport
Operations","Tower
Operations"
01/1994,ATW ,AGL,WI,CE,Towers with Display (VFR),562,789,563,0,"1,914",0,0,0,0,0,62,80,798,4,944,0,0,0,0,0,762,2,764,"3,622","3,622"
01/1994,AUS ,ASW,TX,CE,Towers with Radar,"5,433","1,509","5,786",238,"12,966",0,0,0,0,0,374,239,380,84,"1,077",0,0,0,0,0,154,8,162,"14,205","14,205"
01/1994,AVL ,ASO,NC,ES,Towers with Radar,437,"1,114","1,671",52,"3,274",0,0,0,0,0,45,125,202,29,401,0,0,0,0,0,885,58,943,"4,618","4,618"
01/1994,AVP ,AEA,PA,EN,Towers with Radar,324,"1,244",861,18,"2,447",0,0,0,0,0,44,90,105,30,269,0,0,0,0,0,243,10,253,"2,969","2,969"
01/1994,AZO ,AGL,MI,CE,Towers with Radar,501,"1,303","1,648",4,"3,456",0,0,0,0,0,86,173,291,10,560,0,0,0,0,0,"1,391",2,"1,393","5,409","5,409"
01/1994,BAF ,ANE,MA,EN,Towers with Display (VFR),0,0,449,35,484,0,0,0,0,0,0,3,840,60,903,0,0,0,0,0,576,22,598,"1,985","1,985"
01/1994,BDL ,ANE,CT,EN,Combined TRACON & Tower with Radar,"4,121","3,151","2,029",409,"9,710",0,0,0,0,0,297,216,343,98,954,0,0,0,0,0,96,14,110,"10,774","10,774"
01/1994,BDR ,ANE,CT,EN,Towers with Display (VFR),0,16,11,0,27,0,0,0,0,0,2,464,"2,263",35,"2,764",0,0,0,0,0,"2,884",22,"2,906","5,697","5,697"
01/1994,BED ,ANE,MA,EN,Towers with Display (VFR),0,183,"1,477",86,"1,746",0,0,0,0,0,0,241,"3,239",66,"3,546",0,0,0,0,0,"4,530",0,"4,530","9,822","9,822"
01/1994,BET ,AAL,AK,WE,Tower without Radar,152,514,233,3,902,0,0,0,0,0,136,"4,854","1,619",47,"6,656",0,0,0,0,0,364,6,370,"7,928","7,928"
01/1994,BFI ,ANM,WA,WE,Towers with Display (VFR),417,"1,395","2,695",72,"4,579",0,0,0,0,0,116,"1,648","13,439",81,"15,284",0,0,0,0,0,"10,868",35,"10,903","30,766","30,766"
01/1994,BFL ,AWP,CA,WE,Towers with Radar,60,"1,761","2,902",50,"4,773",0,0,0,0,0,13,197,"1,688",14,"1,912",0,0,0,0,0,"4,286",44,"4,330","11,015","11,015"
01/1994,BFM ,ASO,AL,CE,Federal Contract Tower,28,134,464,72,698,0,0,0,0,0,53,133,704,597,"1,487",0,0,0,0,0,226,"2,648","2,874","5,059","5,059"
01/1994,BGM ,AEA,NY,EN,Towers with Radar,181,"1,686",494,12,"2,373",0,0,0,0,0,28,101,119,28,276,0,0,0,0,0,198,14,212,"2,861","2,861"
01/1994,BGR ,ANE,ME,EN,Towers with Radar,393,"1,471",903,317,"3,084",0,0,0,0,0,83,127,122,113,445,0,0,0,0,0,618,762,"1,380","4,909","4,909"
01/1994,BHM ,ASO,AL,ES,Towers with Radar,"2,780","1,881","5,595",733,"10,989",0,0,0,0,0,245,205,261,247,958,0,0,0,0,0,205,130,335,"12,282","12,282"
01/1994,BIL ,ANM,MT,WE,Towers with Radar,895,"2,496","1,909",9,"5,309",0,0,0,0,0,80,175,177,27,459,0,0,0,0,0,"1,492",10,"1,502","7,270","7,270"
01/1994,BIS ,AGL,ND,CE,Towers with Radar,231,"1,357",717,46,"2,351",0,0,0,0,0,45,89,573,70,777,0,0,0,0,0,346,130,476,"3,604","3,604"
01/1994,BJC ,ANM,CO,WE,Towers with Display (VFR),0,22,814,4,840,0,0,0,0,0,0,63,"4,846",14,"4,923",0,0,0,0,0,"4,282",21,"4,303","10,066","10,066"
01/1994,BKL ,AGL,OH,CE,Towers with Display (VFR),0,710,830,3,"1,543",0,0,0,0,0,0,103,542,23,668,0,0,0,0,0,445,18,463,"2,674","2,674"
01/1994,BLI ,ANM,WA,WE,Federal Contract Tower,50,915,419,19,"1,403",0,0,0,0,0,31,506,"1,889",56,"2,482",0,0,0,0,0,"1,660",76,"1,736","5,621","5,621"
01/1994,BMG ,AGL,IN,CE,Towers with Display (VFR),2,0,391,1,394,0,0,0,0,0,9,9,346,13,377,0,0,0,0,0,385,0,385,"1,156","1,156"
01/1994,BMI ,AGL,IL,CE,Towers with Display (VFR),0,"1,230",541,4,"1,775",0,0,0,0,0,2,77,822,22,923,0,0,0,0,0,"1,146",20,"1,166","3,864","3,864"
01/1994,BNA ,ASO,TN,CE,Towers with Radar,"8,669","8,824","3,495",264,"21,252",0,0,0,0,0,393,227,336,53,"1,009",0,0,0,0,0,0,0,0,"22,261","22,261"
01/1994,BOI ,ANM,ID,WE,Towers with Radar,"1,587","2,603","2,178",450,"6,818",0,0,0,0,0,268,586,444,224,"1,522",0,0,0,0,0,"1,424",162,"1,586","9,926","9,926"
01/1994,BOS ,ANE,MA,EN,Combined TRACON & Tower with Radar,"18,100","13,430","1,391",19,"32,940",0,0,583,18,601,877,527,317,17,"1,738",0,0,0,0,0,0,0,0,"34,678","35,279"
01/1994,BPT ,ASW,TX,CE,Combined TRACON & Tower with Radar,0,"1,308","1,234",3,"2,545",0,0,0,0,0,0,129,31,9,169,0,0,0,0,0,"1,450",2,"1,452","4,166","4,166"
01/1994,BRO ,ASW,TX,CE,Towers with Display (VFR),171,178,"1,191",45,"1,585",0,0,0,0,0,34,24,"1,809",5,"1,872",0,0,0,0,0,"4,264",202,"4,466","7,923","7,923"
01/1994,BTL ,AGL,MI,CE,Towers with Display (VFR),0,5,555,68,628,0,0,0,0,0,4,13,606,109,732,0,0,0,0,0,670,74,744,"2,104","2,104"
01/1994,BTR ,ASW,LA,CE,Towers with Radar,912,"1,383","3,701",39,"6,035",0,0,0,0,0,82,115,308,50,555,0,0,0,0,0,"4,547",118,"4,665","11,255","11,255"
01/1994,BTV ,ANE,VT,EN,Towers with Radar,529,"2,890","1,194",280,"4,893",0,0,0,0,0,61,155,132,130,478,0,0,0,0,0,"1,050",394,"1,444","6,815","6,815"
01/1994,BUF ,AEA,NY,CE,Towers with Radar,"4,048","2,393","1,626",97,"8,164",0,0,0,0,0,369,227,219,72,887,0,0,0,0,0,536,72,608,"9,659","9,659"
01/1994,BUR ,AWP,CA,WE,Combined TRACON & Tower with Radar,"4,377","2,785","7,761",60,"14,983",0,155,"6,332",234,"6,721",375,517,529,78,"1,499",0,0,0,0,0,116,2,118,"16,600","23,321"
01/1994,BVY ,ANE,MA,EN,Towers with Display (VFR),0,0,194,0,194,0,0,0,0,0,0,0,"1,577",0,"1,577",0,0,0,0,0,"2,442",0,"2,442","4,213","4,213"
01/1994,BWI ,AEA,MD,EN,Combined TRACON & Tower with Radar,"11,644","5,213","1,814",112,"18,783",0,0,0,0,0,399,250,283,65,997,0,0,0,0,0,352,88,440,"20,220","20,220"
01/1994,CAE ,ASO,SC,ES,Towers with Radar,"1,275","1,610","2,524",263,"5,672",0,0,0,0,0,126,250,221,97,694,0,0,0,0,0,"1,025",240,"1,265","7,631","7,631"
01/1994,CAK ,AGL,OH,CE,Towers with Radar,410,"1,680","2,012",136,"4,238",0,0,0,0,0,64,172,189,83,508,0,0,0,0,0,734,400,"1,134","5,880","5,880"
01/1994,CCR ,AWP,CA,WE,Towers with Display (VFR),0,7,"1,860",2,"1,869",0,0,0,0,0,0,39,"4,765",24,"4,828",0,0,0,0,0,"7,449",0,"7,449","14,146","14,146"
01/1994,CDW ,AEA,NJ,EN,Towers with Display (VFR),0,0,105,0,105,0,0,0,0,0,0,0,"4,679",7,"4,686",0,0,0,0,0,"4,420",0,"4,420","9,211","9,211"
01/1994,CGF ,AGL,OH,CE,Federal Contract Tower,0,1,888,0,889,0,0,0,0,0,0,91,932,6,"1,029",0,0,0,0,0,328,0,328,"2,246","2,246"
01/1994,CGI ,ACE,MO,CE,Federal Contract Tower,0,51,336,0,387,0,0,0,0,0,0,16,352,14,382,0,0,0,0,0,250,20,270,"1,039","1,039"
01/1994,CGX ,AGL,IL,CE,Towers with Display (VFR),0,265,590,0,855,0,0,0,0,0,0,168,668,24,860,0,0,0,0,0,136,38,174,"1,889","1,889"
01/1994,CHA ,ASO,TN,ES,Towers with Radar,595,"1,216","3,014",156,"4,981",0,0,0,0,0,64,134,180,59,437,0,0,0,0,0,"1,228",187,"1,415","6,833","6,833"
01/1994,CHO ,AEA,VA,EN,Towers with Display (VFR),0,"1,323",330,26,"1,679",0,0,0,0,0,1,101,751,45,898,0,0,0,0,0,441,92,533,"3,110","3,110"
01/1994,CHS ,ASO,SC,ES,Towers with Radar,"2,181",203,"2,081","1,338","5,803",0,0,0,0,0,203,40,155,109,507,0,0,0,0,0,334,"2,092","2,426","8,736","8,736"
01/1994,CIC ,AWP,CA,WE,Towers with Display (VFR),0,265,313,8,586,0,0,0,0,0,0,428,"1,736",32,"2,196",0,0,0,0,0,"2,126",66,"2,192","4,974","4,974"
