
From 01/1989 To 01/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,, ,
Date,Facility,State,Region,"DDSO
Service
Area",Class,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Total
Operations",
10/1989,K90 ,MA,ANE,EN,"TRACON, RAPCON, or CERAP",0,"4,342","3,143","1,338","8,823",0,0,0,120,120,0,0,0,0,0,0,0,0,0,0,"8,943",
10/1989,KWA ,WK,AWP,WE,Towers with Radar,71,15,0,340,426,3,1,5,0,9,0,0,0,0,0,0,0,0,0,0,435,
10/1989,L56 ,CA,AWP,WE,"TRACON, RAPCON, or CERAP","36,917","13,091","5,375",237,"55,620",859,"1,106","4,250",483,"6,698",0,0,0,0,0,0,0,0,0,0,"62,318",
Sub-Total for WE,,,,,,"36,988","13,106","5,375",577,"56,046",862,"1,107","4,255",483,"6,707",0,0,0,0,0,0,0,0,0,0,"62,753",
Sub-Total for AWP,,,,,,"36,988","13,106","5,375",577,"56,046",862,"1,107","4,255",483,"6,707",0,0,0,0,0,0,0,0,0,0,"62,753",
10/1989,LAF ,IN,AGL,CE,Tower without Radar,26,696,"1,102",16,"1,840",0,13,158,17,188,0,0,0,0,0,0,0,0,0,0,"2,028",
10/1989,LAN ,MI,AGL,CE,Towers with Radar,597,"2,131","6,585",234,"9,547",146,925,"4,982",160,"6,213",0,0,0,0,0,0,0,0,0,0,"15,760",
Sub-Total for CE,,,,,,623,"2,827","7,687",250,"11,387",146,938,"5,140",177,"6,401",0,0,0,0,0,0,0,0,0,0,"17,788",
Sub-Total for AGL,,,,,,623,"2,827","7,687",250,"11,387",146,938,"5,140",177,"6,401",0,0,0,0,0,0,0,0,0,0,"17,788",
10/1989,LAS ,NV,AWP,WE,Towers with Radar,"16,875","6,047","7,251",533,"30,706",94,"1,123","2,330",850,"4,397",0,0,0,0,0,0,0,0,0,0,"35,103",
10/1989,LBB ,TX,ASW,CE,Towers with Radar,"1,873",583,"4,831","16,308","23,595",1,67,913,72,"1,053",0,0,0,0,0,0,0,0,0,0,"24,648",
10/1989,LCH ,LA,ASW,CE,Towers with Radar,2,"1,649","2,023",102,"3,776",35,560,"1,955",174,"2,724",0,0,0,0,0,0,0,0,0,0,"6,500",
Sub-Total for ASW,,,,,,"1,875","2,232","6,854","16,410","27,371",36,627,"2,868",246,"3,777",0,0,0,0,0,0,0,0,0,0,"31,148",
10/1989,LEX ,KY,ASO,CE,Towers with Radar,"1,791","1,455","5,618",147,"9,011",8,274,"2,265",214,"2,761",0,0,0,0,0,0,0,0,0,0,"11,772",
10/1989,LFT ,LA,ASW,CE,Towers with Radar,243,"3,979","4,378",340,"8,940",77,237,"2,051",167,"2,532",0,0,0,0,0,0,0,0,0,0,"11,472",
10/1989,LIT ,AR,ASW,CE,Towers with Radar,"2,945",599,"9,432","2,749","15,725",0,62,"3,217",360,"3,639",0,0,0,0,0,0,0,0,0,0,"19,364",
Sub-Total for Unknown,,,,,,"24,326","16,443","40,118","20,413","101,300",361,"3,248","17,713","1,997","23,319",0,0,0,0,0,0,0,0,0,0,"124,619",
Sub-Total for ASW,,,,,,"3,188","4,578","13,810","3,089","24,665",77,299,"5,268",527,"6,171",0,0,0,0,0,0,0,0,0,0,"30,836",
10/1989,LNK ,NE,ACE,CE,Combined TRACON & Tower with Radar,926,782,"3,906","1,144","6,758",182,382,"1,254",203,"2,021",0,0,0,0,0,0,0,0,0,0,"8,779",
10/1989,M98 ,MN,AGL,CE,"TRACON, RAPCON, or CERAP","18,548","6,811","14,154",306,"39,819",2,114,"5,288",36,"5,440",0,0,0,0,0,0,0,0,0,0,"45,259",
10/1989,MAF ,TX,ASW,CE,Towers with Radar,"1,461",295,"4,733","1,163","7,652",0,3,564,55,622,0,0,0,0,0,0,0,0,0,0,"8,274",
10/1989,MBS ,MI,AGL,CE,Towers with Radar,662,618,"2,870",68,"4,218",5,345,"3,854",298,"4,502",0,0,0,0,0,0,0,0,0,0,"8,720",
Sub-Total for Unknown,,,,,,"2,123",913,"7,603","1,231","11,870",5,348,"4,418",353,"5,124",0,0,0,0,0,0,0,0,0,0,"16,994",
Sub-Total for CE,,,,,,"28,451","16,771","51,945","22,327","119,494",310,"2,044","21,361","1,579","25,294",0,0,0,0,0,0,0,0,0,0,"144,788",
10/1989,MCC ,CA,AWP,WE,"TRACON, RAPCON, or CERAP","4,439","4,232","11,006","8,936","28,613",62,956,"10,290","1,923","13,231",0,0,0,0,0,0,0,0,0,0,"41,844",
10/1989,MCI ,MO,ACE,CE,Towers with Radar,"9,309","3,318","8,516",756,"21,899",16,92,"2,629",196,"2,933",0,0,0,0,0,0,0,0,0,0,"24,832",
10/1989,MCN ,GA,ASO,ES,Towers with Radar,217,771,"5,214","3,284","9,486",6,"1,193","4,842",359,"6,400",0,0,0,0,0,0,0,0,0,0,"15,886",
10/1989,MCO ,FL,ASO,ES,Towers with Radar,"14,528","5,364","9,315",509,"29,716",856,"1,200","11,096","1,038","14,190",0,0,0,0,0,0,0,0,0,0,"43,906",
Sub-Total for ES,,,,,,"14,745","6,135","14,529","3,793","39,202",862,"2,393","15,938","1,397","20,590",0,0,0,0,0,0,0,0,0,0,"59,792",
10/1989,MEM ,TN,ASO,CE,Towers with Radar,"16,048","5,302","7,814","1,745","30,909",29,153,"3,565",160,"3,907",0,0,0,0,0,0,0,0,0,0,"34,816",
Sub-Total for ASO,,,,,,"30,793","11,437","22,343","5,538","70,111",891,"2,546","19,503","1,557","24,497",0,0,0,0,0,0,0,0,0,0,"94,608",
10/1989,MFD ,OH,AGL,CE,Towers with Radar,0,214,"1,437",388,"2,039",4,364,"2,522",26,"2,916",0,0,0,0,0,0,0,0,0,0,"4,955",
Sub-Total for Unknown,,,,,,"40,102","14,969","32,296","6,682","94,049",911,"3,002","24,654","1,779","30,346",0,0,0,0,0,0,0,0,0,0,"124,395",
10/1989,MFE ,TX,ASW,CE,Tower without Radar,364,352,653,105,"1,474",0,2,30,22,54,0,0,0,0,0,0,0,0,0,0,"1,528",
Sub-Total for CE,,,,,,"16,412","5,868","9,904","2,238","34,422",33,519,"6,117",208,"6,877",0,0,0,0,0,0,0,0,0,0,"41,299",
10/1989,MFR ,OR,ANM,WE,Tower without Radar,360,"1,200",785,11,"2,356",0,0,24,1,25,0,0,0,0,0,0,0,0,0,0,"2,381",
Sub-Total for Unknown,,,,,,724,"1,552","1,438",116,"3,830",0,2,54,23,79,0,0,0,0,0,0,0,0,0,0,"3,909",
10/1989,MGM ,AL,ASO,ES,Towers with Radar,386,"1,034","3,024","2,516","6,960",2,235,"2,944",460,"3,641",0,0,0,0,0,0,0,0,0,0,"10,601",
10/1989,MHT ,NH,ANE,EN,Towers with Radar,837,"2,228","3,276",93,"6,434",23,"1,846","1,151",238,"3,258",0,0,0,0,0,0,0,0,0,0,"9,692",
10/1989,MIA ,FL,ASO,ES,Towers with Radar,"28,248","9,428","15,455","2,355","55,486",78,415,"4,207",254,"4,954",0,0,0,0,0,0,0,0,0,0,"60,440",
10/1989,MKE ,WI,AGL,CE,Towers with Radar,"6,462","4,669","7,711",452,"19,294",978,"1,321","4,060",137,"6,496",0,0,0,0,0,0,0,0,0,0,"25,790",
10/1989,MKG ,MI,AGL,CE,Towers with Radar,0,904,"5,213",313,"6,430",105,353,"1,258",23,"1,739",0,0,0,0,0,0,0,0,0,0,"8,169",
10/1989,MLI ,IL,AGL,CE,Towers with Radar,763,"2,274","4,350",178,"7,565",52,279,"2,438",71,"2,840",0,0,0,0,0,0,0,0,0,0,"10,405",
Sub-Total for AGL,,,,,,"7,225","7,847","17,274",943,"33,289","1,135","1,953","7,756",231,"11,075",0,0,0,0,0,0,0,0,0,0,"44,364",
10/1989,MLU ,LA,ASW,CE,Towers with Radar,450,787,"4,489",162,"5,888",0,25,821,95,941,0,0,0,0,0,0,0,0,0,0,"6,829",
10/1989,MOB ,AL,ASO,CE,Towers with Radar,"1,532",551,"4,150","2,101","8,334",50,176,"1,889","1,598","3,713",0,0,0,0,0,0,0,0,0,0,"12,047",
Sub-Total for CE,,,,,,"9,207","9,185","25,913","3,206","47,511","1,185","2,154","10,466","1,924","15,729",0,0,0,0,0,0,0,0,0,0,"63,240",
10/1989,MRY ,CA,AWP,WE,Towers with Radar,664,"1,921","7,303",498,"10,386",1,60,"1,123",129,"1,313",0,0,0,0,0,0,0,0,0,0,"11,699",
10/1989,MSN ,WI,AGL,CE,Towers with Radar,"1,304","1,607","6,903",709,"10,523",1,442,"2,524",64,"3,031",0,0,0,0,0,0,0,0,0,0,"13,554",
Sub-Total for Unknown,,,,,,"40,646","25,403","61,874","9,377","137,300","1,290","5,152","22,415","3,069","31,926",0,0,0,0,0,0,0,0,0,0,"169,226",
10/1989,MSO ,MT,ANM,WE,Tower without Radar,400,911,299,8,"1,618",0,0,5,1,6,0,0,0,0,0,0,0,0,0,0,"1,624",
10/1989,MSY ,LA,ASW,CE,Towers with Radar,"7,806","2,274","6,724","2,227","19,031",0,349,"3,340",275,"3,964",0,0,0,0,0,0,0,0,0,0,"22,995",
10/1989,MWH ,WA,ANM,WE,Tower without Radar,826,379,270,437,"1,912",0,44,48,20,112,0,0,0,0,0,0,0,0,0,0,"2,024",
10/1989,N90 ,NY,AEA,EN,Combined TRACON,"65,702","31,187","42,397",889,"140,175",0,"3,393","10,503",140,"14,036",0,0,0,0,0,0,0,0,0,0,"154,211",
10/1989,NKX ,CA,AWP,WE,"TRACON, RAPCON, or CERAP","11,247","6,181","9,969","10,788","38,185",16,241,"2,839",565,"3,661",0,0,0,0,0,0,0,0,0,0,"41,846",
10/1989,NMM ,MS,ASO,CE,"TRACON, RAPCON, or CERAP",0,665,574,"6,973","8,212",9,189,"1,026",146,"1,370",0,0,0,0,0,0,0,0,0,0,"9,582",
10/1989,NZJ ,CA,AWP,WE,"TRACON, RAPCON, or CERAP","7,249","2,550","11,368","2,995","24,162","10,872","5,223","9,700","1,176","26,971",0,0,0,0,0,0,0,0,0,0,"51,133",
10/1989,O40 ,CA,AWP,WE,"TRACON, RAPCON, or CERAP","7,761","2,554","10,333","6,208","26,856","2,124","3,175","13,097",295,"18,691",0,0,0,0,0,0,0,0,0,0,"45,547",
10/1989,O90 ,CA,AWP,WE,"TRACON, RAPCON, or CERAP","39,575","14,679","37,334","2,395","93,983",42,24,"1,088",80,"1,234",0,0,0,0,0,0,0,0,0,0,"95,217",
Sub-Total for Unknown,,,,,,"65,832","26,629","69,578","29,359","191,398","13,063","8,852","27,750","2,262","51,927",0,0,0,0,0,0,0,0,0,0,"243,325",
Sub-Total for CA,,,,,,"54,585","19,783","59,035","11,598","145,001","13,038","8,422","23,885","1,551","46,896",0,0,0,0,0,0,0,0,0,0,"191,897",
10/1989,OGG ,HI,AWP,WE,Combined TRACON & Tower with Radar,"4,251","6,027","1,201",468,"11,947",13,590,137,21,761,0,0,0,0,0,0,0,0,0,0,"12,708",
Sub-Total for WE,,,,,,"58,836","25,810","60,236","12,066","156,948","13,051","9,012","24,022","1,572","47,657",0,0,0,0,0,0,0,0,0,0,"204,605",
Sub-Total for AWP,,,,,,"58,836","25,810","60,236","12,066","156,948","13,051","9,012","24,022","1,572","47,657",0,0,0,0,0,0,0,0,0,0,"204,605",
10/1989,OKC ,OK,ASW,CE,Towers with Radar,"5,062",416,"8,115","4,978","18,571",2,62,"6,546",382,"6,992",0,0,0,0,0,0,0,0,0,0,"25,563",
10/1989,ORF ,VA,AEA,EN,Towers with Radar,"6,859",785,"9,852","9,931","27,427",581,108,"3,130","2,226","6,045",0,0,0,0,0,0,0,0,0,0,"33,472",
Sub-Total for Unknown,,,,,,"11,921","1,201","17,967","14,909","45,998",583,170,"9,676","2,608","13,037",0,0,0,0,0,0,0,0,0,0,"59,035",
10/1989,P31 ,FL,ASO,ES,"TRACON, RAPCON, or CERAP","1,674",784,"5,308","24,224","31,990",9,140,"1,653",489,"2,291",0,0,0,0,0,0,0,0,0,0,"34,281",
10/1989,P50 ,AZ,AWP,WE,"TRACON, RAPCON, or CERAP","24,025","5,020","14,507","11,921","55,473",49,44,794,164,"1,051",0,0,0,0,0,0,0,0,0,0,"56,524",
10/1989,P80 ,OR,ANM,WE,"TRACON, RAPCON, or CERAP","8,524","8,474","6,291",918,"24,207",12,190,"2,806",176,"3,184",0,0,0,0,0,0,0,0,0,0,"27,391",
Sub-Total for Unknown,,,,,,"34,223","14,278","26,106","37,063","111,670",70,374,"5,253",829,"6,526",0,0,0,0,0,0,0,0,0,0,"118,196",
Sub-Total for WE,,,,,,"32,549","13,494","20,798","12,839","79,680",61,234,"3,600",340,"4,235",0,0,0,0,0,0,0,0,0,0,"83,915",
10/1989,PBI ,FL,ASO,ES,Towers with Radar,"5,019","2,269","10,478",183,"17,949",80,588,"6,102",200,"6,970",0,0,0,0,0,0,0,0,0,0,"24,919",
10/1989,PHL ,PA,AEA,EN,Towers with Radar,"15,183","12,983","12,884","1,909","42,959",22,493,"4,148",595,"5,258",0,0,0,0,0,0,0,0,0,0,"48,217",
10/1989,PIA ,IL,AGL,CE,Towers with Radar,624,"2,977","5,551",698,"9,850",36,"1,985","4,258",50,"6,329",0,0,0,0,0,0,0,0,0,0,"16,179",
10/1989,PIT ,PA,AEA,CE,Towers with Radar,"21,520","9,205","8,382",561,"39,668",17,183,"5,164",27,"5,391",0,0,0,0,0,0,0,0,0,0,"45,059",
Sub-Total for Unknown,,,,,,"42,346","27,434","37,295","3,351","110,426",155,"3,249","19,672",872,"23,948",0,0,0,0,0,0,0,0,0,0,"134,374",
Sub-Total for CE,,,,,,"22,144","12,182","13,933","1,259","49,518",53,"2,168","9,422",77,"11,720",0,0,0,0,0,0,0,0,0,0,"61,238",
10/1989,PSP ,CA,AWP,WE,Combined TRACON & Tower with Radar,707,"2,627","5,452",85,"8,871",8,238,"2,106",103,"2,455",0,0,0,0,0,0,0,0,0,0,"11,326",
10/1989,PUB ,CO,ANM,WE,Combined TRACON & Tower with Radar,658,520,"1,098",633,"2,909",95,21,141,"1,809","2,066",0,0,0,0,0,0,0,0,0,0,"4,975",
Sub-Total for Unknown,,,,,,"1,365","3,147","6,550",718,"11,780",103,259,"2,247","1,912","4,521",0,0,0,0,0,0,0,0,0,0,"16,301",
Sub-Total for WE,,,,,,"1,365","3,147","6,550",718,"11,780",103,259,"2,247","1,912","4,521",0,0,0,0,0,0,0,0,0,0,"16,301",
10/1989,PWM ,ME,ANE,EN,Towers with Radar,"1,535","2,240","4,480",135,"8,390",8,"1,129","2,365",519,"4,021",0,0,0,0,0,0,0,0,0,0,"12,411",
10/1989,R90 ,NE,ACE,CE,"TRACON, RAPCON, or CERAP","3,640","1,662","6,258","2,465","14,025",363,284,"3,673",133,"4,453",0,0,0,0,0,0,0,0,0,0,"18,478",
10/1989,RDG ,PA,AEA,EN,Towers with Radar,7,"1,210","1,575",79,"2,871",25,708,"1,058",85,"1,876",0,0,0,0,0,0,0,0,0,0,"4,747",
10/1989,RDU ,NC,ASO,EN,Towers with Radar,"11,206","4,835","8,563",640,"25,244",22,424,"3,294",415,"4,155",0,0,0,0,0,0,0,0,0,0,"29,399",
Sub-Total for EN,,,,,,"11,213","6,045","10,138",719,"28,115",47,"1,132","4,352",500,"6,031",0,0,0,0,0,0,0,0,0,0,"34,146",
10/1989,RFD ,IL,AGL,CE,Towers with Radar,79,"1,364","6,844",177,"8,464",19,"2,334","4,246",121,"6,720",0,0,0,0,0,0,0,0,0,0,"15,184",
10/1989,RIC ,VA,AEA,EN,Towers with Radar,"3,183","2,015","7,079","1,157","13,434",4,614,"4,087",688,"5,393",0,0,0,0,0,0,0,0,0,0,"18,827",
10/1989,RNO ,NV,AWP,WE,Towers with Radar,"3,846","1,801","6,200",732,"12,579",0,4,710,82,796,0,0,0,0,0,0,0,0,0,0,"13,375",
10/1989,ROA ,VA,AEA,EN,Towers with Radar,"1,182","2,030","4,098",100,"7,410",92,301,"1,834",151,"2,378",0,0,0,0,0,0,0,0,0,0,"9,788",
10/1989,ROC ,NY,AEA,CE,Towers with Radar,"4,142","1,384","5,745",219,"11,490",517,503,"1,608",97,"2,725",0,0,0,0,0,0,0,0,0,0,"14,215",
Sub-Total for Unknown,,,,,,"23,645","14,639","40,104","3,104","81,492",679,"4,888","16,837","1,639","24,043",0,0,0,0,0,0,0,0,0,0,"105,535",
Sub-Total for AEA,,,,,,"5,324","3,414","9,843",319,"18,900",609,804,"3,442",248,"5,103",0,0,0,0,0,0,0,0,0,0,"24,003",
10/1989,ROW ,NM,ASW,WE,Tower without Radar,2,478,410,"1,282","2,172",0,16,88,59,163,0,0,0,0,0,0,0,0,0,0,"2,335",
10/1989,RST ,MN,AGL,CE,Towers with Radar,507,241,"1,354",176,"2,278",0,53,606,22,681,0,0,0,0,0,0,0,0,0,0,"2,959",
10/1989,RSW ,FL,ASO,ES,Towers with Radar,"2,823","2,198","3,039",376,"8,436",44,975,"4,512",213,"5,744",0,0,0,0,0,0,0,0,0,0,"14,180",
Sub-Total for Unknown,,,,,,"3,330","2,439","4,393",552,"10,714",44,"1,028","5,118",235,"6,425",0,0,0,0,0,0,0,0,0,0,"17,139",
10/1989,S46 ,WA,ANM,WE,"TRACON, RAPCON, or CERAP","15,962","13,720","9,037","2,827","41,546",47,178,"3,284",267,"3,776",0,0,0,0,0,0,0,0,0,0,"45,322",
10/1989,S56 ,UT,ANM,WE,"TRACON, RAPCON, or CERAP","12,926","4,761","7,750","3,061","28,498",0,306,"2,231",165,"2,702",0,0,0,0,0,0,0,0,0,0,"31,200",
Sub-Total for Unknown,,,,,,"28,888","18,481","16,787","5,888","70,044",47,484,"5,515",432,"6,478",0,0,0,0,0,0,0,0,0,0,"76,522",
Sub-Total for WE,,,,,,"28,888","18,481","16,787","5,888","70,044",47,484,"5,515",432,"6,478",0,0,0,0,0,0,0,0,0,0,"76,522",
Sub-Total for ANM,,,,,,"28,888","18,481","16,787","5,888","70,044",47,484,"5,515",432,"6,478",0,0,0,0,0,0,0,0,0,0,"76,522",
10/1989,SAT ,TX,ASW,CE,Towers with Radar,"6,901","1,721","9,701","10,741","29,064",15,25,"2,607",641,"3,288",0,0,0,0,0,0,0,0,0,0,"32,352",
10/1989,SAV ,GA,ASO,ES,Towers with Radar,"1,766","1,106","6,203","1,577","10,652",2,242,"3,122",837,"4,203",0,0,0,0,0,0,0,0,0,0,"14,855",
10/1989,SBA ,CA,AWP,WE,Towers with Radar,660,"4,392","6,806",82,"11,940",1,759,"1,427",117,"2,304",0,0,0,0,0,0,0,0,0,0,"14,244",
10/1989,SBN ,IN,AGL,CE,Towers with Radar,639,"3,252","6,321",29,"10,241",33,"2,487","3,793",37,"6,350",0,0,0,0,0,0,0,0,0,0,"16,591",
10/1989,SCK ,CA,AWP,WE,Towers with Radar,174,903,"3,471",444,"4,992",361,"4,435","2,653",981,"8,430",0,0,0,0,0,0,0,0,0,0,"13,422",
10/1989,SDF ,KY,ASO,CE,Towers with Radar,"7,027","2,244","6,030",595,"15,896",174,287,"5,018",130,"5,609",0,0,0,0,0,0,0,0,0,0,"21,505",
10/1989,SGF ,MO,ACE,CE,Towers with Radar,353,"1,672","1,590",233,"3,848",0,151,743,34,928,0,0,0,0,0,0,0,0,0,0,"4,776",
10/1989,SHV ,LA,ASW,CE,Towers with Radar,"1,221","1,618","4,310","4,038","11,187",1,267,"2,999",244,"3,511",0,0,0,0,0,0,0,0,0,0,"14,698",
Sub-Total for Unknown,,,,,,"18,741","16,908","44,432","17,739","97,820",587,"8,653","22,362","3,021","34,623",0,0,0,0,0,0,0,0,0,0,"132,443",
10/1989,SJT ,TX,ASW,CE,Tower without Radar,0,"1,165",721,"1,015","2,901",0,0,32,19,51,0,0,0,0,0,0,0,0,0,0,"2,952",
Sub-Total for ASW,,,,,,"1,221","2,783","5,031","5,053","14,088",1,267,"3,031",263,"3,562",0,0,0,0,0,0,0,0,0,0,"17,650",
10/1989,SPI ,IL,AGL,CE,Towers with Radar,10,"2,150","5,250",366,"7,776",112,873,"1,971",53,"3,009",0,0,0,0,0,0,0,0,0,0,"10,785",
10/1989,SUX ,IA,ACE,CE,Towers with Radar,434,503,"1,415",452,"2,804",3,43,437,26,509,0,0,0,0,0,0,0,0,0,0,"3,313",
Sub-Total for CE,,,,,,"9,045","9,352","19,316","6,699","44,412",290,"1,621","11,200",506,"13,617",0,0,0,0,0,0,0,0,0,0,"58,029",
10/1989,SYR ,NY,AEA,EN,Towers with Radar,"4,801","3,979","4,744",629,"14,153",120,590,"2,364",275,"3,349",0,0,0,0,0,0,0,0,0,0,"17,502",
Sub-Total for Unknown,,,,,,"5,245","6,632","11,409","1,447","24,733",235,"1,506","4,772",354,"6,867",0,0,0,0,0,0,0,0,0,0,"31,600",
10/1989,T52 ,NY,AEA,EN,"TRACON, RAPCON, or CERAP",279,"1,489","2,461","1,721","5,950",378,"1,065","1,616",217,"3,276",0,0,0,0,0,0,0,0,0,0,"9,226",
Sub-Total for EN,,,,,,"5,080","5,468","7,205","2,350","20,103",498,"1,655","3,980",492,"6,625",0,0,0,0,0,0,0,0,0,0,"26,728",
Sub-Total for AEA,,,,,,"5,080","5,468","7,205","2,350","20,103",498,"1,655","3,980",492,"6,625",0,0,0,0,0,0,0,0,0,0,"26,728",
Sub-Total for NY,,,,,,"5,080","5,468","7,205","2,350","20,103",498,"1,655","3,980",492,"6,625",0,0,0,0,0,0,0,0,0,0,"26,728",
10/1989,T75 ,MO,ACE,CE,"TRACON, RAPCON, or CERAP","24,498","9,298","9,783","1,032","44,611",24,102,"2,434",598,"3,158",0,0,0,0,0,0,0,0,0,0,"47,769",
Sub-Total for Unknown,,,,,,"24,777","10,787","12,244","2,753","50,561",402,"1,167","4,050",815,"6,434",0,0,0,0,0,0,0,0,0,0,"56,995",
10/1989,TLH ,FL,ASO,ES,Towers with Radar,"1,647","1,882","6,690",441,"10,660",5,152,"2,599",269,"3,025",0,0,0,0,0,0,0,0,0,0,"13,685",
10/1989,TOL ,OH,AGL,CE,Towers with Radar,951,"1,546","5,765",332,"8,594",52,646,"4,518",59,"5,275",0,0,0,0,0,0,0,0,0,0,"13,869",
10/1989,TPA ,FL,ASO,ES,Towers with Radar,"12,090","4,807","11,988","4,103","32,988",15,591,"8,877",894,"10,377",0,0,0,0,0,0,0,0,0,0,"43,365",
10/1989,TRI ,TN,ASO,ES,Towers with Radar,666,"1,575","4,329",50,"6,620",2,68,"2,311",346,"2,727",0,0,0,0,0,0,0,0,0,0,"9,347",
Sub-Total for ES,,,,,,"12,756","6,382","16,317","4,153","39,608",17,659,"11,188","1,240","13,104",0,0,0,0,0,0,0,0,0,0,"52,712",
Sub-Total for ASO,,,,,,"12,756","6,382","16,317","4,153","39,608",17,659,"11,188","1,240","13,104",0,0,0,0,0,0,0,0,0,0,"52,712",
10/1989,TUL ,OK,ASW,CE,Towers with Radar,"4,798",854,"9,075","1,461","16,188",0,433,"3,251",103,"3,787",0,0,0,0,0,0,0,0,0,0,"19,975",
Sub-Total for Unknown,,,,,,"20,152","10,664","37,847","6,387","75,050",74,"1,890","21,556","1,671","25,191",0,0,0,0,0,0,0,0,0,0,"100,241",
10/1989,TUT ,AS,AWP,WE,Tower without Radar,59,145,13,46,263,84,0,6,15,105,0,0,0,0,0,0,0,0,0,0,368,
10/1989,TWF ,ID,ANM,WE,Combination Non-Radar Approach Control & Tower w/o Radar,0,639,276,24,939,0,9,10,3,22,0,0,0,0,0,0,0,0,0,0,961,
Sub-Total for WE,,,,,,59,784,289,70,"1,202",84,9,16,18,127,0,0,0,0,0,0,0,0,0,0,"1,329",
10/1989,TYR ,TX,ASW,CE,Tower without Radar,0,"1,694",854,6,"2,554",0,8,83,3,94,0,0,0,0,0,0,0,0,0,0,"2,648",
10/1989,TYS ,TN,ASO,ES,Towers with Radar,"2,170","2,346","7,530","1,348","13,394",1,115,"2,932",127,"3,175",0,0,0,0,0,0,0,0,0,0,"16,569",
10/1989,U90 ,AZ,AWP,WE,"TRACON, RAPCON, or CERAP","2,907",484,"8,484","7,686","19,561",0,72,457,196,725,0,0,0,0,0,0,0,0,0,0,"20,286",
10/1989,Y90 ,CT,ANE,EN,"TRACON, RAPCON, or CERAP","6,366","7,074","8,292","1,920","23,652",169,"3,900","9,112",433,"13,614",0,0,0,0,0,0,0,0,0,0,"37,266",
Sub-Total for Unknown,,,,,,"9,273","7,558","16,776","9,606","43,213",169,"3,972","9,569",629,"14,339",0,0,0,0,0,0,0,0,0,0,"57,552",
10/1989,YKM ,WA,ANM,WE,Tower without Radar,12,"1,689",512,264,"2,477",0,38,42,10,90,0,0,0,0,0,0,0,0,0,0,"2,567",
10/1989,YNG ,OH,AGL,CE,Towers with Radar,111,946,"4,356",278,"5,691",20,698,"2,273",24,"3,015",0,0,0,0,0,0,0,0,0,0,"8,706",
10/1989,ZHN ,HI,AWP,WE,"TRACON, RAPCON, or CERAP","9,300","8,178","1,545",803,"19,826","11,915",783,496,"3,177","16,371",0,0,0,0,0,0,0,0,0,0,"36,197",
10/1989,ZSU ,PR,ASO,ES,"TRACON, RAPCON, or CERAP","6,333","12,426","4,223","1,296","24,278","5,842",66,470,469,"6,847",0,0,0,0,0,0,0,0,0,0,"31,125",
Sub-Total for Unknown,,,,,,"15,633","20,604","5,768","2,099","44,104","17,757",849,966,"3,646","23,218",0,0,0,0,0,0,0,0,0,0,"67,322",
10/1989,ZUA ,GU,AWP,WE,Air Route Traffic Control Center,"1,226",289,53,880,"2,448",0,0,159,101,260,0,0,0,0,0,0,0,0,0,0,"2,708",
Sub-Total for 10/1989,,,,,,"1,070,683","624,125","1,167,136","305,014","3,166,958","73,719","110,721","515,761","73,549","773,750",0,0,0,0,0,0,0,0,0,0,"3,940,708",
11/1989,A90 ,NH,ANE,EN,"TRACON, RAPCON, or CERAP","19,984","12,271","8,141",795,"41,191",32,351,"5,763",228,"6,374",0,0,0,0,0,0,0,0,0,0,"47,565",
11/1989,ABE ,PA,AEA,EN,Towers with Radar,"1,152","1,716","5,450",258,"8,576",56,"2,758","4,405",296,"7,515",0,0,0,0,0,0,0,0,0,0,"16,091",
Sub-Total for EN,,,,,,"21,136","13,987","13,591","1,053","49,767",88,"3,109","10,168",524,"13,889",0,0,0,0,0,0,0,0,0,0,"63,656",
11/1989,ABI ,TX,ASW,CE,Towers with Radar,42,"1,566","3,478","3,765","8,851",1,143,"1,065",67,"1,276",0,0,0,0,0,0,0,0,0,0,"10,127",
11/1989,ABQ ,NM,ASW,WE,Towers with Radar,"5,663","3,192","6,214","2,805","17,874",0,149,"2,006",533,"2,688",0,0,0,0,0,0,0,0,0,0,"20,562",
11/1989,ACT ,TX,ASW,CE,Towers with Radar,81,788,"1,538",558,"2,965",6,"1,160","1,173",139,"2,478",0,0,0,0,0,0,0,0,0,0,"5,443",
Sub-Total for ASW,,,,,,"5,786","5,546","11,230","7,128","29,690",7,"1,452","4,244",739,"6,442",0,0,0,0,0,0,0,0,0,0,"36,132",
11/1989,ACY ,NJ,AEA,EN,Towers with Radar,765,"2,023","5,288",738,"8,814",73,102,"1,592",767,"2,534",0,0,0,0,0,0,0,0,0,0,"11,348",
11/1989,AGS ,GA,ASO,ES,Towers with Radar,507,"1,196","2,629",340,"4,672",107,240,"2,437",263,"3,047",0,0,0,0,0,0,0,0,0,0,"7,719",
11/1989,ALB ,NY,AEA,EN,Towers with Radar,"2,357","7,380","5,205",706,"15,648",25,961,"2,137",117,"3,240",0,0,0,0,0,0,0,0,0,0,"18,888",
