,d2v_cos_sim_replace,d2v_num_comp_replace,d2v_cos_sim_other_tracon_replace,d2v_num_comp_other_tracon_replace,d2v_cos_sim,d2v_num_comp,d2v_cos_sim_other_tracon,d2v_num_comp_other_tracon
08A 1996/7,,0.0,5.493625361981457e-05,233.0,,0.0,5.907618809981271e-05,233.0
13KK 1997/5,,0.0,4.0247982058921525e-05,191.0,,0.0,3.317108848619669e-05,191.0
1B9 1993/3,,0.0,4.294074797190544e-05,179.0,,0.0,5.019269168594573e-05,179.0
2DT 1991/12,,0.0,1.4371305379936013e-05,261.0,,0.0,2.0924696119628813e-05,261.0
73J 1989/3,,0.0,3.864940751901562e-05,165.0,,0.0,4.784103267448993e-05,165.0
A11 1999/12,0.32466379801432294,3.0,5.880880292494679e-05,182.0,0.3938318093617757,3.0,7.133772660821924e-05,182.0
A11 1999/2,0.8729143142700195,2.0,1.2154110793854394e-05,379.0,0.8209872245788574,2.0,1.1431098705506887e-05,379.0
A11 1999/3,,1.0,0.0022146887835825385,218.0,,1.0,0.002226390056804358,218.0
A11 1999/4,0.4490978717803955,2.0,1.806180988076959e-05,223.0,0.4119248390197754,2.0,1.6566785538409192e-05,223.0
A11 1999/5,,0.0,0.00435153711215723,234.0,,0.0,0.004483733691677339,234.0
A11 1999/7,,1.0,9.678891425864165e-06,211.0,,1.0,1.8434708112173143e-05,211.0
A11 1999/8,,1.0,0.00022921391009788234,248.0,,1.0,0.00025795128789578216,248.0
A11 1999/9,,0.0,0.0013451618710913148,223.0,,0.0,0.0017478679143104062,223.0
A11 2000/1,,1.0,0.0017436200985110435,166.0,,1.0,0.002241939500932476,166.0
A11 2000/11,,1.0,0.0010781837932772325,165.0,,1.0,0.0010003416903857467,165.0
A11 2000/12,,1.0,0.0008577619460130214,174.0,,1.0,0.0007950391805948426,174.0
A11 2000/2,,0.0,0.004924350294099135,203.0,,0.0,0.005082556043630108,203.0
A11 2000/4,0.42613422870635986,3.0,7.234057753050473e-05,188.0,0.7087661425272623,3.0,0.00012032019169204318,188.0
A11 2000/5,0.2496856451034546,2.0,1.6121232250997843e-05,176.0,0.5281748175621033,2.0,3.4102196381850675e-05,176.0
A11 2000/6,0.8411557674407959,2.0,2.1612152141950794e-05,279.0,0.7356293201446533,2.0,1.8900818852395353e-05,279.0
A11 2000/7,,1.0,0.0015123877855495542,166.0,,1.0,0.002141533889139247,166.0
A11 2000/8,0.46064527829488117,3.0,9.234761167326964e-05,173.0,0.40077972412109375,3.0,8.034609725438747e-05,173.0
A11 2000/9,,0.0,0.0008450236122189037,184.0,,0.0,0.0008381581486736218,184.0
A11 2001/1,,0.0,6.375997480002435e-05,337.0,,0.0,6.457051693490971e-05,337.0
A11 2001/11,0.8406508564949036,2.0,1.6115382233030194e-05,323.0,0.7321212291717529,2.0,1.403485568100438e-05,323.0
A11 2001/12,,1.0,8.299820053561071e-05,216.0,,1.0,6.384900240904674e-05,216.0
A11 2001/5,,0.0,0.00016764881610870362,200.0,,0.0,9.056732654571533e-05,200.0
A11 2001/8,,0.0,0.00017590427769319396,169.0,,0.0,0.00011024072404744382,169.0
A11 2002/1,,0.0,8.950545590304765e-05,208.0,,0.0,6.885491531981518e-05,208.0
A11 2002/12,,0.0,0.0023831713562857083,152.0,,0.0,0.002589512069469674,152.0
A11 2002/3,,0.0,0.0001128848804079968,184.0,,0.0,0.0001132994157830799,184.0
A11 2002/8,,1.0,0.0005300480276303399,118.0,,1.0,0.0007690999809951147,118.0
A11 2002/9,,0.0,0.0008847824141549052,138.0,,0.0,0.0008861483257624613,138.0
A11 2003/10,,1.0,0.0001663905658209876,254.0,,1.0,0.00010296541446125495,254.0
A11 2003/11,,1.0,0.0007345191363905318,173.0,,1.0,0.0006416327428609036,173.0
A11 2003/12,0.9172271490097046,2.0,2.8211523229825594e-05,255.0,0.8364955186843872,2.0,2.5728428102557085e-05,255.0
A11 2003/6,0.8985533714294434,2.0,9.674295158073474e-06,431.0,0.8976523876190186,2.0,9.664594695539091e-06,431.0
A11 2003/7,,1.0,8.721024414778776e-05,186.0,,1.0,7.533836894013838e-05,186.0
A11 2003/8,,0.0,0.0007486806524669195,181.0,,0.0,0.000784935588376149,181.0
A11 2004/1,,0.0,0.00045594807912612104,130.0,,0.0,0.00031123268533740525,130.0
A11 2004/12,,0.0,0.002612379778811034,51.0,,0.0,0.002943951915842164,51.0
A11 2004/3,,0.0,7.024612763177493e-05,133.0,,0.0,6.751002205443212e-05,133.0
A11 2004/5,,0.0,1.8205644703291965e-07,138.0,,0.0,1.0055995893889029e-05,138.0
A11 2004/7,,0.0,0.0002347963079036726,102.0,,0.0,0.0002613525947943324,102.0
A11 2005/11,,0.0,0.014366357495176745,73.0,,0.0,0.012499694194281877,73.0
A11 2005/4,,0.0,0.006895152960564302,61.0,,0.0,0.007192673717766352,61.0
A11 2006/1,0.4711531321207682,6.0,0.001442158347477099,99.0,0.5171740214029948,6.0,0.0015830242467186862,99.0
A11 2006/10,,0.0,5.419469602444121e-05,148.0,,0.0,4.4003009273676735e-05,148.0
A11 2006/12,,0.0,0.008514155473186829,103.0,,0.0,0.008714674285247196,103.0
A11 2006/2,,0.0,0.0037481289067544227,110.0,,0.0,0.0033530180119285898,110.0
A11 2006/4,,0.0,8.43919316927592e-05,120.0,,0.0,8.602092663447062e-05,120.0
A11 2006/7,,0.0,0.003170037050367095,146.0,,0.0,0.0028063136476762615,146.0
A11 2007/2,,1.0,0.009415074974313558,154.0,,1.0,0.008567247730138672,154.0
A11 2007/3,,0.0,0.0007802125354303759,106.0,,0.0,0.000943829810419894,106.0
A11 2007/5,,1.0,0.0001563206220091517,101.0,,1.0,0.0001923891390413528,101.0
A11 2007/6,,1.0,0.017761104523189485,105.0,,1.0,0.01647609304138322,105.0
A11 2007/7,,0.0,0.0003201998258222892,98.0,,0.0,0.0002479230002133561,98.0
A11 2007/9,,0.0,8.545022010803223e-05,100.0,,0.0,6.409776210784912e-05,100.0
A11 2008/11,,1.0,0.00011029377711947853,104.0,,1.0,0.00012678269451186502,104.0
A11 2008/12,0.36138391494750977,2.0,0.00011016122997942685,81.0,0.6805539727210999,2.0,0.00020745434315534212,81.0
A11 2008/6,,1.0,0.00023323028098998092,127.0,,1.0,0.00018869364902426093,127.0
A11 2008/7,0.37322696050008136,3.0,0.0002534361433907298,94.0,0.42212216059366864,3.0,0.00028663795422838523,94.0
A11 2008/8,,0.0,7.720490031772189e-05,150.0,,0.0,8.019252353244357e-05,150.0
A11 2009/1,,0.0,0.0006388564112638875,82.0,,0.0,0.0005535065312246564,82.0
A11 2009/6,,0.0,0.0005528515683607145,135.0,,0.0,0.000711691062309778,135.0
A11 2010/1,,0.0,0.0017682373002388735,98.0,,0.0,0.0017260831874988814,98.0
A11 2010/11,,0.0,0.00040892734971294237,161.0,,0.0,0.0003538422735195175,161.0
A11 2010/4,,0.0,0.00013109098172046728,104.0,,0.0,0.00012051703176907534,104.0
A11 2010/7,,0.0,0.00037101442135140583,78.0,,0.0,0.0003978773060007992,78.0
A11 2010/9,,0.0,0.0017229564666748046,100.0,,0.0,0.00161810302734375,100.0
A11 2011/11,,0.0,0.0009001678063803646,119.0,,0.0,0.000634150117494723,119.0
A11 2011/3,,1.0,0.0004935740715037013,113.0,,1.0,0.0003696305421872094,113.0
A11 2011/4,,1.0,0.00018542614011475482,107.0,,1.0,0.0002983576429495177,107.0
A11 2011/5,,1.0,0.0009826539431885732,109.0,,1.0,0.000978223904848159,109.0
A11 2011/6,,0.0,0.0007856271118575318,87.0,,0.0,0.0006133991875977981,87.0
A11 2012/1,,0.0,0.00046485046709864595,88.0,,0.0,0.0002816124888491039,88.0
A11 2012/5,0.8993123769760132,2.0,6.449226411674949e-05,167.0,0.8862433433532715,2.0,6.355504631598634e-05,167.0
A11 2012/6,,0.0,0.0011818570467131172,101.0,,0.0,0.001325849434544369,101.0
A11 2013/6,,0.0,0.000259877936795811,89.0,,0.0,0.00028201092254211016,89.0
A11 2014/4,,0.0,0.0007091948239314325,111.0,,0.0,0.0011480295970623547,111.0
A11 2014/6,,0.0,0.0006554936604386956,104.0,,0.0,0.0007424989395593045,104.0
A11 2014/9,,0.0,0.0009362569970607151,93.0,,0.0,0.0007055785176602109,93.0
A11 2015/11,,0.0,0.0019122785992092557,120.0,,0.0,0.0019757519827948676,120.0
A11 2015/4,,0.0,0.00022338993847370147,80.0,,0.0,0.00017780745401978492,80.0
A11 2015/6,,1.0,0.00020926142333286952,152.0,,1.0,0.00020770939103123884,152.0
A11 2015/7,,0.0,0.0034276070783070406,132.0,,0.0,0.0039036797207358566,132.0
A11 2016/10,,0.0,0.000312916333389544,101.0,,0.0,0.000639393474293531,101.0
A11 2016/3,,1.0,0.0010456361495908887,135.0,,1.0,0.0010798080925751778,135.0
A11 2016/4,,0.0,0.0005154637937192564,90.0,,0.0,0.00048056790858139225,90.0
A11 2016/7,,0.0,8.089164413649872e-05,127.0,,0.0,6.462729600263888e-05,127.0
A11 2017/1,,0.0,0.0006491127165954048,99.0,,0.0,0.0007566170429237131,99.0
A11 2017/10,,0.0,0.001184569456914659,58.0,,0.0,0.0010264449964380435,58.0
A11 2017/12,,0.0,0.00369197604535585,91.0,,0.0,0.004077014017905493,91.0
A11 2017/5,,0.0,0.0181884554250651,137.0,,0.0,0.018377783429458148,137.0
A11 2017/7,,1.0,0.0013405926670063896,114.0,,1.0,0.0015517910211480335,114.0
A11 2017/8,,1.0,0.005240597497433937,81.0,,1.0,0.005196006645827082,81.0
A11 2017/9,,1.0,0.003027733382006507,103.0,,1.0,0.003282941627124891,103.0
A11 2018/4,0.04535222053527832,2.0,8.386135454008565e-06,104.0,0.17458415031433105,2.0,3.228257217350796e-05,104.0
A11 2018/5,,0.0,0.008879226815396785,91.0,,0.0,0.010712075299678858,91.0
A11 2019/3,,0.0,0.004038979766766801,59.0,,0.0,0.004273856518358309,59.0
A11 2019/5,0.7838650544484457,3.0,0.00031598967526811836,122.0,0.7710755666097006,3.0,0.0003108340096518545,122.0
A11 2019/6,0.7066836357116699,2.0,0.0001189602955494773,109.0,0.8842155933380127,2.0,0.00014884531492938518,109.0
A11 2019/7,,0.0,0.0014707255685986887,31.0,,0.0,0.0018401989455525758,31.0
A80 2001/10,0.11980557441711426,2.0,5.646412216849574e-06,206.0,0.20957016944885254,2.0,9.876999219947806e-06,206.0
A80 2001/11,0.7803593873977661,2.0,1.4959587217317642e-05,323.0,0.7993462085723877,2.0,1.5323566957842743e-05,323.0
A80 2001/12,0.3804767608642578,5.0,0.00016931148133866937,212.0,0.5433785438537597,5.0,0.00024180248480498386,212.0
A80 2001/4,0.558069896697998,5.0,0.00025309292367256146,210.0,0.536557388305664,5.0,0.00024333668403884993,210.0
A80 2001/5,0.699531078338623,5.0,0.0003679321911051272,195.0,0.6727917671203614,5.0,0.00035386812208828997,195.0
A80 2001/6,0.8187967300415039,5.0,9.789476749200493e-05,409.0,0.6645819664001464,5.0,7.945695762222207e-05,409.0
A80 2001/7,0.5714590072631835,5.0,0.00022778181093079702,224.0,0.5968428611755371,5.0,0.0002378997373945859,224.0
A80 2001/8,0.8173775672912598,2.0,5.8616484441267865e-05,167.0,0.6134626865386963,2.0,4.399316479893121e-05,167.0
A80 2001/9,0.6522750854492188,5.0,0.00035388188229666813,192.0,0.463056755065918,5.0,0.0002512243679828114,192.0
A80 2002/1,0.49986473719278973,3.0,7.136676795137985e-05,205.0,0.6890254020690918,3.0,9.837364455477812e-05,205.0
A80 2002/10,,0.0,0.0036220968718183844,121.0,,0.0,0.003823122897765959,121.0
A80 2002/12,0.5665962298711141,3.0,0.00015312721855892457,149.0,0.571927030881246,3.0,0.00015456791069264788,149.0
A80 2002/2,,1.0,0.001331558636175548,213.0,,1.0,0.001473419734974425,213.0
A80 2002/3,,0.0,0.0005244647622784504,184.0,,0.0,0.000640326220056285,184.0
A80 2002/7,0.4963212240309942,7.0,0.0008041931796343412,161.0,0.4014944349016462,7.0,0.0006505445880123892,161.0
A80 2002/8,0.5406234264373779,3.0,0.00024106276446375353,116.0,0.5671088298161825,3.0,0.00025287254599413604,116.0
A80 2002/9,0.5766504605611166,4.0,0.00038537566978911775,134.0,0.6231688658396403,4.0,0.0004164639335083361,134.0
A80 2003/1,0.5259515762329101,6.0,0.00016003232673726423,314.0,0.524642817179362,6.0,0.0001596341080305576,314.0
A80 2003/10,0.5367426872253418,5.0,0.00017175765991210936,250.0,0.33214583396911623,5.0,0.00010628666687011718,250.0
A80 2003/11,0.5234148388817197,7.0,0.0007882470950206973,167.0,0.4572244371686663,7.0,0.0006885663294160416,167.0
A80 2003/12,0.6507865269978841,16.0,0.0026891542239199082,241.0,0.7251083374023437,16.0,0.002996263855246337,241.0
A80 2003/2,0.6074810936337426,7.0,0.0004823101310513646,230.0,0.6208602360316685,7.0,0.000492932512539321,230.0
A80 2003/3,0.5619932810465494,3.0,5.903187420176987e-05,239.0,0.7926743825276693,3.0,8.326265813214082e-05,239.0
A80 2003/4,0.4400264819463094,4.0,0.00011638602974179976,213.0,0.5399390061696371,4.0,0.00014281267107574874,213.0
A80 2003/5,0.3438996473948161,4.0,8.763821208218041e-05,217.0,0.46328067779541016,4.0,0.00011806086630731003,217.0
A80 2003/6,0.5981859479631696,8.0,0.00018545834234429066,425.0,0.5384706769670758,8.0,0.0001669445420631488,425.0
A80 2003/7,0.549255234854562,8.0,0.0009599667036564236,179.0,0.5735821042742048,8.0,0.0010024842495351416,179.0
A80 2003/8,0.4447560628255208,6.0,0.0004356794084821429,175.0,0.3593602498372396,6.0,0.0003520263671875,175.0
A80 2003/9,0.6400477091471354,7.0,0.00044784679357233963,245.0,0.5789229983375186,7.0,0.00040507731662100426,245.0
A80 2004/1,0.708230177561442,3.0,0.0002634621529771624,127.0,0.5080521901448568,3.0,0.00018899579272547217,127.0
A80 2004/10,,1.0,3.928554833993404e-05,130.0,,1.0,4.184000590849205e-05,130.0
A80 2004/11,,1.0,0.0016964555771882869,88.0,,1.0,0.00146124850619923,88.0
A80 2004/12,,0.0,0.021766551133991435,51.0,,0.0,0.02311447243285335,51.0
A80 2004/2,0.583418051401774,4.0,0.00026029954702637154,164.0,0.6037232875823975,4.0,0.00026935899208018924,164.0
A80 2004/3,-0.02814650535583496,2.0,-3.280287320766268e-06,131.0,0.2518751621246338,2.0,2.93543688741488e-05,131.0
A80 2004/4,0.48732504844665525,5.0,0.00033724916847519394,170.0,0.38029956817626953,5.0,0.00026318309216350833,170.0
A80 2004/5,0.35700321197509766,5.0,0.0004036443122563148,133.0,0.4331336975097656,5.0,0.000489720953711081,133.0
A80 2004/6,0.6213669776916504,4.0,0.0005009677326189066,122.0,0.46134742101033527,4.0,0.00037195438404488197,122.0
A80 2004/7,0.583514928817749,2.0,0.0001167029857635498,100.0,0.5304698944091797,2.0,0.00010609397888183594,100.0
A80 2004/8,0.8412541151046753,2.0,3.708497498753225e-05,213.0,0.8972651958465576,2.0,3.955410945123576e-05,213.0
A80 2004/9,0.7333003282546997,2.0,9.237847420694125e-05,126.0,0.7569039463996887,2.0,9.535197107579852e-05,126.0
A80 2005/10,0.17085647583007812,2.0,5.4752916465335086e-05,79.0,0.7280938625335693,2.0,0.00023332602548744411,79.0
A80 2005/11,,1.0,0.014768194269250941,72.0,,1.0,0.012849319128342617,72.0
A80 2005/12,,1.0,0.0009521185247986405,72.0,,1.0,0.0007752533312197085,72.0
A80 2005/2,,1.0,0.00014768322459293612,86.0,,1.0,0.00013266552971014144,86.0
A80 2005/3,0.7343877553939819,2.0,0.00026822050963987653,74.0,0.3191847801208496,2.0,0.00011657588755326866,74.0
A80 2005/4,0.3401329517364502,5.0,0.0021692152534212384,56.0,0.30193581581115725,5.0,0.001925611070224217,56.0
A80 2005/5,,1.0,0.03674423406153549,45.0,,1.0,0.032827242627555944,45.0
A80 2005/6,,0.0,0.010853348946084782,56.0,,0.0,0.010858175705890266,56.0
A80 2005/8,,0.0,0.0006226700859044331,67.0,,0.0,0.0003962430743657021,67.0
A80 2006/1,0.3824471632639567,3.0,0.00022055776428140525,102.0,0.44367480278015137,3.0,0.000255867821672521,102.0
A80 2006/10,,1.0,0.006886215453576201,147.0,,1.0,0.007110287123791375,147.0
A80 2006/11,0.553327480951945,4.0,0.00035899274283214425,136.0,0.32431604464848834,4.0,0.00021041265872523033,136.0
A80 2006/12,,1.0,0.008681918052195219,102.0,,1.0,0.008886387878910756,102.0
A80 2006/2,0.38164687156677246,2.0,6.544013572818457e-05,108.0,0.5388455390930176,2.0,9.239463976217723e-05,108.0
A80 2006/3,0.5936846733093262,3.0,0.00027896530972323257,113.0,0.6597711245218912,3.0,0.0003100185407730713,113.0
A80 2006/4,0.6076219081878662,2.0,8.727691872850707e-05,118.0,0.6193506717681885,2.0,8.896160180525545e-05,118.0
A80 2006/5,0.5363313357035319,3.0,0.00021270328602162678,123.0,0.645719846089681,3.0,0.0002560856022564668,123.0
A80 2006/6,0.5714495579401652,3.0,4.342266875598069e-05,281.0,0.44911623001098633,3.0,3.412694089570697e-05,281.0
A80 2006/7,0.626582145690918,2.0,6.0434234730991315e-05,144.0,0.3215320110321045,2.0,3.1011960940596496e-05,144.0
A80 2006/8,0.3180060386657715,2.0,3.943282766021099e-05,127.0,0.2489074468612671,2.0,3.08645851399674e-05,127.0
A80 2006/9,0.5185035978044782,7.0,0.0008723422171041535,158.0,0.54063842410133,7.0,0.0009095823510757835,158.0
A80 2007/1,0.309422771135966,3.0,0.00013562251638657286,117.0,0.4802042643229167,3.0,0.0002104774334091241,117.0
A80 2007/10,,1.0,0.0008779675984869198,112.0,,1.0,0.0009414708735991497,112.0
