,airport_code,airport_name,year,month,ntsb_accidents,ntsb_incidents,faa_incidents,dataset,tracon_month,pos_nonword_ct,pos_nonword_unique_ct,casa_ct,casa_unique_ct,faa_ct,faa_unique_ct,iata_iaco_ct,iata_iaco_unique_ct,nasa_ct,nasa_unique_ct,hand_ct,hand_unique_ct,tracon,Achieve_count,Adj_count,Adverb_count,Affect_count,Affiliation_count,Anger_count,Anx_count,Article_count,Assent_count,Auxverb_count,Bio_count,Body_count,Cause_count,Certain_count,CogProc_count,Compare_count,Conj_count,Death_count,Differ_count,Discrep_count,Drives_count,Family_count,Feel_count,Female_count,Filler_count,FocusFuture_count,FocusPast_count,FocusPresent_count,Friend_count,Function_count,Health_count,Hear_count,Home_count,I_count,Informal_count,Ingest_count,Insight_count,Interrog_count,Ipron_count,Leisure_count,Male_count,Money_count,Motion_count,Negate_count,Negemo_count,Netspeak_count,Nonflu_count,Number_count,Percept_count,Posemo_count,Power_count,Ppron_count,Prep_count,Pronoun_count,Quant_count,Relativ_count,Relig_count,Reward_count,Risk_count,Sad_count,See_count,Sexual_count,SheHe_count,Social_count,Space_count,Swear_count,Tentat_count,They_count,Time_count,Verb_count,We_count,Work_count,You_count,d2v_cos_sim
22,ABQ,Albuquerque International Sunport,2001,5,1.0,0.0,0.0,ntsb,ABQ 2001/5,42,21,26,11,15,4,23,9,26,16,14,9,ABQ,25,30,22,4,30,0,1,9,0,58,5,0,0,0,18,5,3,1,2,6,4,35,4,0,0,3,21,23,1,110,0,3,0,41,0,0,17,0,3,0,3,0,21,31,1,0,1,3,14,2,4,50,40,100,1,23,0,2,2,0,7,0,0,7,17,1,15,3,17,31,10,3,25,
23,ABQ,Albuquerque International Sunport,2001,10,5.0,0.0,0.0,ntsb,ABQ 2001/10,41,20,26,12,11,5,16,8,30,13,18,8,ABQ,20,34,30,8,23,0,0,17,4,69,1,0,1,0,25,8,22,0,2,3,6,27,3,0,0,7,19,25,0,135,0,1,0,34,0,0,10,0,1,1,0,0,31,27,4,1,0,6,11,4,5,51,61,118,2,24,0,0,1,0,3,0,2,9,23,5,10,7,19,31,6,9,18,
24,ABQ,Albuquerque International Sunport,2002,2,1.0,0.0,0.0,ntsb,ABQ 2002/2,6,6,6,3,2,2,2,2,3,3,2,2,ABQ,7,11,7,2,8,0,0,3,0,19,0,0,0,0,6,1,6,0,1,0,2,9,1,0,0,2,6,9,0,29,0,5,0,11,0,0,5,0,1,0,0,0,7,5,0,0,0,0,4,0,1,14,3,23,0,6,0,1,1,0,6,0,0,1,4,0,4,0,6,12,3,2,7,
25,ABQ,Albuquerque International Sunport,2002,5,1.0,0.0,0.0,ntsb,ABQ 2002/5,53,14,30,9,7,2,28,9,33,7,20,5,ABQ,25,59,52,23,27,4,3,36,2,119,3,2,1,0,44,16,34,0,13,13,16,27,4,0,0,15,24,53,0,237,0,6,0,80,0,0,22,3,1,3,0,1,48,33,8,0,1,9,15,11,7,116,48,156,5,65,0,4,4,0,10,0,1,21,36,3,11,11,50,64,50,14,17,
26,ABQ,Albuquerque International Sunport,2002,8,1.0,0.0,0.0,ntsb,ABQ 2002/8,15,11,13,7,4,3,6,4,9,7,4,2,ABQ,4,12,4,2,7,1,1,1,0,17,0,0,1,0,3,2,1,0,0,0,2,5,0,0,0,1,3,9,0,26,0,6,0,10,0,0,2,0,0,0,0,0,8,8,1,0,0,0,3,0,2,11,4,19,0,15,0,2,1,0,5,0,0,3,9,0,0,0,8,3,6,2,4,
27,ABQ,Albuquerque International Sunport,2003,6,2.0,0.0,0.0,ntsb,ABQ 2003/6,21,14,20,10,7,5,11,5,14,11,12,9,ABQ,20,24,19,0,22,0,0,10,1,33,0,0,0,0,7,3,13,0,0,4,1,36,7,0,1,6,13,21,0,53,0,1,0,28,0,0,8,0,9,1,0,0,13,15,1,0,0,6,8,1,0,38,12,73,0,17,0,1,2,0,6,0,0,8,12,2,5,0,12,26,0,3,19,
28,ABQ,Albuquerque International Sunport,2004,10,2.0,0.0,0.0,ntsb,ABQ 2004/10,69,27,59,20,39,13,42,14,29,14,9,6,ABQ,9,58,38,5,24,0,2,19,0,115,0,1,4,0,40,16,14,0,4,4,6,22,1,0,0,14,23,36,0,203,0,1,0,53,0,1,33,1,0,4,0,3,45,50,2,3,0,3,12,2,6,72,67,151,1,48,1,2,9,0,3,0,0,19,31,3,18,29,20,44,16,19,8,
29,ABQ,Albuquerque International Sunport,2006,7,1.0,0.0,0.0,ntsb,ABQ 2006/7,32,11,22,11,8,4,10,5,24,7,16,3,ABQ,10,42,20,6,12,0,2,14,2,46,0,0,2,0,28,10,10,0,0,2,6,14,2,0,0,12,14,28,0,126,0,2,0,36,0,0,24,0,0,0,0,0,38,34,0,0,2,4,16,4,2,50,36,70,0,32,0,0,2,0,4,0,0,8,28,4,14,8,20,30,20,14,8,0.8756728172302246
30,ABQ,Albuquerque International Sunport,2009,10,2.0,0.0,0.0,ntsb,ABQ 2009/10,31,12,20,6,22,6,14,6,2,2,5,3,ABQ,48,50,44,3,57,0,1,18,0,93,2,1,0,0,15,13,20,0,2,5,30,55,2,1,0,16,20,40,0,155,0,8,0,51,0,0,14,2,0,0,0,0,63,47,4,0,0,8,9,5,7,69,70,173,4,69,0,2,16,0,10,0,0,7,32,1,11,4,31,47,2,19,45,0.3997035026550293
31,ABQ,Albuquerque International Sunport,2013,10,1.0,0.0,0.0,ntsb,ABQ 2013/10,3,1,2,1,0,0,3,1,0,0,0,0,ABQ,7,28,19,7,10,0,0,9,0,40,5,3,2,0,19,10,3,0,1,6,5,10,1,0,0,6,12,17,0,85,0,1,0,29,0,0,8,2,0,0,0,0,25,24,2,0,0,5,7,2,2,38,45,80,1,20,0,2,4,0,3,0,0,11,7,0,2,9,12,23,13,3,7,
32,ABQ,Albuquerque International Sunport,2014,9,1.0,0.0,0.0,ntsb,ABQ 2014/9,12,9,5,3,9,6,8,5,0,0,3,3,ABQ,7,16,16,5,8,1,1,4,0,27,2,2,1,0,8,5,2,0,1,3,6,6,0,1,0,3,7,12,0,57,0,0,0,11,0,0,10,0,0,0,0,0,13,15,0,0,0,1,9,3,2,15,19,39,2,16,0,1,2,0,0,0,0,1,8,0,5,0,13,18,5,4,6,
33,ABQ,Albuquerque International Sunport,2016,5,1.0,0.0,0.0,ntsb,ABQ 2016/5,12,7,4,2,9,5,3,2,3,2,5,3,ABQ,5,46,43,13,9,0,0,19,0,75,10,10,3,0,19,15,16,0,3,3,10,9,1,0,0,10,17,36,0,126,0,4,0,25,0,0,14,4,0,0,0,0,51,23,1,0,0,6,10,1,3,44,53,120,2,43,0,4,4,0,2,0,0,4,29,0,12,7,24,42,14,11,4,
34,ABQ,Albuquerque International Sunport,2016,10,1.0,0.0,0.0,ntsb,ABQ 2016/10,1,1,1,1,1,1,0,0,0,0,0,0,ABQ,15,25,10,1,19,0,0,2,0,39,2,2,0,0,5,9,3,0,3,0,6,15,0,0,0,5,8,14,0,45,0,4,0,17,0,0,2,1,0,0,0,0,23,14,2,0,0,2,6,2,4,19,21,57,1,23,0,2,2,0,1,0,0,2,18,0,1,0,11,9,3,9,14,
35,ABQ,Albuquerque International Sunport,2017,10,2.0,0.0,0.0,ntsb,ABQ 2017/10,23,10,13,7,13,5,20,7,1,1,1,1,ABQ,31,94,91,19,42,0,2,36,0,170,3,3,2,0,38,19,44,0,5,16,39,42,4,0,1,32,29,67,0,301,0,14,0,74,0,0,49,4,5,0,0,1,106,66,5,0,0,13,26,10,14,110,85,240,6,89,0,7,21,0,17,0,6,15,50,1,37,2,60,96,39,35,22,
36,ACY,Atlantic City International Airport,1995,11,1.0,0.0,0.0,ntsb,ACY 1995/11,15,9,40,11,4,3,22,6,22,6,3,1,ACY,12,23,23,4,12,0,1,6,0,42,2,0,2,0,12,6,4,0,0,1,3,15,0,0,0,2,3,24,0,79,0,0,0,27,0,0,9,2,0,0,0,0,13,15,0,0,0,2,5,0,3,33,25,60,0,11,0,0,0,0,0,0,0,6,11,0,1,5,8,15,10,4,12,
37,AGS,Augusta Regional At Bush Field,1995,1,1.0,0.0,0.0,ntsb,AGS 1995/1,18,9,12,6,10,5,12,6,2,1,4,2,AGS,0,10,8,2,2,0,2,8,2,12,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,6,0,6,0,22,0,0,0,0,0,0,6,0,0,0,0,0,10,2,0,0,0,2,2,2,0,8,10,18,0,4,0,2,0,0,0,0,0,2,8,2,2,0,4,6,0,2,0,0.9169504642486572
38,ALB,Albany International Airport,1988,9,1.0,0.0,0.0,ntsb,ALB 1988/9,22,10,18,8,11,3,7,5,9,6,5,4,ALB,4,23,17,4,8,0,0,6,0,42,0,0,0,1,7,8,10,0,1,1,2,7,0,0,0,3,5,13,0,55,0,1,0,8,0,0,8,5,1,3,0,1,15,8,0,1,0,2,6,0,4,14,25,57,1,13,0,1,1,0,1,0,2,3,8,1,6,2,12,10,0,6,3,
39,ALB,Albany International Airport,1989,3,1.0,1.0,0.0,ntsb,ALB 1989/3,91,40,63,22,29,16,27,17,45,26,35,17,ALB,33,84,62,19,42,1,7,22,0,150,0,0,7,0,45,23,35,0,10,10,19,38,4,5,0,10,50,66,0,274,0,6,0,72,0,0,31,3,1,2,0,1,82,61,4,1,0,9,19,12,12,94,97,210,6,82,0,8,5,1,8,0,0,21,44,1,14,6,81,74,39,22,26,0.6690265337626139
40,ALB,Albany International Airport,1989,8,1.0,0.0,0.0,ntsb,ALB 1989/8,23,12,27,12,15,5,9,6,10,9,4,3,ALB,1,19,14,2,6,0,0,6,1,38,0,0,0,0,7,2,8,0,1,2,2,5,2,0,0,8,10,22,0,73,0,2,0,12,0,0,2,0,0,0,0,0,24,13,0,3,0,1,4,0,1,18,13,32,0,21,0,2,3,0,3,0,0,7,8,4,2,2,18,20,9,8,1,0.6760507822036743
41,ALB,Albany International Airport,1991,4,1.0,0.0,0.0,ntsb,ALB 1991/4,20,13,11,6,11,5,6,5,7,7,8,7,ALB,2,16,16,4,10,0,4,5,0,35,1,1,0,0,15,6,7,0,0,2,3,10,0,0,1,3,5,18,0,76,0,2,1,22,0,0,10,0,0,1,0,1,12,15,5,1,0,1,7,8,2,27,20,42,4,19,0,5,4,0,2,1,1,3,13,2,6,8,9,18,11,3,2,
42,ALB,Albany International Airport,2002,5,0.0,1.0,0.0,ntsb,ALB 2002/5,41,18,33,11,11,4,22,9,34,14,16,7,ALB,24,32,28,5,26,0,1,14,2,72,0,0,0,0,26,8,17,0,2,7,8,41,1,0,0,7,17,27,0,142,0,3,0,49,0,0,17,2,4,1,2,0,30,33,0,0,0,7,13,1,6,63,44,116,0,39,0,2,2,0,3,0,0,11,31,2,4,8,21,33,14,10,23,0.8081684112548828
43,ALB,Albany International Airport,2003,10,0.0,1.0,0.0,ntsb,ALB 2003/10,49,23,24,10,20,12,12,8,28,10,26,10,ALB,16,38,38,14,20,1,1,11,0,53,1,2,4,1,25,11,21,0,2,4,9,26,3,0,0,20,8,28,0,130,0,0,1,30,1,0,23,1,2,1,0,0,21,32,5,1,0,1,18,6,6,41,40,94,1,42,0,2,2,0,3,0,2,9,26,0,21,5,17,44,5,11,16,
44,AMA,Rick Husband Amarillo International Airport,2013,11,1.0,0.0,0.0,ntsb,AMA 2013/11,1,1,1,1,0,0,1,1,0,0,0,0,AMA,0,24,15,3,2,0,0,7,0,56,0,0,0,0,11,3,8,0,1,1,4,10,1,0,0,10,15,16,0,67,0,0,0,7,0,0,2,1,0,2,0,0,26,18,0,0,0,1,2,0,1,14,24,65,3,37,0,2,4,0,1,0,0,6,20,0,0,7,20,21,0,4,0,
45,ANC,Ted Stevens Anchorage International Airport,1988,5,1.0,0.0,0.0,ntsb,ANC 1988/5,70,25,47,14,35,11,42,12,46,16,24,10,ANC,30,59,26,4,32,0,0,12,0,82,0,2,2,0,17,9,15,0,0,8,5,35,4,4,0,19,20,37,0,132,2,1,0,44,0,0,10,1,0,5,1,0,48,34,1,0,0,3,7,1,4,56,48,123,1,51,0,1,2,0,3,0,1,14,45,0,5,7,41,33,8,7,28,0.561150868733724
46,ANC,Ted Stevens Anchorage International Airport,1988,7,3.0,0.0,0.0,ntsb,ANC 1988/7,27,13,17,8,11,6,22,9,15,7,7,4,ANC,10,23,11,2,13,0,0,3,0,29,1,0,0,0,10,11,3,0,2,0,2,12,1,0,0,3,7,14,0,53,0,4,0,17,0,0,3,2,0,0,0,0,22,5,0,0,0,0,5,0,2,20,16,30,0,21,0,3,0,0,4,0,0,6,14,0,5,5,16,13,2,3,10,
47,ANC,Ted Stevens Anchorage International Airport,1988,9,1.0,0.0,0.0,ntsb,ANC 1988/9,12,7,8,5,6,3,9,6,11,6,3,1,ANC,1,2,4,2,2,0,0,0,0,8,0,0,0,0,5,3,1,0,0,2,0,2,0,0,0,0,4,1,0,14,0,1,0,1,0,0,4,2,0,0,0,0,4,5,0,0,0,0,5,1,0,1,3,7,0,7,0,0,1,0,0,0,0,1,2,0,4,0,2,6,0,3,1,
48,ANC,Ted Stevens Anchorage International Airport,1989,5,0.0,1.0,0.0,ntsb,ANC 1989/5,20,12,13,8,6,4,9,5,10,7,6,4,ANC,1,25,16,3,4,0,1,5,0,41,1,5,1,0,13,6,9,0,1,4,5,11,2,0,0,4,15,19,0,102,3,2,0,39,0,0,9,1,3,2,0,0,23,15,2,0,0,3,6,1,3,44,21,44,1,17,1,0,3,0,3,1,0,9,7,0,7,3,20,23,33,7,0,
49,ANC,Ted Stevens Anchorage International Airport,1990,1,1.0,0.0,0.0,ntsb,ANC 1990/1,27,9,16,7,3,1,6,3,21,9,15,5,ANC,13,19,17,3,13,0,0,4,0,44,0,0,1,0,13,4,5,0,1,0,1,26,6,0,0,2,16,16,0,74,0,3,0,28,0,0,8,0,1,0,0,0,8,16,0,0,0,2,4,2,1,32,10,45,0,20,0,0,0,0,8,0,2,6,15,0,3,2,8,24,10,4,13,
50,ANC,Ted Stevens Anchorage International Airport,1990,5,1.0,0.0,0.0,ntsb,ANC 1990/5,8,6,6,4,4,3,6,4,6,4,2,2,ANC,2,10,6,0,4,0,0,2,0,17,0,0,0,0,1,1,4,0,0,0,0,3,0,0,0,2,2,7,0,17,0,1,0,6,0,0,3,0,0,0,0,0,10,3,0,0,0,1,2,0,0,8,0,20,0,5,0,1,1,0,1,0,0,0,4,0,1,1,6,5,4,3,1,
51,ANC,Ted Stevens Anchorage International Airport,1990,6,1.0,0.0,0.0,ntsb,ANC 1990/6,42,20,41,15,26,9,35,14,30,16,5,5,ANC,1,44,37,8,6,0,2,23,3,75,3,1,0,1,29,7,14,0,6,4,5,17,3,0,0,11,20,36,0,189,1,10,0,57,0,0,25,0,5,0,1,0,41,37,1,1,0,4,21,2,3,80,32,83,3,31,0,5,2,0,12,0,0,6,29,4,11,8,24,43,44,7,0,0.5315871238708496
52,ANC,Ted Stevens Anchorage International Airport,1991,6,1.0,0.0,0.0,ntsb,ANC 1991/6,30,12,22,7,20,5,20,6,19,8,8,5,ANC,2,5,12,2,6,0,1,1,1,29,0,0,0,0,8,7,5,0,1,2,2,2,1,2,0,4,7,4,0,48,0,1,0,6,0,0,3,1,0,0,0,0,19,7,1,0,0,1,4,1,1,7,5,18,0,11,0,0,0,0,1,0,0,3,8,1,6,0,15,15,4,3,2,
