,0
trcn_invall_narr_6m,982
trcn_invall_ct_narr_6m,982
trcn_all_narr_6m,300
trcn_all_ct_narr_6m,300
trcn_all_vol_narr_6m,300
trcn_flfrm_narr_12m,1076
trcn_flfrm_ct_narr_12m,1076
trcn_flfrm_vol_narr_12m,1076
trcn_invout_flfrm_narr_12m,751
trcn_invout_flfrm_ct_narr_12m,751
trcn_out_flfrm_narr_12m,600
trcn_out_flfrm_ct_narr_12m,600
trcn_out_flfrm_vol_narr_12m,600
trcn_invall_flfrm_narr_12m,751
trcn_invall_flfrm_ct_narr_12m,751
trcn_all_flfrm_narr_12m,600
trcn_all_flfrm_ct_narr_12m,600
trcn_all_flfrm_vol_narr_12m,600
trcn_narr_12m,1076
trcn_ct_narr_12m,1076
trcn_vol_narr_12m,1076
trcn_invout_narr_12m,751
trcn_invout_ct_narr_12m,751
trcn_out_narr_12m,600
trcn_out_ct_narr_12m,600
trcn_out_vol_narr_12m,600
trcn_invall_narr_12m,751
trcn_invall_ct_narr_12m,751
trcn_all_narr_12m,600
trcn_all_ct_narr_12m,600
trcn_all_vol_narr_12m,600
trcn_flfrm_syn_1m,10698
trcn_flfrm_ct_syn_1m,10698
trcn_flfrm_vol_syn_1m,10698
trcn_invout_flfrm_syn_1m,6337
trcn_invout_flfrm_ct_syn_1m,6337
trcn_out_flfrm_syn_1m,50
trcn_out_flfrm_ct_syn_1m,50
trcn_out_flfrm_vol_syn_1m,50
trcn_invall_flfrm_syn_1m,6337
trcn_invall_flfrm_ct_syn_1m,6337
trcn_all_flfrm_syn_1m,50
trcn_all_flfrm_ct_syn_1m,50
trcn_all_flfrm_vol_syn_1m,50
trcn_syn_1m,10698
trcn_ct_syn_1m,10698
trcn_vol_syn_1m,10698
trcn_invout_syn_1m,6337
trcn_invout_ct_syn_1m,6337
trcn_out_syn_1m,50
trcn_out_ct_syn_1m,50
trcn_out_vol_syn_1m,50
trcn_invall_syn_1m,6337
trcn_invall_ct_syn_1m,6337
trcn_all_syn_1m,50
trcn_all_ct_syn_1m,50
trcn_all_vol_syn_1m,50
trcn_flfrm_syn_3m,4868
trcn_flfrm_ct_syn_3m,4868
trcn_flfrm_vol_syn_3m,4868
trcn_invout_flfrm_syn_3m,2254
trcn_invout_flfrm_ct_syn_3m,2254
trcn_out_flfrm_syn_3m,150
trcn_out_flfrm_ct_syn_3m,150
trcn_out_flfrm_vol_syn_3m,150
trcn_invall_flfrm_syn_3m,2254
trcn_invall_flfrm_ct_syn_3m,2254
trcn_all_flfrm_syn_3m,150
trcn_all_flfrm_ct_syn_3m,150
trcn_all_flfrm_vol_syn_3m,150
trcn_syn_3m,4868
trcn_ct_syn_3m,4868
trcn_vol_syn_3m,4868
trcn_invout_syn_3m,2254
trcn_invout_ct_syn_3m,2254
trcn_out_syn_3m,150
trcn_out_ct_syn_3m,150
trcn_out_vol_syn_3m,150
trcn_invall_syn_3m,2254
trcn_invall_ct_syn_3m,2254
trcn_all_syn_3m,150
trcn_all_ct_syn_3m,150
trcn_all_vol_syn_3m,150
trcn_flfrm_syn_6m,2231
trcn_flfrm_ct_syn_6m,2231
trcn_flfrm_vol_syn_6m,2231
trcn_invout_flfrm_syn_6m,985
trcn_invout_flfrm_ct_syn_6m,985
trcn_out_flfrm_syn_6m,300
trcn_out_flfrm_ct_syn_6m,300
trcn_out_flfrm_vol_syn_6m,300
trcn_invall_flfrm_syn_6m,985
trcn_invall_flfrm_ct_syn_6m,985
trcn_all_flfrm_syn_6m,300
trcn_all_flfrm_ct_syn_6m,300
trcn_all_flfrm_vol_syn_6m,300
trcn_syn_6m,2231
trcn_ct_syn_6m,2231
trcn_vol_syn_6m,2231
trcn_invout_syn_6m,985
trcn_invout_ct_syn_6m,985
trcn_out_syn_6m,300
trcn_out_ct_syn_6m,300
trcn_out_vol_syn_6m,300
trcn_invall_syn_6m,985
trcn_invall_ct_syn_6m,985
trcn_all_syn_6m,300
trcn_all_ct_syn_6m,300
trcn_all_vol_syn_6m,300
trcn_flfrm_syn_12m,1076
trcn_flfrm_ct_syn_12m,1076
trcn_flfrm_vol_syn_12m,1076
trcn_invout_flfrm_syn_12m,751
trcn_invout_flfrm_ct_syn_12m,751
trcn_out_flfrm_syn_12m,600
trcn_out_flfrm_ct_syn_12m,600
trcn_out_flfrm_vol_syn_12m,600
trcn_invall_flfrm_syn_12m,751
trcn_invall_flfrm_ct_syn_12m,751
trcn_all_flfrm_syn_12m,600
trcn_all_flfrm_ct_syn_12m,600
trcn_all_flfrm_vol_syn_12m,600
trcn_syn_12m,1076
trcn_ct_syn_12m,1076
trcn_vol_syn_12m,1076
